Project ID,Project Name,Project Status,Project Startdate,Project Enddate,Project URL,GitHub Link
abdera,Abdera,1,6/6/2006,11/8/2008,http://incubator.apache.org/projects/abdera.html,https://github.com/apache/Abdera
accumulo,Accumulo,1,9/12/2011,3/21/2012,http://incubator.apache.org/projects/accumulo.html,https://github.com/apache/Accumulo
ace,ACE,1,4/24/2009,12/21/2011,http://incubator.apache.org/projects/ace.html,https://github.com/apache/ACE
activemq,ActiveMQ,1,12/1/2005,2/6/2007,http://incubator.apache.org/projects/activemq.html,https://github.com/apache/ActiveMQ
airavata,Airavata,1,5/5/2011,9/19/2012,http://incubator.apache.org/projects/airavata.html,https://github.com/apache/Airavata
airflow,Airflow,1,3/31/2016,12/19/2018,http://incubator.apache.org/projects/airflow.html,https://github.com/apache/Airflow
allura,Allura,1,6/25/2012,3/19/2014,http://incubator.apache.org/projects/allura.html,https://github.com/apache/Allura
ambari,Ambari,1,8/30/2011,11/20/2013,http://incubator.apache.org/projects/ambari.html,https://github.com/apache/Ambari
oltu,Amber,1,5/9/2010,1/16/2013,http://incubator.apache.org/projects/amber.html,https://github.com/apache/oltu
any23,Any23,1,10/1/2011,8/28/2012,http://incubator.apache.org/projects/any23.html,https://github.com/apache/Any23
apex,Apex,1,8/17/2015,4/20/2016,http://incubator.apache.org/projects/apex.html,https://github.com/apache/apex-core
apisix,APISIX,1,10/17/2019,7/15/2020,http://incubator.apache.org/projects/apisix.html,https://github.com/apache/APISIX
apollo,Apollo,1,11/8/2004,6/3/2005,http://incubator.apache.org/projects/apollo.html,https://github.com/apache/activemq-apollo
aries,Aries,1,9/22/2009,12/15/2010,http://incubator.apache.org/projects/aries.html,https://github.com/apache/Aries
asterixdb,AsterixDB,1,2/28/2015,4/20/2016,http://incubator.apache.org/projects/asterixdb.html,https://github.com/apache/AsterixDB
atlas,Atlas,1,5/5/2015,6/21/2017,http://incubator.apache.org/projects/atlas.html,https://github.com/apache/Atlas
aurora,Aurora,1,10/1/2013,3/18/2015,http://incubator.apache.org/projects/aurora.html,https://github.com/apache/Aurora
batchee,BatchEE,1,10/3/2013,12/10/2019,http://incubator.apache.org/projects/batchee.html,https://github.com/apache/incubator-batchee
beam,Beam,1,2/1/2016,12/21/2016,http://incubator.apache.org/projects/beam.html,https://github.com/apache/Beam
bval,Bean Validation,1,3/1/2010,2/15/2012,http://incubator.apache.org/projects/beanvalidation.html,https://github.com/apache/bval
bigtop,Bigtop,1,6/20/2011,9/19/2012,http://incubator.apache.org/projects/bigtop.html,https://github.com/apache/Bigtop
