,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,17963764.0,"Requested merge of OPTIQ-247, 324,326,325,323,322,321",1.0,659.0,169.0,26.0,7.0,0.0,0.0,2014-07-03 19:29:03,2014-07-04 00:02:13,Jacques Nadeau,183350.0,1.0,2014-07-04 00:02:13
1,18020089.0,Removed hardcoded foodmart schema information,2.0,0.0,13.0,1.0,1.0,1.0,0.0,2014-07-06 17:38:36,2014-09-24 01:12:39,Marc Prud'hommeaux,659086.0,0.0,
2,18022648.0,Fixes for [OPTIQ-332] and [OPTIQ-333],3.0,1127.0,701.0,31.0,4.0,2.0,0.0,2014-07-06 23:00:33,2016-10-08 18:31:15,Jacques Nadeau,183350.0,0.0,
3,18081335.0,OPTIQ-296: re-organized package structure to org.apache.optiq...,4.0,5165.0,5322.0,1023.0,1.0,0.0,0.0,2014-07-08 03:17:48,2014-12-10 18:08:13,Marc Prud'hommeaux,659086.0,0.0,
4,18194373.0,[OPTIQ-340] Fix bug in SqlToRelConverter when push expressions in join c...,5.0,48.0,2.0,2.0,1.0,1.0,0.0,2014-07-10 00:04:35,2014-09-24 01:12:39,Jinfeng Ni,5742011.0,0.0,
5,19188495.0,Fix for https://issues.apache.org/jira/browse/OPTIQ-269,6.0,65.0,6.0,2.0,1.0,1.0,0.0,2014-08-01 00:59:40,2014-08-30 00:21:29,,8323198.0,0.0,
6,19881361.0,make CI build faster,7.0,2.0,0.0,1.0,1.0,2.0,0.0,2014-08-16 16:56:45,2014-08-30 09:19:07,Peter Dave Hello,3691490.0,0.0,
7,20403323.0,Don't add new RelNode if there are no projects,8.0,4.0,2.0,1.0,1.0,3.0,0.0,2014-08-27 21:27:15,2014-08-29 22:05:16,,370430.0,0.0,
8,20475546.0,OPTIQ-392 Use factories in Field Trimmer,9.0,161.0,60.0,5.0,1.0,0.0,0.0,2014-08-29 00:18:56,2014-08-29 22:47:55,,370430.0,0.0,
9,20633811.0,OPTIQ-395 : Make FieldTrimmer::trimFields(SetOp) generate ProjectRel ins...,10.0,8.0,25.0,2.0,1.0,0.0,0.0,2014-09-02 19:16:47,2014-09-03 01:58:01,,370430.0,0.0,
10,20647472.0,OPTIQ-396 : Change return type of JoinFactory::create*Join(),11.0,17.0,10.0,3.0,1.0,0.0,0.0,2014-09-02 23:30:03,2014-09-03 19:49:03,,370430.0,0.0,
