,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,75437301.0,Update README as per Apache glossary,1.0,32.0,14.0,1.0,2.0,1.0,2.0,2016-06-28 08:30:44,2016-06-28 20:38:44,Liang Chen,8075709.0,1.0,2016-06-28 20:38:44
1,75508487.0,[CARBONDATA-18]Supported tinyint datatype in carbondata,2.0,130.0,105.0,30.0,1.0,2.0,0.0,2016-06-28 16:27:54,2016-06-28 21:23:56,Ravindra Pesala,8134086.0,1.0,2016-06-28 21:23:56
2,75633683.0,Add guide documents,3.0,285.0,0.0,3.0,1.0,1.0,0.0,2016-06-29 11:46:56,2016-06-29 12:09:29,Liang Chen,8075709.0,1.0,2016-06-29 12:09:29
3,75642655.0,Added documentation of carbondata.,4.0,711.0,0.0,12.0,3.0,1.0,0.0,2016-06-29 12:55:22,2016-06-29 13:05:17,Ravindra Pesala,8134086.0,1.0,2016-06-29 13:05:17
4,75649851.0,Updated ReadMe and added references of other material to it.,5.0,15.0,52.0,5.0,3.0,1.0,1.0,2016-06-29 13:41:46,2016-06-29 14:22:18,Ravindra Pesala,8134086.0,0.0,
5,75810869.0,Code merge from HuaweiBigData/master to apache/master ,6.0,8342.0,7167.0,247.0,54.0,1.0,0.0,2016-06-30 12:31:16,2016-06-30 17:43:09,Ravindra Pesala,8134086.0,1.0,2016-06-30 17:43:09
6,75938526.0,[Doc]Fix  typo for Quick-Start,7.0,6.0,2.0,1.0,3.0,3.0,3.0,2016-07-01 07:32:48,2016-07-06 09:50:37,wyp,5170878.0,0.0,
7,75943371.0,[CARBONDATA-30] Record load performance statistics,8.0,747.0,11.0,16.0,5.0,5.0,9.0,2016-07-01 08:19:47,2016-07-13 06:59:54,,13940237.0,0.0,
8,75943694.0,Make inverted index can be configurable,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-01 08:22:36,2016-07-01 08:28:17,,13940237.0,0.0,
9,75944484.0,[CARBONDATA-29] Make inverted index can be configurable,10.0,419.0,48.0,14.0,21.0,5.0,8.0,2016-07-01 08:30:08,2016-07-05 12:07:57,,13940237.0,0.0,
10,75983638.0,"[CARBONDATA-31] To unify definition for SparkContext,CarbonContext,HiveContext,SQLContext",11.0,37.0,37.0,12.0,1.0,1.0,6.0,2016-07-01 13:56:03,2016-07-02 10:19:46,Liang Chen,8075709.0,0.0,
11,76027081.0,[CARBONDATA-32] Refactor DataType related code,12.0,400.0,802.0,43.0,12.0,4.0,6.0,2016-07-01 19:35:55,2016-07-04 17:54:07,Jacky Li,6500698.0,0.0,
12,76056907.0,[CARBONDATA-33]Fixed folder path issue when storePath contains '-',13.0,18.0,12.0,1.0,1.0,1.0,0.0,2016-07-02 05:45:03,2016-07-02 06:34:44,Ravindra Pesala,8134086.0,1.0,2016-07-02 06:34:44
13,76062019.0,"[CARBONDATA-31] To unify definition for SparkContext,CarbonContext,HiveContext,SQLContext",14.0,38.0,37.0,12.0,3.0,1.0,2.0,2016-07-02 10:40:08,2016-07-03 03:51:24,Liang Chen,8075709.0,0.0,
14,76095329.0,[CARBONDATA-34] Fixed failing of drop table with db name,15.0,45.0,11.0,4.0,3.0,2.0,0.0,2016-07-03 18:30:51,2016-07-06 06:38:00,Ravindra Pesala,8134086.0,0.0,
15,76103606.0,[CARBONDATA-35] generate global dict using pre-defined dict from external column file,16.0,741.0,66.0,15.0,1.0,14.0,10.0,2016-07-04 01:08:53,2016-07-13 06:49:28,Jay,15048145.0,0.0,
16,76137442.0,Changed the way Subquery matching is done,17.0,11.0,3.0,1.0,1.0,3.0,1.0,2016-07-04 09:42:22,2016-07-14 03:34:51,,11935055.0,0.0,
17,76159596.0,remove no-used Keyword in CarbonSqlParser,18.0,0.0,46.0,1.0,1.0,1.0,0.0,2016-07-04 12:53:58,2016-07-06 06:41:45,Gin-zhj,13846940.0,0.0,
18,76177574.0,Update README.md,19.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-07-04 15:17:11,2016-07-04 16:34:24,Stan Zhai,1438757.0,1.0,2016-07-04 16:34:24
19,76180749.0,[WIP][CARBONDATA-16] BLOCK distribution in query is not correct in qu…,20.0,199.0,19.0,5.0,1.0,3.0,0.0,2016-07-04 15:45:23,2016-07-06 18:12:20,Mohammad Shahid Khan,17875433.0,0.0,
20,76225408.0,[CARBONDATA-36]fix dictionary exception when data column count less then schema,21.0,41.0,2.0,4.0,2.0,3.0,0.0,2016-07-05 06:52:50,2016-07-05 22:17:29,linyixin,15024022.0,0.0,
21,76241158.0,[BUG]Fix test case failure for windows user,22.0,10.0,10.0,2.0,1.0,4.0,0.0,2016-07-05 09:15:47,2016-07-05 22:12:00,Jay,15048145.0,0.0,
22,76301675.0,[CARBONDATA-40]	Make the derby db metastore configurable,23.0,83.0,61.0,8.0,7.0,8.0,2.0,2016-07-05 16:14:53,2016-07-08 19:25:58,Ravindra Pesala,8134086.0,0.0,
23,76375571.0,Correct the log info,24.0,2.0,2.0,1.0,1.0,1.0,0.0,2016-07-06 03:51:55,2016-07-07 17:17:45,,13940237.0,0.0,
24,76386008.0,add testcase for no inverted index,25.0,46.0,7.0,1.0,1.0,4.0,0.0,2016-07-06 06:53:22,2016-07-07 08:09:09,,13940237.0,0.0,
25,76402930.0,"[CARBONDATA-43][BUG]Handle for decimal filter query ""where dicimalFiled=123456.12""",26.0,19.0,1.0,2.0,1.0,0.0,0.0,2016-07-06 09:30:43,2016-07-06 10:35:03,Jay,15048145.0,0.0,
26,76432282.0,[CARBONDATA-41]Main process is not exiting even after program completes,27.0,4.0,0.0,1.0,1.0,2.0,0.0,2016-07-06 13:31:06,2016-07-07 17:12:53,Ravindra Pesala,8134086.0,0.0,
27,76448212.0,[WIP]Concurrency for dictionary generation,28.0,571.0,216.0,25.0,1.0,1.0,0.0,2016-07-06 15:07:03,2016-07-14 03:34:14,,11935055.0,0.0,
28,76645306.0,[CARBONDATA-44]Segment folders are deleted for multiple loads,29.0,14.0,9.0,1.0,1.0,1.0,0.0,2016-07-07 18:44:07,2016-07-07 21:31:19,Ravindra Pesala,8134086.0,1.0,2016-07-07 21:31:18
29,76707819.0,Modify doc to add new tblproperties,30.0,10.0,1.0,1.0,3.0,2.0,0.0,2016-07-08 06:37:53,2016-07-08 18:54:47,,13940237.0,0.0,
30,76753066.0,[CARBONDATA-46]Fixed dataframe api in carbon,31.0,17.0,17.0,3.0,2.0,1.0,0.0,2016-07-08 13:30:50,2016-07-09 16:55:44,Ravindra Pesala,8134086.0,0.0,
31,76762140.0,[CARBONDATA-47]Simplified datasource format name and storage name in carbondata,32.0,27.0,665.0,11.0,2.0,2.0,0.0,2016-07-08 14:33:36,2016-07-12 18:27:50,Ravindra Pesala,8134086.0,0.0,
32,76839862.0,[CARBONDATA-48] Supported spark sql cli in carbon.,33.0,168.0,0.0,3.0,1.0,2.0,0.0,2016-07-09 07:06:09,2016-07-12 18:32:53,Ravindra Pesala,8134086.0,0.0,
33,76933338.0,[CARBONDATA-11]Supported Carbon Spark Shell to enhance usability,34.0,215.0,1.0,5.0,3.0,3.0,0.0,2016-07-11 10:46:14,2016-07-14 14:36:13,Ravindra Pesala,8134086.0,0.0,
34,77081785.0,[CARBONDATA-50]Added Spark 1.6.2 support in Carbon. And also supports all versions of Spark 1.5 and 1.6,35.0,609.0,402.0,8.0,8.0,5.0,25.0,2016-07-12 08:44:42,2016-07-18 14:32:29,Ravindra Pesala,8134086.0,0.0,
35,77233389.0,CARBONDATA-5 data miss match with hive,36.0,414.0,6.0,14.0,1.0,2.0,0.0,2016-07-13 05:49:06,2016-07-13 08:43:03,Mohammad Shahid Khan,17875433.0,0.0,
36,77347511.0,[CARBONDATA-55]Pushdown greaterthan and lessthan filters to carbon,37.0,95.0,2.0,1.0,2.0,3.0,0.0,2016-07-13 19:31:45,2016-07-19 14:13:45,Ravindra Pesala,8134086.0,0.0,
37,77404864.0,[CARBONDATA-54]Added support to windows functions in Carbon,38.0,1187.0,8.0,4.0,1.0,2.0,0.0,2016-07-14 06:17:21,2016-07-19 14:29:25,Ravindra Pesala,8134086.0,0.0,
38,77428328.0,[CARBONDATA-1]CarbonData on docker,39.0,81.0,0.0,2.0,1.0,2.0,4.0,2016-07-14 09:51:13,2016-11-24 02:48:28,david,15495227.0,0.0,
39,77581080.0,Update DDL-Operations-on-Carbon.md,40.0,2.0,2.0,1.0,1.0,2.0,0.0,2016-07-15 08:34:35,2016-07-15 16:18:15,Souljoy Zhuo,11287117.0,1.0,2016-07-15 16:18:15
40,77705116.0,[CARBONDATA-60] Fixed wrong result when using union all,41.0,72.0,49.0,3.0,1.0,1.0,0.0,2016-07-16 09:17:56,2016-07-25 13:18:45,Ravindra Pesala,8134086.0,0.0,
