,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,149342741.0,Property Resolution - part of fixing schema compilation,1.0,1241.0,1117.0,69.0,1.0,2.0,5.0,2017-10-28 16:16:10,2017-11-01 15:26:45,Mike Beckerle,1524099.0,0.0,
1,150020977.0,Daffodil 1856 - Updates to for Apache incubation,2.0,4635.0,5593.0,1178.0,4.0,4.0,9.0,2017-11-01 11:53:17,2017-11-01 14:43:13,Steve Lawrence,3180601.0,0.0,
2,150281204.0,Updates for Apache incubation,3.0,81.0,213.0,16.0,1.0,1.0,3.0,2017-11-02 12:45:42,2017-11-29 18:30:31,Steve Lawrence,3180601.0,0.0,
3,151101675.0,Ensure marks are always returned to the markpool,4.0,294.0,179.0,2.0,2.0,2.0,8.0,2017-11-07 12:34:02,2017-11-30 12:50:09,Steve Lawrence,3180601.0,0.0,
4,151530611.0,Property Resolution - part of fixing schema compilation,5.0,2957.0,2685.0,88.0,1.0,3.0,85.0,2017-11-09 00:13:33,2017-11-17 16:12:21,Mike Beckerle,1524099.0,1.0,2017-11-17 16:12:21
5,154225880.0,Eliminate spurious SDE when using lengthKind pattern on all-text file.,6.0,154.0,9.0,5.0,1.0,4.0,4.0,2017-11-22 18:22:37,2017-11-29 13:37:52,Mike Beckerle,1524099.0,1.0,2017-11-29 13:37:52
6,155337048.0,Eliminate spurious SDE when using lengthKind pattern on all-text file.,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2017-11-29 13:17:04,2017-11-29 22:48:50,Mike Beckerle,1524099.0,0.0,
7,155345650.0,Daffodil 1866 eclipse classpath,8.0,2204.0,3010.0,30.0,2.0,1.0,0.0,2017-11-29 13:53:57,2017-11-29 13:55:04,Mike Beckerle,1524099.0,0.0,
8,155347857.0,Fix eclipse classpaths and application that maintains them.,9.0,0.0,0.0,0.0,0.0,1.0,1.0,2017-11-29 14:02:46,2017-11-29 22:57:04,Mike Beckerle,1524099.0,0.0,
9,155394927.0,Remove charsReadUntilDelim from Registers,10.0,0.0,4.0,1.0,1.0,0.0,0.0,2017-11-29 16:52:05,2017-11-30 12:34:42,Steve Lawrence,3180601.0,0.0,
10,155423960.0,Add travis.yml file for continuous integration with Travis CI,11.0,39.0,0.0,1.0,1.0,0.0,0.0,2017-11-29 18:57:44,2017-11-30 12:26:39,Steve Lawrence,3180601.0,0.0,
11,155479234.0,Revised daffodil-io module to require passing in a FormatInfo object.,12.0,3436.0,3335.0,159.0,2.0,5.0,112.0,2017-11-29 23:17:57,2018-01-05 14:43:22,Mike Beckerle,1524099.0,1.0,2018-01-05 14:43:22
12,155602862.0,"Fix truncation bug when unparsing escapeKind=""character""",13.0,59.0,15.0,3.0,1.0,3.0,0.0,2017-11-30 13:07:24,2017-11-30 17:02:21,Steve Lawrence,3180601.0,0.0,
