,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,78618401.0,DL-14: Update travis' configuration file.,1.0,28.0,4.0,2.0,2.0,6.0,0.0,2016-07-25 02:12:50,2016-07-31 08:17:58,Franck Cuny,59291.0,0.0,
1,78708613.0,DL-4: Add NOTICE file.,2.0,12.0,0.0,1.0,1.0,4.0,0.0,2016-07-25 16:08:22,2016-07-31 07:32:33,Franck Cuny,59291.0,0.0,
2,78894110.0,DL-25: Documentation for vagrant and docker deployment,3.0,54.0,0.0,2.0,5.0,5.0,0.0,2016-07-26 17:41:10,2016-08-17 03:13:00,,2305381.0,0.0,
3,78947487.0,DL-20: Validate bk read timeout in configuration,4.0,37.0,0.0,3.0,1.0,2.0,0.0,2016-07-27 00:21:48,2016-07-31 07:58:07,Yiming Zang,3804719.0,0.0,
4,78948844.0,DL-21: Fix DL flaky test cases,5.0,71.0,16.0,6.0,2.0,2.0,0.0,2016-07-27 00:39:44,2016-08-16 19:02:27,Yiming Zang,3804719.0,0.0,
5,79237990.0,DL-16: Add script to merge GitHub PR.,6.0,577.0,0.0,1.0,1.0,5.0,0.0,2016-07-28 17:42:44,2016-08-01 02:53:49,Franck Cuny,59291.0,0.0,
6,79478972.0,DL-16: Fix the merge script,7.0,13.0,14.0,1.0,7.0,2.0,0.0,2016-07-31 07:55:37,2016-08-05 03:50:35,Sijie Guo,1217863.0,0.0,
7,80185695.0,DL-16: Use correct git remote repository,8.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-08-05 03:59:29,2016-08-11 00:53:02,Franck Cuny,59291.0,0.0,
8,80928239.0,DL-31: Provide flag to disable zk based distributed lock,9.0,754.0,621.0,16.0,4.0,1.0,0.0,2016-08-11 09:37:09,2016-08-23 01:05:54,Sijie Guo,1217863.0,0.0,
9,80939887.0,DL-1: Clean up the distributedlog pom files,10.0,840.0,48.0,54.0,2.0,3.0,0.0,2016-08-11 11:13:46,2016-08-23 01:00:31,Jia Zhai,6348208.0,0.0,
10,81578397.0,Handle correctly merge commits.,11.0,5.0,3.0,1.0,1.0,2.0,0.0,2016-08-17 03:16:09,2016-08-23 01:02:26,Franck Cuny,59291.0,0.0,
11,81579343.0,DL-32: Update findbugs version to 3.0.3,12.0,2196.0,813.0,93.0,10.0,8.0,0.0,2016-08-17 03:31:06,2016-11-11 00:54:25,Franck Cuny,59291.0,0.0,
12,82481239.0,DL-3: Move distributedlog website to apache (part 1),13.0,32997.0,276.0,323.0,14.0,4.0,0.0,2016-08-24 04:52:29,2016-09-13 07:34:33,Sijie Guo,1217863.0,0.0,
13,82654722.0,DL-36: travis ci build failed with assembly plugin,14.0,431.0,120.0,15.0,1.0,2.0,0.0,2016-08-25 04:10:48,2016-08-27 04:09:31,Jon Derrick,19365668.0,0.0,
14,82676436.0,DL-37: add an offset sequencer for generating transaction id,15.0,215.0,15.0,11.0,1.0,2.0,7.0,2016-08-25 08:25:02,2016-11-12 10:11:56,Khurrum Nasim,21236134.0,0.0,
