,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,2753908.0,Mavenized query-parse subproject,1.0,106.0,20.0,47.0,1.0,1.0,0.0,2012-10-24 09:18:55,2014-10-08 04:14:44,Antonio Garrote,8277.0,0.0,
1,3184015.0,Updated parser prototype and early module organization,2.0,4886.0,21.0,86.0,4.0,0.0,0.0,2012-11-30 03:17:30,2013-01-22 03:05:10,Jacques Nadeau,183350.0,1.0,2013-01-22 03:05:10
2,3358076.0,DRILL-18 - fix some query-parser breakage,3.0,190.0,188.0,2.0,1.0,0.0,0.0,2012-12-13 16:42:20,2014-10-08 04:14:44,Injun Song,1416696.0,0.0,
3,4091769.0,DRILL29 Flatten reference implementation,4.0,300.0,18.0,13.0,9.0,0.0,0.0,2013-02-11 21:40:07,2013-02-25 19:47:38,Christopher Merrick,207186.0,0.0,
4,4109040.0,Implemented Join Reference Operator,5.0,501.0,73.0,8.0,7.0,0.0,0.0,2013-02-12 18:49:08,2013-02-25 03:57:25,Timothy Chen,67244.0,0.0,
5,4138204.0,Convert README.md to markdown format. (No content changes.),6.0,1134.0,87.0,23.0,4.0,0.0,0.0,2013-02-14 04:01:27,2013-02-17 20:01:34,Julian Hyde,1130553.0,1.0,2013-02-17 20:01:34
6,4175508.0,[DRILL-35] Implemented RunningAggregate Operator,7.0,340.0,145.0,7.0,2.0,1.0,0.0,2013-02-16 01:27:12,2013-04-02 20:34:40,Timothy Chen,67244.0,0.0,
7,4185608.0,DRILL-36: add log4j & slf4j,8.0,0.0,0.0,0.0,10.0,0.0,0.0,2013-02-18 04:00:12,2014-10-08 04:14:45,Sree Vaddi,441385.0,0.0,
8,4294334.0,DRILL-38: LimitROP unit test suite,9.0,95.0,0.0,2.0,1.0,0.0,0.0,2013-02-24 17:42:57,2013-02-25 19:47:15,Christopher Merrick,207186.0,0.0,
9,4408467.0,DRILL-31 WindowFrame operator,10.0,565.0,61.0,6.0,2.0,1.0,0.0,2013-03-02 07:37:08,2013-03-13 22:25:36,Timothy Chen,67244.0,1.0,2013-03-13 22:25:36
10,4541984.0,DRILL-45 Simple builder that allows to create an Immutable LogicalPlan,11.0,264.0,120.0,5.0,5.0,0.0,0.0,2013-03-11 09:52:14,2014-10-08 04:14:45,David Ribeiro Alves,521229.0,0.0,
11,4583910.0,DRILL-15 HBase Reference Engine impl with simple scanning,12.0,1808.0,13.0,22.0,6.0,0.0,0.0,2013-03-13 01:14:21,2014-10-08 04:14:45,David Ribeiro Alves,521229.0,0.0,
