,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,164724145.0,Change  README for more better english expression.,7593.0,4.0,3.0,1.0,1.0,1.0,0.0,2018-01-24 00:07:28,2018-01-24 02:47:25,,30728609.0,1.0,2018-01-24 02:47:25
1,165752059.0,Bar overflow issues #4862. Ensure absolute values are used when calculating overflow,7656.0,4.0,2.0,2.0,2.0,1.0,0.0,2018-01-29 16:27:34,2018-01-30 03:18:27,Conor O'Kelly,8889083.0,1.0,2018-01-30 03:18:27
2,168744463.0,Merge pull request #1 from ecomfe/master,7784.0,0.0,0.0,0.0,1.0,0.0,0.0,2018-02-13 03:16:33,2018-02-13 03:17:45,find,20292827.0,0.0,
3,173064552.0,update README to add incubator status and remove unused content in license,7867.0,4.0,188.0,2.0,1.0,1.0,0.0,2018-03-06 05:54:08,2018-03-06 06:12:55,Tanzhongyi(Jerry Tan),20179982.0,1.0,2018-03-06 06:12:55
4,173332619.0,added ember binding,7877.0,3.0,0.0,1.0,1.0,2.0,0.0,2018-03-07 01:54:47,2018-03-12 03:57:59,Bruck Wubete,9407595.0,1.0,2018-03-12 03:57:59
5,173653753.0,Add new markline type `median`,7894.0,158.0,3.0,5.0,3.0,2.0,0.0,2018-03-08 06:12:11,2018-03-12 11:25:05,hustcc,7856674.0,1.0,2018-03-12 11:25:05
6,174336049.0,Additional Ember.js Addon,7919.0,1.0,0.0,1.0,1.0,1.0,0.0,2018-03-12 11:11:00,2018-03-12 11:24:44,Craig MacKenzie,32301375.0,1.0,2018-03-12 11:24:44
7,174576174.0,Fix #7855,7924.0,4.0,0.0,1.0,1.0,0.0,0.0,2018-03-13 07:22:53,2018-07-26 07:18:51,腰花,16027183.0,0.0,
8,175464168.0,Sankey,7956.0,134.0,1.0,2.0,2.0,1.0,2.0,2018-03-16 08:07:38,2018-04-05 19:10:46,Deqing Li,13548221.0,1.0,2018-04-05 19:10:46
9,178102135.0,"Tooltip dom append to body, use to top of layer",8049.0,25.0,13.0,2.0,3.0,5.0,0.0,2018-03-28 16:58:48,2020-01-09 14:22:18,xinpure,6121383.0,1.0,2020-01-09 14:22:18
10,180208088.0,Update task.js,8121.0,2.0,2.0,1.0,1.0,1.0,0.0,2018-04-09 04:24:46,2020-06-09 07:48:38,yiak,8510840.0,0.0,
11,191325419.0,new,8425.0,3758.0,1446.0,80.0,50.0,1.0,5.0,2018-05-30 03:42:10,2018-08-15 13:56:33,,11205515.0,0.0,
12,193357203.0,Add CDN link,8486.0,4.0,2.0,1.0,3.0,0.0,0.0,2018-06-07 15:14:26,2019-02-14 09:06:45,Lukas Drgon,15611832.0,1.0,2019-02-14 09:06:45
13,194461136.0,avoid pie chart's label out of range,8513.0,5.0,3.0,1.0,1.0,6.0,1.0,2018-06-13 03:21:11,2021-09-04 05:42:39,airwin,182754.0,0.0,
14,196002495.0,add react-native contributor,8546.0,1.0,0.0,1.0,1.0,1.0,0.0,2018-06-20 01:54:45,2020-06-28 05:05:31,臭豆腐拌饭,20181287.0,0.0,
15,198024927.0,geo label formatter不生效bug修复,8612.0,3.0,1.0,1.0,1.0,1.0,0.0,2018-06-28 13:10:11,2020-06-22 14:29:49,Vincent Neo,4645770.0,0.0,
16,199527455.0,Fix bug with combined Timeline & Visualmap use,8656.0,5.0,0.0,1.0,1.0,1.0,0.0,2018-07-05 16:39:05,2020-07-11 19:30:02,Warren Spencer,7980911.0,0.0,
17,200794871.0,Sankey diagram fails if no 'tooltip' option specified,8684.0,4.0,3.0,2.0,2.0,1.0,0.0,2018-07-11 18:56:40,2020-07-18 05:41:41,Yuri Gor,6861317.0,0.0,
18,202195679.0,Use xAxis min/max to plot dataZoom shadowExtent,8718.0,20.0,8.0,1.0,1.0,1.0,0.0,2018-07-18 09:46:10,2020-07-25 05:53:49,Maxime BORGES,159235.0,0.0,
19,202791121.0,onclick,8732.0,1018.0,5.0,2.0,1.0,1.0,0.0,2018-07-20 09:16:52,2020-07-26 10:09:36,,22700285.0,0.0,
20,203035933.0,完善文档,8736.0,3.0,1.0,1.0,1.0,1.0,0.0,2018-07-22 02:27:03,2018-09-03 08:04:02,maicss,9784767.0,0.0,
21,203634883.0, Error in dataZoom when linking new series,8752.0,2.0,2.0,1.0,2.0,1.0,0.0,2018-07-24 19:47:08,2020-09-11 03:15:56,Daniel Fonnegra,41648443.0,0.0,
22,204067099.0,Enhance funnel chart label display policy,8759.0,14.0,4.0,1.0,10.0,26.0,6.0,2018-07-26 08:37:29,2018-09-21 07:21:23,,28971820.0,1.0,2018-09-21 07:21:23
23,205939145.0,configurable MapOptions for BMap.Map constructor,8806.0,2.0,2.0,1.0,1.0,1.0,0.0,2018-08-03 06:42:50,2020-08-04 06:44:37,,211189.0,0.0,
24,208481874.0,fix radiusAxis.axisLabel show problem because text is long--issues #8791,8872.0,4.0,0.0,1.0,1.0,0.0,0.0,2018-08-15 06:23:12,2018-08-27 04:19:55,,17268607.0,0.0,
25,210632374.0,Update TreemapView.js,8938.0,1.0,1.0,1.0,1.0,0.0,0.0,2018-08-24 03:50:42,2018-08-24 09:03:52,张啸,22208613.0,0.0,
26,211620482.0,Add node align for the Sankey diagram,8966.0,121.0,12.0,4.0,3.0,11.0,0.0,2018-08-29 03:51:57,2018-09-03 08:44:12,Jason Chen,3380894.0,0.0,
27,212704205.0,Pie chart adds filterValue parameter,8997.0,16.0,6.0,1.0,11.0,15.0,10.0,2018-09-03 10:23:26,2019-01-09 14:10:07,,28971820.0,1.0,2019-01-09 14:10:07
28,212707354.0,UTF8 encode world.json,8998.0,1.0,1.0,1.0,1.0,3.0,0.0,2018-09-03 10:36:06,2020-09-11 03:15:55,,8372385.0,0.0,
29,212939941.0,Release,9010.0,5.0,35.0,4.0,5.0,0.0,0.0,2018-09-04 11:14:32,2018-09-04 11:15:52,Deqing Li,13548221.0,1.0,2018-09-04 11:15:52
30,217487198.0,Fix boxplot width calculation for non-category axes,9119.0,1.0,1.0,1.0,1.0,1.0,0.0,2018-09-23 01:28:40,2020-10-11 11:47:32,Matthew Savage,1878074.0,0.0,
31,218261951.0,fix #7764,9134.0,1.0,1.0,1.0,1.0,1.0,0.0,2018-09-26 10:20:26,2018-10-08 04:33:56,cs.z,23102610.0,1.0,2018-10-08 04:33:55
32,219139813.0,fix: #9011 gauge clockwise,9149.0,4.0,1.0,1.0,1.0,5.0,0.0,2018-09-29 10:16:35,2019-01-14 04:02:09,Sun Yuu,16495064.0,0.0,
33,220151985.0,fix: #8962 闭合多边形时，如果第一个值为NaN，导致最后值也为NaN，渲染不出连接线。,9162.0,12.0,1.0,1.0,2.0,5.0,9.0,2018-10-03 19:26:50,2018-10-15 08:22:02,其妙,6501524.0,1.0,2018-10-15 08:22:02
34,221002240.0,fix #7764,9170.0,1.0,1.0,1.0,2.0,0.0,0.0,2018-10-08 04:39:28,2018-10-08 04:39:37,Wenli Zhang,779050.0,1.0,2018-10-08 04:39:37
35,221014663.0,"fix #8009 & #5969, symbol symbolSize and opacity setting for category itemStyle in graph",9171.0,20.0,7.0,1.0,13.0,8.0,24.0,2018-10-08 06:34:32,2018-11-04 13:54:33,汪汪,37927542.0,1.0,2018-11-04 13:54:33
36,221902287.0,axisLine.show option implemented for Gauge,9195.0,4.0,3.0,1.0,2.0,3.0,2.0,2018-10-10 19:15:37,2018-10-11 05:37:16,Yuri Gor,6861317.0,1.0,2018-10-11 05:37:16
37,222339953.0,fix #9182 Graph    label.rotate is invalid,9210.0,4.0,2.0,1.0,6.0,9.0,8.0,2018-10-12 03:34:54,2018-10-23 05:32:28,,28971820.0,1.0,2018-10-23 05:32:28
38,223158443.0,fix: #8952 callback function params.color incorrect,9238.0,8.0,0.0,1.0,1.0,3.0,0.0,2018-10-16 08:30:34,2018-10-29 16:10:33,其妙,6501524.0,1.0,2018-10-29 16:10:33
