,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,57823788.0,removed Pentaho from validation and template,1.0,41.0,21.0,7.0,1.0,0.0,0.0,2016-02-01 10:55:29,2016-02-02 03:15:32,pramod,4900563.0,1.0,2016-02-02 03:15:32
1,57826354.0,License text spill overs,2.0,148.0,39.0,8.0,1.0,0.0,0.0,2016-02-01 11:19:29,2016-02-02 03:21:06,Adi Narayana Raju,3582507.0,1.0,2016-02-02 03:21:06
2,57947325.0,Migrate to Java 8,3.0,25.0,13.0,9.0,1.0,0.0,0.0,2016-02-02 06:50:08,2016-02-02 10:23:29,Adi Narayana Raju,3582507.0,1.0,2016-02-02 10:23:29
3,58573780.0,Connector changes from mysql to drizzle,4.0,75.0,47.0,13.0,1.0,0.0,0.0,2016-02-08 06:03:44,2016-02-08 08:13:33,Shaik Nazeer Hussain,13728454.0,1.0,2016-02-08 08:13:33
4,58586789.0,new data types newdecimal and longlong handling with drizzle connector,5.0,8.0,2.0,1.0,1.0,0.0,0.0,2016-02-08 09:42:46,2016-02-08 10:04:19,Shaik Nazeer Hussain,13728454.0,1.0,2016-02-08 10:04:19
5,58742908.0,mysql data type changes and provisiong update validation changes,6.0,37.0,14.0,2.0,1.0,0.0,0.0,2016-02-09 12:49:55,2016-02-10 07:50:30,Shaik Nazeer Hussain,13728454.0,1.0,2016-02-10 07:50:30
6,59350785.0,report issue and MIFOSX-2400 : fix for overdue charges on payment time,7.0,80.0,64.0,2.0,2.0,0.0,0.0,2016-02-15 11:21:05,2016-02-16 12:50:24,pramod,4900563.0,1.0,2016-02-16 12:50:24
7,59482174.0,Moving JDBC Driver related info to a property file and removed references in java filles,8.0,128.0,20.0,8.0,1.0,0.0,0.0,2016-02-16 12:13:43,2016-02-16 12:58:02,Shaik Nazeer Hussain,13728454.0,0.0,
8,59491500.0,moving driver info to a property file,9.0,164.0,20.0,10.0,1.0,0.0,0.0,2016-02-16 13:40:27,2016-02-16 13:55:16,Shaik Nazeer Hussain,13728454.0,1.0,2016-02-16 13:55:16
9,59645968.0,Adding Notice.txt file,10.0,122.0,0.0,1.0,1.0,0.0,0.0,2016-02-17 13:50:10,2016-02-17 13:57:58,Shaik Nazeer Hussain,13728454.0,1.0,2016-02-17 13:57:58
10,60307170.0,MIFOSX-2516: fix for  Floating rates with multi tranche loan,11.0,45.0,40.0,3.0,1.0,0.0,0.0,2016-02-23 09:00:20,2016-02-23 09:23:22,pramod,4900563.0,1.0,2016-02-23 09:23:22
11,60808637.0,adding organisation start in global configuartion,12.0,88.0,15.0,10.0,1.0,0.0,6.0,2016-02-26 08:34:14,2016-02-29 06:18:26,Sachin Kulkarni,10805965.0,0.0,
12,61033323.0,adding organisation start in global configuartion,13.0,125.0,41.0,10.0,1.0,0.0,0.0,2016-02-29 06:20:42,2016-02-29 07:07:56,Sachin Kulkarni,10805965.0,0.0,
13,61036770.0,adding organisation start in global configuartion,14.0,135.0,41.0,10.0,1.0,0.0,0.0,2016-02-29 07:08:37,2016-02-29 07:44:41,Sachin Kulkarni,10805965.0,1.0,2016-02-29 07:44:41
14,61058325.0,Repayment schduleand meeting datechenge,15.0,783.0,514.0,23.0,5.0,1.0,0.0,2016-02-29 10:42:28,2016-03-01 12:17:34,,16410925.0,0.0,
15,61191153.0,Center rescheduling,16.0,663.0,39.0,11.0,1.0,0.0,0.0,2016-03-01 04:27:20,2016-03-02 11:43:18,Sachin Kulkarni,10805965.0,0.0,
16,61233796.0,"Display FullName instead of firstname,middlename,lastname when config…",17.0,56.0,20.0,8.0,1.0,0.0,0.0,2016-03-01 12:18:01,2016-03-01 12:18:20,,16410925.0,0.0,
17,61368986.0,Correction in interest recalculation scheduler job to avoid infinite loop,18.0,1.0,0.0,1.0,1.0,0.0,0.0,2016-03-02 08:57:47,2016-03-02 09:14:13,Adi Narayana Raju,3582507.0,1.0,2016-03-02 09:14:13
18,61371842.0,insert script for organisation start date,19.0,1.0,0.0,1.0,1.0,0.0,1.0,2016-03-02 09:24:19,2016-03-02 10:14:22,Sachin Kulkarni,10805965.0,0.0,
19,61378095.0,insert script for organisation start date,20.0,1.0,0.0,1.0,1.0,0.0,0.0,2016-03-02 10:17:05,2016-03-04 05:42:39,Sachin Kulkarni,10805965.0,1.0,2016-03-04 05:42:39
20,61388329.0,Center Rescheduling,21.0,635.0,39.0,11.0,1.0,0.0,0.0,2016-03-02 11:45:34,2016-03-02 12:35:29,Sachin Kulkarni,10805965.0,1.0,2016-03-02 12:35:29
21,61530211.0,Client full name display,22.0,56.0,20.0,8.0,2.0,0.0,0.0,2016-03-03 09:20:09,2016-03-03 09:20:21,,16410925.0,0.0,
22,61531492.0,"Display Full Name instead of First Name, Middle Name and Last Name if…",23.0,56.0,20.0,8.0,1.0,1.0,0.0,2016-03-03 09:30:53,2016-03-09 07:19:10,,16410925.0,0.0,
23,61544636.0,fix for repayment info,24.0,58.0,46.0,4.0,1.0,0.0,0.0,2016-03-03 11:20:27,2016-03-03 11:21:03,Sachin Kulkarni,10805965.0,0.0,
24,61545845.0,fix for repayment info,25.0,57.0,46.0,4.0,1.0,0.0,0.0,2016-03-03 11:31:14,2016-03-04 05:45:33,Sachin Kulkarni,10805965.0,1.0,2016-03-04 05:45:33
25,61904263.0,fix for Junit test cases,26.0,11.0,9.0,1.0,1.0,0.0,0.0,2016-03-07 11:22:34,2016-03-09 06:47:17,Sachin Kulkarni,10805965.0,1.0,2016-03-09 06:47:17
26,61906564.0,FINERACT-59 : corrected interest calculation for flat loans,27.0,16.0,9.0,1.0,1.0,0.0,0.0,2016-03-07 11:46:45,2016-03-09 06:57:12,pramod,4900563.0,1.0,2016-03-09 06:57:12
27,61916809.0,payment type applicable for disbursement charge configuration added,28.0,25.0,8.0,5.0,1.0,0.0,1.0,2016-03-07 13:29:14,2016-03-09 07:09:11,Deleted user,10137.0,0.0,
28,62180053.0,MIFOSX-2426 : added support for Interest Rate Charts based on Amount,29.0,1642.0,428.0,27.0,1.0,0.0,0.0,2016-03-09 04:59:02,2016-03-09 06:36:38,pramod,4900563.0,1.0,2016-03-09 06:36:38
29,62188482.0,payment type applicable for disbursement charge configuration added,30.0,25.0,8.0,5.0,1.0,1.0,0.0,2016-03-09 07:14:39,2016-03-09 09:17:42,Deleted user,10137.0,1.0,2016-03-09 09:17:42
30,62218004.0,Chanrging the version,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-03-09 11:57:42,2016-03-09 11:59:48,Shaik Nazeer Hussain,13728454.0,1.0,2016-03-09 11:59:48
31,62364791.0,skipping meeting date on first of every month,32.0,348.0,78.0,24.0,1.0,0.0,0.0,2016-03-10 10:00:43,2016-03-11 13:24:20,Sachin Kulkarni,10805965.0,0.0,
32,62542450.0,skipping meeting date first day of every month,33.0,389.0,88.0,26.0,1.0,0.0,0.0,2016-03-11 13:25:31,2016-03-18 09:00:03,Sachin Kulkarni,10805965.0,0.0,
33,62552913.0,MIFOSX-2626 Resolved,34.0,3.0,1.0,1.0,1.0,1.0,0.0,2016-03-11 14:50:03,2016-03-14 06:41:01,Deleted user,10137.0,1.0,2016-03-14 06:41:01
34,62703880.0,fix for undo last tranche if we change emi amount for second tranche,35.0,3.0,1.0,1.0,1.0,0.0,0.0,2016-03-14 06:05:52,2016-03-14 09:27:15,Sachin Kulkarni,10805965.0,1.0,2016-03-14 09:27:15
35,62723177.0,FINERACT-68:Validating for first repayment date while center rescheduling,36.0,6.0,0.0,1.0,1.0,0.0,0.0,2016-03-14 10:02:42,2016-03-14 10:52:28,Sachin Kulkarni,10805965.0,1.0,2016-03-14 10:52:28
36,62857030.0,Note functionality while Editing a Transaction and undoing a Transaction and on click of a particular Transaction adding a Note row,37.0,92.0,52.0,8.0,2.0,1.0,0.0,2016-03-15 05:29:13,2016-03-15 05:39:33,,17545649.0,0.0,
37,62858632.0,Provision for notes while editing and undoing a transaction,38.0,92.0,52.0,8.0,1.0,3.0,4.0,2016-03-15 05:56:37,2016-03-23 05:40:43,,17545649.0,0.0,
38,62898722.0,adding global config for interest charged from date same as disbursement date,39.0,140.0,16.0,11.0,1.0,0.0,0.0,2016-03-15 12:37:48,2016-03-16 11:23:46,Sachin Kulkarni,10805965.0,1.0,2016-03-16 11:23:46
39,62927187.0,fineract-75 error handling for loan to loan transfer,40.0,43.0,12.0,2.0,1.0,1.0,1.0,2016-03-15 15:42:45,2017-11-16 01:28:41,,5655438.0,0.0,
40,63083495.0,FINERACT-76 adding fund source to the payment type and adding payment…,41.0,169.0,46.0,15.0,1.0,1.0,0.0,2016-03-16 15:26:53,2016-03-22 05:47:10,Deleted user,10137.0,0.0,
41,63368487.0,Skipping Repayment Falling on First Day of Month,42.0,636.0,110.0,28.0,1.0,0.0,0.0,2016-03-18 12:40:57,2016-03-23 06:59:15,,16410925.0,0.0,
42,63555366.0,Self Service - Loan Application,43.0,914.0,8.0,4.0,1.0,0.0,0.0,2016-03-21 12:18:49,2016-03-22 07:26:47,Adi Narayana Raju,3582507.0,1.0,2016-03-22 07:26:47
43,63557729.0,FINERACT-86:center rescheduling fix,44.0,20.0,4.0,1.0,1.0,0.0,0.0,2016-03-21 12:40:38,2016-03-22 10:00:26,Sachin Kulkarni,10805965.0,0.0,
44,63557740.0,FINERACT-90:adding a new tranche to an active loan is changing the disbursement amount,45.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-03-21 12:40:43,2016-03-22 08:48:54,Sachin Kulkarni,10805965.0,1.0,2016-03-22 08:48:54
45,63560572.0,FINERACT-64 issues resolved,46.0,27.0,10.0,2.0,1.0,0.0,0.0,2016-03-21 13:05:48,2016-03-22 09:38:05,Deleted user,10137.0,1.0,2016-03-22 09:38:05
46,63694498.0,center reschedule fix,47.0,22.0,4.0,1.0,1.0,0.0,0.0,2016-03-22 10:01:51,2016-03-22 10:22:16,Sachin Kulkarni,10805965.0,1.0,2016-03-22 10:22:16
47,63839877.0,Skipping Meeting which Falls On First Day Of Month,48.0,647.0,132.0,28.0,1.0,1.0,0.0,2016-03-23 07:05:33,2016-03-23 09:23:57,,16410925.0,0.0,
48,63852202.0,Skip Repayment Date Falling On First Day of Month,49.0,660.0,133.0,29.0,1.0,0.0,0.0,2016-03-23 09:25:40,2016-03-28 09:35:57,,16410925.0,1.0,2016-03-28 09:35:57
49,63875125.0,FINERACT-94: Initial commit for recurring principal moratorium betwee…,50.0,143.0,54.0,17.0,2.0,1.0,0.0,2016-03-23 12:38:27,2016-03-26 08:14:55,Binny,927712.0,0.0,
50,64016668.0,Populate Display Name as Full Name when client is a Person,51.0,4.0,0.0,1.0,1.0,0.0,0.0,2016-03-24 10:46:59,2016-03-28 11:11:17,,16410925.0,1.0,2016-03-28 11:11:17
51,64132057.0,FINERACT-98:fix for deleting a tranche,52.0,3.0,2.0,3.0,1.0,0.0,0.0,2016-03-25 05:13:07,2016-03-25 05:30:47,Sachin Kulkarni,10805965.0,0.0,
