,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,16951565.0,Fix for FLINK-708 and FLINK-887 ,1.0,43.0,10.0,4.0,1.0,2.0,0.0,2014-06-10 16:51:08,2014-06-10 19:42:14,Robert Metzger,89049.0,0.0,
1,16958686.0,ForwardFields Optimizer integration,2.0,503.0,97.0,21.0,4.0,2.0,2.0,2014-06-10 19:03:03,2014-07-29 13:47:17,Sebastian Kunert,5718005.0,0.0,
2,16959729.0,"DistCache: executable flag, dir support",3.0,136.0,60.0,8.0,2.0,1.0,3.0,2014-06-10 19:22:44,2014-06-13 15:56:08,Chesnay Schepler,5725237.0,0.0,
3,16960105.0,"Serialized String comparison, Unicode support",4.0,214.0,12.0,5.0,8.0,24.0,0.0,2014-06-10 19:29:20,2015-08-27 12:05:32,Chesnay Schepler,5725237.0,0.0,
4,16970097.0,[FLINK-917] Rename netty IO thread count parameters,5.0,27.0,24.0,2.0,1.0,2.0,0.0,2014-06-10 22:31:31,2014-06-17 22:19:18,Ufuk Celebi,1756620.0,0.0,
5,16989447.0,[FLINK-898] Clean up distribution default config,6.0,39.0,83.0,1.0,1.0,2.0,0.0,2014-06-11 10:16:58,2014-06-17 22:19:18,Ufuk Celebi,1756620.0,0.0,
6,16990757.0,"Syntactic sugar for sum, min, and max aggregations",7.0,229.0,3.0,5.0,1.0,1.0,0.0,2014-06-11 10:50:15,2014-06-20 13:33:51,Kostas Tzoumas,1925554.0,0.0,
7,17044066.0,[FLINK-903] Rebase ML API example,8.0,485.0,0.0,3.0,1.0,0.0,0.0,2014-06-12 09:00:26,2014-06-13 15:38:11,WilsonCao,1916918.0,0.0,
8,17049222.0,FS.get(): Add URI causing exception to message.,9.0,4.0,2.0,1.0,2.0,1.0,0.0,2014-06-12 11:13:11,2014-06-12 21:33:24,Chesnay Schepler,5725237.0,0.0,
9,17051190.0,Bugfix: CoGroup SolutionSetFirst,10.0,125.0,2.0,3.0,1.0,2.0,0.0,2014-06-12 12:09:52,2014-06-17 22:19:18,Sebastian Kunert,5718005.0,0.0,
10,17057485.0,[FLINK-927] Quick and dirty fix for FLINK-927 and added more diagnostics information,11.0,32.0,4.0,1.0,1.0,1.0,0.0,2014-06-12 14:23:29,2014-06-12 21:27:15,,475882.0,0.0,
11,17063256.0,Fixes a bug in the Java 6 JVM where primitive arrays have a wrong type.,12.0,98.0,20.0,4.0,1.0,2.0,0.0,2014-06-12 15:56:17,2014-06-17 22:19:18,Timo Walther,5746567.0,0.0,
12,17068972.0,Fix for FLINK-929,13.0,113.0,0.0,2.0,1.0,1.0,0.0,2014-06-12 17:42:14,2014-06-12 21:17:54,Robert Metzger,89049.0,0.0,
13,17074234.0,[FLINK-934] Remove default values for JVM heap sizes in startup scripts,14.0,12.0,6.0,3.0,1.0,6.0,0.0,2014-06-12 19:19:46,2014-06-17 22:19:18,Ufuk Celebi,1756620.0,0.0,
14,17103804.0,New Webclient,15.0,29467.0,3016.0,20.0,1.0,9.0,0.0,2014-06-13 11:04:56,2014-06-18 12:00:58,Jonathan Hasenburg,5738978.0,0.0,
15,17104419.0,Added configuration subsection in webinterface,16.0,215.0,6.0,8.0,1.0,0.0,0.0,2014-06-13 11:23:00,2014-06-18 12:00:58,Jonathan Hasenburg,5738978.0,0.0,
16,17118878.0,"[FLINK-926] Shallow copy, deep equality, and hashCode to Tuple classes",17.0,1670.0,2.0,26.0,3.0,3.0,0.0,2014-06-13 16:32:42,2014-06-25 09:57:13,Kostas Tzoumas,1925554.0,0.0,
17,17128099.0,Do not limit the client's heap space (See FLINK-934),18.0,0.0,1.0,1.0,1.0,7.0,0.0,2014-06-13 19:44:06,2014-06-17 22:19:19,Robert Metzger,89049.0,0.0,
18,17154958.0,[FLINK-930] Netty Initialization is sometimes very slow,19.0,312.0,207.0,16.0,2.0,4.0,2.0,2014-06-15 18:35:03,2014-06-17 22:19:18,Ufuk Celebi,1756620.0,0.0,
19,17155035.0,[FLINK-758] Add initial value to GenericReduce and adjust AllReduceDriver,20.0,392.0,154.0,8.0,1.0,11.0,0.0,2014-06-15 18:45:37,2014-07-07 14:52:00,Ufuk Celebi,1756620.0,0.0,
20,17176392.0,Add to the contributor list,21.0,486.0,1.0,4.0,2.0,1.0,0.0,2014-06-16 13:02:48,2014-06-18 08:23:53,WilsonCao,1916918.0,0.0,
21,17200151.0,[FLINK-942] Fix bug in config.sh to correctly set user-specified JVM args,22.0,5.0,5.0,3.0,1.0,1.0,0.0,2014-06-16 20:19:18,2014-06-17 22:19:18,Ufuk Celebi,1756620.0,0.0,
22,17245274.0,Fixed JSON Bug for some plans.,23.0,99.0,6.0,2.0,1.0,2.0,0.0,2014-06-17 16:12:20,2014-06-18 12:00:58,Jonathan Hasenburg,5738978.0,0.0,
23,17247935.0,Transitive closure in Java,24.0,255.0,1.0,4.0,4.0,1.0,0.0,2014-06-17 16:57:11,2014-06-18 18:53:07,Kostas Tzoumas,1925554.0,0.0,
24,17249429.0,FLINK-944 Changed serialization logic of CollectionInputFormat to use TypeSerializer,25.0,407.0,10.0,5.0,1.0,1.0,0.0,2014-06-17 17:25:57,2014-06-18 18:53:07,Till Rohrmann,5756858.0,0.0,
25,17266850.0,[FLINK-943] Remove leading and ending double quotes from 'env.java.opts' config value,26.0,5.0,2.0,3.0,1.0,1.0,0.0,2014-06-17 22:59:49,2014-06-18 18:53:07,Ufuk Celebi,1756620.0,0.0,
26,17289572.0,Projection constructor adjusts to max tuple size,27.0,4.0,3.0,2.0,2.0,1.0,0.0,2014-06-18 12:13:02,2014-06-18 18:53:07,Chesnay Schepler,5725237.0,0.0,
27,17337947.0,[FLINK-949] Properly report GlobalBufferPool OutOfMemoryError to TaskManager,28.0,28.0,10.0,3.0,1.0,3.0,0.0,2014-06-19 08:09:57,2014-06-25 10:08:29,Ufuk Celebi,1756620.0,0.0,
28,17352293.0,SemanticProperties for Projections,29.0,233.0,7.0,5.0,1.0,1.0,1.0,2014-06-19 14:04:56,2014-07-03 12:51:47,Sebastian Kunert,5718005.0,0.0,
29,17403294.0,Added Version and Revision of Stratosphere in Webinterface,30.0,68.0,19.0,4.0,1.0,3.0,0.0,2014-06-20 12:43:50,2014-06-20 18:38:39,Jonathan Hasenburg,5738978.0,0.0,
30,17404989.0,Fixes a ContextClassloader bug,31.0,3.0,0.0,1.0,1.0,2.0,0.0,2014-06-20 13:24:26,2014-06-21 16:29:12,Timo Walther,5746567.0,0.0,
31,17414258.0,The Hadoop Compatibility has been refactored and extended to support the new Java API.,32.0,1623.0,83.0,29.0,1.0,0.0,4.0,2014-06-20 16:17:40,2014-06-21 09:45:58,Timo Walther,5746567.0,0.0,
32,17414968.0,FLINK-960 Fixed bug in CollectionDataSource constructor for Scala Collection inputs,33.0,58.0,7.0,3.0,1.0,0.0,0.0,2014-06-20 16:31:37,2014-06-25 10:26:08,Till Rohrmann,5756858.0,0.0,
33,17448551.0,[FLINK-962] Initial import of documentation from website into source code,34.0,10417.0,0.0,46.0,1.0,2.0,0.0,2014-06-22 14:01:03,2014-06-23 12:53:01,Ufuk Celebi,1756620.0,0.0,
34,17460263.0,[FLINK-924] Add automatic dependency retrieval for JarFileCreator,35.0,1468.0,4.0,24.0,3.0,14.0,0.0,2014-06-23 07:46:19,2015-04-28 07:32:29,,5807102.0,0.0,
35,17467658.0,"Reworking of Iteration Synchronization, Accumulators and Aggregators",36.0,1477.0,2184.0,80.0,1.0,4.0,0.0,2014-06-23 11:04:21,2015-04-04 08:43:40,Markus Holzemer,724330.0,0.0,
36,17529692.0,hadoopcompatibility: Implementations of basic programming interfaces and...,37.0,1887.0,160.0,24.0,4.0,42.0,30.0,2014-06-24 13:01:40,2014-11-20 11:51:45,Artem Tsikiridis,3727405.0,0.0,
37,17530101.0,[FLINK-971] Configure PooledByteBufAllocator in NettyConnectionManager,38.0,45.0,11.0,3.0,1.0,0.0,0.0,2014-06-24 13:09:41,2014-06-25 11:55:29,Ufuk Celebi,1756620.0,0.0,
38,17532003.0,Documentation update markdown,39.0,199.0,260.0,13.0,1.0,0.0,0.0,2014-06-24 13:46:38,2014-06-25 10:44:55,Sebastian Kunert,5718005.0,0.0,
39,17540758.0,Local Executor pick up the plans required degree parallelism.,40.0,211.0,117.0,8.0,3.0,3.0,0.0,2014-06-24 16:02:21,2014-06-25 09:05:56,Stephan Ewen,1727146.0,0.0,
40,17559045.0,[FLINK-979] Fix NetworkThroughput test input and output task config,41.0,168.0,112.0,1.0,1.0,1.0,0.0,2014-06-24 21:30:16,2014-06-25 08:27:06,Ufuk Celebi,1756620.0,0.0,
41,17590859.0,New operator map partition function,42.0,788.0,1.0,15.0,17.0,7.0,13.0,2014-06-25 13:45:44,2014-08-15 11:09:24,Kay Fleischmann,83858.0,0.0,
42,17594917.0,Finished Flink-928,43.0,505.0,139.0,18.0,1.0,9.0,10.0,2014-06-25 14:49:40,2014-07-03 10:08:37,Jonathan Hasenburg,5738978.0,0.0,
43,17594942.0,FIX-FLINK-888-swapValues() for Tuple2,44.0,60.0,0.0,3.0,5.0,13.0,4.0,2014-06-25 14:50:02,2014-07-04 06:52:50,,6491363.0,0.0,
44,17599812.0,ISSUE #827 fix FLINK-827,45.0,233.0,0.0,1.0,184.0,13.0,4.0,2014-06-25 16:04:44,2014-07-13 12:56:19,,6491363.0,0.0,
45,17603370.0,Fixed Bug Flink-978,46.0,1.0,1.0,1.0,1.0,1.0,0.0,2014-06-25 17:08:04,2014-06-26 08:10:02,Jonathan Hasenburg,5738978.0,0.0,
46,17607012.0,[FLINK-933] Add primitive input format to read a sequence of primitives,47.0,302.0,1.0,4.0,7.0,12.0,8.0,2014-06-25 18:18:32,2014-11-19 20:55:14,,5807102.0,0.0,
47,17617681.0,[FLINK-938] Automatically configure the jobmanager address when using start-cluster.sh,48.0,62.0,6.0,6.0,5.0,14.0,2.0,2014-06-25 21:28:36,2015-04-23 13:18:25,,5807102.0,0.0,
48,17761795.0,Mention that Oracle JDK 6 library will fail to build,49.0,1.0,1.0,1.0,1.0,1.0,0.0,2014-06-30 08:48:30,2014-06-30 08:52:47,Raymond Liu,104618.0,0.0,
49,17764413.0,[FLINK-893] Inconsistent Iteration Step Function gives nonesense error message,50.0,1.0,1.0,1.0,1.0,0.0,0.0,2014-06-30 09:51:35,2014-07-03 10:37:28,Markus Holzemer,724330.0,0.0,
