,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,70539220.0,Closes #648 - Added documentation to help users if YARN is killing co…,669.0,15.0,1.0,2.0,1.0,1.0,0.0,2016-05-18 14:35:41,2016-05-24 14:43:15,Mike Walch,730698.0,1.0,2016-05-24 14:43:15
1,73260632.0,fixes #672 moved blocking commit steps to another thread pool,674.0,128.0,47.0,3.0,1.0,0.0,0.0,2016-06-09 18:15:12,2016-06-09 21:08:36,Keith Turner,1268739.0,1.0,2016-06-09 21:08:36
2,73378974.0,fixes #673 added code to print uncaught exceptions,676.0,77.0,18.0,6.0,1.0,0.0,0.0,2016-06-10 14:06:59,2016-06-10 17:57:04,Keith Turner,1268739.0,1.0,2016-06-10 17:57:04
3,73383530.0,fixes #677 excluded hadoop-minicluster,678.0,7.0,4.0,1.0,1.0,0.0,0.0,2016-06-10 14:36:37,2016-06-10 17:58:27,Keith Turner,1268739.0,1.0,2016-06-10 17:58:27
4,73614417.0,Closes #653 - Added support for plotting historical committing transa…,679.0,320.0,235.0,2.0,1.0,0.0,0.0,2016-06-13 17:39:42,2016-06-14 17:27:23,Mike Walch,730698.0,1.0,2016-06-14 17:27:23
5,73809646.0,Rename packages to org.apache.fluo,680.0,1509.0,1617.0,254.0,1.0,0.0,0.0,2016-06-14 20:39:13,2016-06-14 21:07:44,Keith Turner,1268739.0,1.0,2016-06-14 21:07:44
6,73969145.0,Closes #647 - Add Oracle and Worker to API,681.0,623.0,379.0,20.0,3.0,0.0,5.0,2016-06-15 19:26:21,2016-06-17 16:57:34,Mike Walch,730698.0,0.0,
7,74069458.0,Updated license headers for Apache,682.0,1492.0,1280.0,259.0,1.0,0.0,0.0,2016-06-16 12:10:56,2016-06-16 14:52:37,Mike Walch,730698.0,1.0,2016-06-16 14:52:37
8,74278180.0,Fluo 647,684.0,625.0,381.0,21.0,1.0,1.0,0.0,2016-06-17 17:33:51,2016-06-21 16:16:18,Mike Walch,730698.0,1.0,2016-06-21 16:16:18
9,74284760.0,Updated documentation and links to reflect move to Apache,685.0,25.0,25.0,6.0,1.0,0.0,0.0,2016-06-17 18:22:23,2016-06-17 19:40:19,Mike Walch,730698.0,1.0,2016-06-17 19:40:19
10,74303722.0,"Deleted AUTHORS file, added NOTICE file, and removed 'incubator' from…",686.0,17.0,10.0,5.0,1.0,5.0,0.0,2016-06-17 20:53:10,2016-06-21 15:02:31,Mike Walch,730698.0,1.0,2016-06-21 15:02:31
11,74321198.0,"fixes #247 Made Accumulo,Hadoop,and ZK jars configurable in tarball",687.0,207.0,780.0,18.0,1.0,2.0,4.0,2016-06-18 00:17:27,2016-06-27 22:20:29,Keith Turner,1268739.0,1.0,2016-06-27 22:20:29
12,75486934.0,fixes#662 Make oracle log time+timestamp periodically,689.0,9.0,0.0,1.0,1.0,5.0,5.0,2016-06-28 14:27:49,2016-06-28 17:33:02,Garvit Bansal,6849301.0,1.0,2016-06-28 17:33:02
13,75549596.0,Fluo 683,691.0,49.0,81.0,5.0,2.0,0.0,0.0,2016-06-28 21:00:16,2016-07-01 03:14:15,Mike Walch,730698.0,1.0,2016-07-01 03:14:15
14,75692296.0,Fixes #429 - Added @since javadoc tags for 1.0.0 release,693.0,186.0,2.0,38.0,1.0,0.0,0.0,2016-06-29 17:53:16,2016-07-01 03:14:15,Mike Walch,730698.0,1.0,2016-07-01 03:14:15
15,75720677.0,Fixes #692 - Move YARN specific configuration out of FluoConfiguration,694.0,118.0,128.0,7.0,1.0,1.0,1.0,2016-06-29 21:01:03,2016-07-01 14:32:16,Mike Walch,730698.0,1.0,2016-07-01 14:32:16
16,76050625.0,fixes #695 removed commons config from public API,697.0,392.0,267.0,34.0,1.0,3.0,0.0,2016-07-02 00:28:05,2016-07-07 19:40:11,Keith Turner,1268739.0,1.0,2016-07-07 19:40:11
17,76064840.0,fixes #662 Adding Apache as parent pom,698.0,39.0,270.0,1.0,2.0,8.0,14.0,2016-07-02 13:15:49,2016-07-20 20:50:14,Garvit Bansal,6849301.0,1.0,2016-07-20 20:50:14
18,76488713.0,Fluo 696 - Move type layer from API to Fluo Recipes,699.0,737.0,3239.0,36.0,2.0,1.0,12.0,2016-07-06 19:36:36,2016-07-07 20:44:41,Mike Walch,730698.0,1.0,2016-07-07 20:44:41
