,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,34673010.0,Support for creating Maven distribution,1.0,77.0,6.0,5.0,3.0,0.0,2.0,2015-05-04 20:42:43,2015-05-11 19:42:14,Mark Bretl,6732519.0,0.0,
1,34729492.0,Allow REST web API to be launched. Eliminate duplicate code,2.0,477.0,304.0,4.0,2.0,0.0,0.0,2015-05-05 14:27:37,2015-06-23 17:50:40,,5561056.0,0.0,
2,34929071.0,Port projectgeode.org,3.0,850.0,11.0,21.0,2.0,4.0,0.0,2015-05-07 15:43:28,2015-07-07 20:57:58,Chloe Jackson,1204932.0,0.0,
3,35764723.0,Minor grammatical fixes,4.0,9.0,9.0,2.0,1.0,1.0,0.0,2015-05-19 19:16:49,2015-07-15 01:11:05,hubbardr,5067336.0,0.0,
4,36215523.0,GEODE-21. Website updates from ProjectGeode.org git,5.0,1299.0,0.0,27.0,1.0,0.0,0.0,2015-05-26 15:38:37,2015-07-15 01:11:12,Roman V Shaposhnik,34680.0,0.0,
5,36368576.0,[GEODE-41] #comment Fix issue #41,6.0,3.0,1.0,1.0,1.0,0.0,0.0,2015-05-28 03:10:59,2015-05-28 05:10:57,William Oliveira,163746.0,1.0,2015-05-28 05:10:57
6,36456184.0,Added note about installDist task to COMPILING.txt,7.0,4.0,0.0,1.0,1.0,0.0,0.0,2015-05-28 22:08:16,2015-06-04 18:38:41,Dan Smith,857521.0,0.0,
7,36963230.0,Testing git2jira Integration,8.0,3.0,1.0,1.0,2.0,0.0,0.0,2015-06-04 18:25:29,2015-06-04 18:35:26,William Oliveira,163746.0,0.0,
8,38174558.0,[GEODE-20] Allow REST API to be launched,9.0,479.0,306.0,4.0,1.0,0.0,0.0,2015-06-20 21:21:56,2015-06-23 17:47:02,,5561056.0,1.0,2015-06-23 17:47:02
9,39933531.0,GEODE-83 Add support for Redis AUTH command,10.0,335.0,27.0,14.0,4.0,3.0,0.0,2015-07-14 16:16:50,2015-07-27 18:30:07,,5885998.0,1.0,2015-07-27 18:30:07
10,39972006.0,GEODE-115 Change gfsh path for integration tests,11.0,3.0,7.0,1.0,1.0,0.0,0.0,2015-07-14 22:53:17,2015-07-15 17:01:48,Jianxia Chen,11181423.0,1.0,2015-07-15 17:01:48
11,41040433.0,Added UnclosableInputStream for SAX parser,12.0,24.0,1.0,1.0,1.0,1.0,0.0,2015-07-28 17:54:45,2015-07-29 16:47:01,Lei Zhang,12564978.0,0.0,
12,41599359.0,Fix for GEODE-109,13.0,2287.0,456.0,104.0,2.0,0.0,3.0,2015-08-04 18:08:55,2015-08-06 18:27:19,,5885998.0,0.0,
13,41815962.0,implemented ability to publish into local maven repository,14.0,16.0,4.0,5.0,1.0,1.0,0.0,2015-08-06 17:59:18,2015-08-06 18:34:23,Konstantin Ignatyev,868783.0,0.0,
14,42283628.0,Fix JMX Http manager incorrect 'start gateway-sender' mapping,15.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-08-12 20:17:36,2015-08-19 23:10:05,,5885998.0,1.0,2015-08-19 23:10:05
15,42726490.0,Handle region create/destroy remote event in Redis adpater,16.0,27.0,13.0,4.0,1.0,0.0,0.0,2015-08-18 17:37:44,2015-08-19 00:50:19,,5885998.0,0.0,
16,42750447.0,Fix for GEODE-222,17.0,105.0,87.0,10.0,2.0,1.0,0.0,2015-08-18 21:21:49,2015-08-27 18:23:52,,5885998.0,0.0,
17,43549933.0,GEODE-222 Allow redis adapter to handle live entry objects,18.0,109.0,85.0,1.0,1.0,0.0,0.0,2015-08-27 18:24:51,2015-09-02 19:36:06,,5885998.0,1.0,2015-09-02 19:36:06
18,44468833.0,GEODE-313 Improve redis adpater region exception handling,19.0,23.0,21.0,1.0,1.0,1.0,0.0,2015-09-08 18:52:21,2015-09-10 23:08:38,,5885998.0,1.0,2015-09-10 23:08:38
19,47213449.0,GEODE-18 fixing existing header files,20.0,64851.0,25262.0,4337.0,2.0,0.0,0.0,2015-10-08 22:14:18,2015-10-16 22:51:12,,13647469.0,1.0,2015-10-16 22:51:12
20,48381938.0,GEODE-465 Javadocs: Reference to 'PartitionedResolver' should be 'PartitionResolver',21.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-10-21 20:17:16,2015-10-21 23:02:02,Dave Barnes,13138489.0,0.0,
21,48399619.0,GEODE-465 changed 2 occurrences of PartionedResolver to PartitionReso…,22.0,2.0,2.0,2.0,1.0,0.0,0.0,2015-10-21 23:05:20,2015-10-26 23:41:13,Dave Barnes,13138489.0,1.0,2015-10-26 23:41:13
22,48605804.0,GEODE-479 - Updating build.gradle to support Java 8,23.0,2.0,2.0,1.0,1.0,1.0,0.0,2015-10-23 17:14:46,2015-10-26 23:37:10,William Oliveira,163746.0,0.0,
23,48836746.0,Wrong one line build command,24.0,2.0,0.0,1.0,1.0,0.0,0.0,2015-10-27 07:31:26,2015-11-04 18:36:01,Jun Aoki,1417151.0,0.0,
24,48946179.0,Fixes GEODE-495. ,25.0,11.0,5.0,1.0,1.0,0.0,0.0,2015-10-27 23:18:41,2015-10-28 03:43:29,Sai Boorlagadda,7171016.0,0.0,
25,49049497.0,Fixes GEODE-485. ,26.0,5.0,0.0,1.0,1.0,3.0,0.0,2015-10-28 18:43:37,2015-11-06 00:25:55,Sai Boorlagadda,7171016.0,0.0,
26,49074169.0,adding RHEL/CENTOS init scripts for locator and server,27.0,123.0,0.0,2.0,7.0,2.0,0.0,2015-10-28 22:09:11,2015-11-02 18:52:13,,12435996.0,0.0,
