,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,108934427.0,[MINOR] Modify README.md,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2017-03-03 09:21:22,2017-03-03 09:44:44,William Guo,20692611.0,0.0,
1,108938234.0,[MINOR] Add pull request merge script tool,2.0,464.0,0.0,1.0,3.0,0.0,0.0,2017-03-03 09:46:00,2017-03-03 09:49:18,William Guo,20692611.0,0.0,
2,108961398.0,Init move,3.0,22040.0,891.0,562.0,5.0,0.0,0.0,2017-03-03 12:11:39,2017-03-03 14:00:14,William Guo,20692611.0,0.0,
3,111322105.0,Updatereadme,4.0,46.0,47.0,8.0,3.0,0.0,0.0,2017-03-17 16:50:07,2017-03-17 16:53:07,William Guo,20692611.0,0.0,
4,111359033.0,Fix merge pr script error urls,5.0,10.0,10.0,1.0,4.0,0.0,0.0,2017-03-17 20:24:22,2017-03-17 20:26:33,William Guo,20692611.0,0.0,
5,111365769.0,Remove old travis links,6.0,2.0,2.0,1.0,5.0,0.0,0.0,2017-03-17 21:06:01,2017-03-17 21:07:24,William Guo,20692611.0,0.0,
6,111374913.0,GitHub sync jira,7.0,3.0,3.0,1.0,6.0,0.0,0.0,2017-03-17 22:08:46,2017-03-17 22:10:29,William Guo,20692611.0,0.0,
7,112574521.0,modified a typo from wiil to will,8.0,2.0,2.0,1.0,1.0,1.0,0.0,2017-03-25 05:17:17,2017-03-30 04:29:43,Yiye Fang,26561992.0,0.0,
8,113348861.0,"fixed some typos in userguide page, wiil->will,everyt->every…",9.0,4.0,4.0,1.0,1.0,0.0,0.0,2017-03-30 05:29:38,2017-03-30 05:41:24,Yiye Fang,26561992.0,0.0,
9,113368932.0,[GRIFFIN-6] Push griffin streaming measure,10.0,3474.0,0.0,61.0,1.0,1.0,0.0,2017-03-30 08:09:13,2017-03-30 08:11:43,Lionel Liu,12149769.0,0.0,
10,113384532.0,[GRIFFIN-6]Support autoclose jira,11.0,1.0,1.0,1.0,8.0,0.0,0.0,2017-03-30 09:33:37,2017-03-30 09:35:21,William Guo,20692611.0,0.0,
