,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,246752814.0,Fixing behavior of buffering in Create/Merge handles for invalid/wrong schema records,558.0,86.0,73.0,8.0,1.0,4.0,9.0,2019-01-22 21:08:00,2019-01-29 00:01:04,,2722167.0,1.0,2019-01-29 00:01:04
1,247611732.0,Using immutable map instead of mutables to generate parameters,559.0,95.0,55.0,4.0,1.0,3.0,0.0,2019-01-25 09:35:08,2019-01-31 00:09:42,Kent Yao,8326978.0,1.0,2019-01-31 00:09:42
2,249357797.0,Make HoodieDeltaStreamer hive-sync to CDH Hive Servers,563.0,274.0,630.0,10.0,1.0,3.0,4.0,2019-01-31 18:46:33,2019-02-16 06:05:35,Balaji Varadarajan,3021376.0,1.0,2019-02-16 06:05:35
3,250604605.0,Table rollback for inflight compactions MUST not delete instant files at any time to avoid race conditions,565.0,97.0,18.0,6.0,1.0,4.0,12.0,2019-02-06 00:59:52,2019-02-12 02:30:22,Balaji Varadarajan,3021376.0,1.0,2019-02-12 02:30:22
4,250920038.0,Updating new slack signup link,566.0,1.0,1.0,1.0,1.0,0.0,0.0,2019-02-06 21:51:17,2019-02-06 21:52:04,vinoth chandar,1179324.0,1.0,2019-02-06 21:52:04
5,252040404.0,Fix Hoodie Record Reader to work with non-partitioned dataset ( ISSUE-561),569.0,36.0,8.0,3.0,1.0,0.0,0.0,2019-02-11 19:45:19,2019-02-12 02:29:24,Balaji Varadarajan,3021376.0,1.0,2019-02-12 02:29:24
6,252607403.0,typo: bundle jar with unrecognized variables,570.0,3.0,3.0,3.0,1.0,7.0,0.0,2019-02-13 08:52:01,2019-02-21 00:32:58,Kent Yao,8326978.0,1.0,2019-02-21 00:32:58
7,252791436.0,Create hoodie-presto bundle jar. fixes #567,571.0,226.0,0.0,3.0,1.0,4.0,5.0,2019-02-13 17:57:19,2019-02-25 03:49:03,Bhavani Sudha Saktheeswaran,2179254.0,1.0,2019-02-25 03:49:03
8,252792537.0,FIleSystem View to handle same fileIds across partitions correctly,572.0,388.0,120.0,20.0,1.0,7.0,16.0,2019-02-13 18:01:08,2019-03-01 18:49:05,Balaji Varadarajan,3021376.0,1.0,2019-03-01 18:49:05
9,252874519.0,Close FSDataInputStream for meta file open in HoodiePartitionMetadata . Fixes issue #573,574.0,9.0,3.0,2.0,1.0,1.0,2.0,2019-02-13 22:42:20,2019-02-16 06:16:33,Bhavani Sudha Saktheeswaran,2179254.0,1.0,2019-02-16 06:16:33
10,252929973.0,"Upgrade various jar, gem versions for maintenance",575.0,26.0,31.0,3.0,1.0,3.0,0.0,2019-02-14 03:54:21,2019-03-01 18:14:01,vinoth chandar,1179324.0,1.0,2019-03-01 18:14:01
11,252960873.0,handle no such element exception in HoodieSparkSqlWriter,576.0,14.0,4.0,2.0,1.0,2.0,7.0,2019-02-14 07:00:52,2019-02-16 06:11:49,Kent Yao,8326978.0,1.0,2019-02-16 06:11:49
12,255501378.0,Replacing Apache commons-lang3 object serializer with Kryo serializer,582.0,180.0,129.0,9.0,2.0,0.0,0.0,2019-02-22 19:12:02,2019-02-22 20:53:35,,899843.0,0.0,
13,255528868.0,Replacing Apache commons-lang3 object serializer with Kryo serializer,583.0,152.0,122.0,11.0,1.0,5.0,32.0,2019-02-22 20:52:45,2019-03-18 21:12:26,,899843.0,1.0,2019-03-18 21:12:26
14,256015276.0,Handling duplicate record update for single partition (duplicates in single or different parquet files),584.0,15.0,8.0,3.0,1.0,9.0,3.0,2019-02-25 19:23:51,2019-03-11 03:15:19,,899843.0,1.0,2019-03-11 03:15:19
15,256709233.0,Update RELEASE_NOTES for 0.4.5,587.0,60.0,0.0,1.0,1.0,0.0,0.0,2019-02-27 14:47:49,2019-02-27 14:47:58,vinoth chandar,1179324.0,1.0,2019-02-27 14:47:58
16,257554160.0,Fix hive sync and deltastreamer issue in demo,593.0,14.0,7.0,5.0,1.0,2.0,5.0,2019-03-01 19:20:58,2019-03-13 23:14:33,Balaji Varadarajan,3021376.0,1.0,2019-03-13 23:14:33
