,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,232394174.0,Allow Tables implementations to override table paths.,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2018-11-20 17:05:38,2018-11-26 17:37:44,Ryan Blue,87915.0,1.0,2018-11-26 17:37:44
1,232472614.0,Support dateCreated expressions in ScanSummary.,2.0,223.0,10.0,2.0,1.0,1.0,0.0,2018-11-20 21:59:19,2018-11-28 23:30:53,Ryan Blue,87915.0,1.0,2018-11-28 23:30:53
2,233404472.0,Store multiple partition specs in table metadata.,3.0,422.0,101.0,8.0,2.0,2.0,2.0,2018-11-25 22:13:44,2018-12-05 19:53:06,Ryan Blue,87915.0,1.0,2018-12-05 19:53:06
3,233667319.0,Use the same shared FileSystem instance across calls in HadoopTableOperations,4.0,24.0,18.0,3.0,1.0,7.0,0.0,2018-11-26 19:17:38,2018-11-27 02:12:16,,8975385.0,0.0,
4,233668912.0,Fix gitignore for IDEA project files.,5.0,2.0,0.0,1.0,3.0,0.0,0.0,2018-11-26 19:23:36,2018-11-26 20:14:55,,8975385.0,1.0,2018-11-26 20:14:55
5,233670354.0,Support customizing the location where data is written in Spark,6.0,48.0,9.0,5.0,13.0,3.0,10.0,2018-11-26 19:28:37,2018-12-11 20:37:00,,8975385.0,1.0,2018-12-11 20:37:00
6,233671687.0,Allow custom hadoop properties to be loaded in the Spark data source,7.0,33.0,10.0,2.0,9.0,5.0,26.0,2018-11-26 19:33:20,2018-12-14 18:04:18,,8975385.0,1.0,2018-12-14 18:04:18
7,233733957.0,Make HadoopTableOperations public with protected constructor.,10.0,2.0,2.0,1.0,1.0,1.0,0.0,2018-11-26 23:46:57,2018-11-27 01:36:50,,8975385.0,0.0,
8,233747925.0,"Ignore .avro, .avro.crc, and hive/derby.log.",11.0,3.0,0.0,1.0,1.0,5.0,0.0,2018-11-27 01:11:35,2018-11-29 17:41:57,,8975385.0,0.0,
9,233755327.0,Pluggable file I/O submodule in TableOperations,14.0,272.0,155.0,20.0,16.0,6.0,35.0,2018-11-27 02:00:35,2018-12-11 17:14:46,,8975385.0,1.0,2018-12-11 17:14:45
