,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,34068989.0,JavaLogger javadoc and test updates,1.0,138.0,138.0,49.0,2.0,2.0,0.0,2015-04-24 17:29:00,2015-04-28 21:52:04,Cosmin Stroe,1182093.0,0.0,
1,36115016.0,Merge pull request #1 from apache/master,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-05-25 03:35:04,2015-05-25 03:35:27,Navid Mitchell,389891.0,0.0,
2,38189358.0,Renamed IgniteRddSpec to IgniteRDDSpec,3.0,5.0,5.0,2.0,1.0,1.0,0.0,2015-06-21 19:39:04,2016-01-22 17:41:05,StephenBoesch,410769.0,0.0,
3,41873268.0,Ignite fake ticket,4.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 09:16:40,2015-08-07 13:36:18,Artem Shutak,10652569.0,0.0,
4,41892287.0,Ignite fake ticket,5.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 13:37:31,2015-08-07 13:40:41,Artem Shutak,10652569.0,0.0,
5,41892633.0,Ignite fake ticket,6.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 13:41:17,2015-08-07 13:45:33,Artem Shutak,10652569.0,0.0,
6,41893092.0,Ignite fake ticket 4,7.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 13:46:14,2015-08-07 15:05:29,Artem Shutak,10652569.0,0.0,
7,41901267.0,Ignite fake ticket,8.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 15:06:26,2015-08-07 15:22:58,Artem Shutak,10652569.0,0.0,
8,41903152.0,Ignite fake ticket 9,9.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 15:24:15,2015-08-07 16:01:45,Artem Shutak,10652569.0,0.0,
9,41907147.0,Ignite fake ticket 10,10.0,4.0,0.0,1.0,2.0,0.0,0.0,2015-08-07 16:04:12,2015-08-10 11:11:32,Artem Shutak,10652569.0,0.0,
10,41962194.0,IGNITE-534 Implement IgniteJmsStreamer to stream data from a JMS broker like ActiveMQ,11.0,1379.0,0.0,8.0,4.0,2.0,0.0,2015-08-08 23:04:34,2015-08-12 17:10:49,raulk,1101242.0,0.0,
11,42044501.0,Ignite fake ticket2,12.0,5.0,0.0,1.0,2.0,0.0,0.0,2015-08-10 17:26:55,2015-08-11 17:08:47,Artem Shutak,10652569.0,0.0,
12,42153282.0,Ignite fake ticket2 (ver. 2),13.0,5.0,0.0,1.0,2.0,0.0,0.0,2015-08-11 17:09:59,2015-08-13 17:02:23,Artem Shutak,10652569.0,0.0,
