,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,64756343.0,Performance Improvements to Joshua,1.0,1633.0,240.0,36.0,8.0,5.0,0.0,2016-03-31 09:03:12,2016-04-01 22:56:35,Kellen Sunderland,7443219.0,1.0,2016-04-01 22:56:35
1,67826467.0,"Fixed files in wrong folder, appended a few extra commits",2.0,6839.0,73.0,31.0,4.0,2.0,0.0,2016-04-26 04:49:47,2016-04-26 21:55:49,Kellen Sunderland,7443219.0,1.0,2016-04-26 21:55:49
2,67937597.0,JOSHUA-254 Update README with correct branding,3.0,312.0,42.0,9.0,1.0,0.0,0.0,2016-04-26 18:45:32,2016-04-27 02:08:57,Lewis John McGibbney,1165719.0,1.0,2016-04-27 02:08:57
3,68060086.0,JOSHUA-255 License headers for all bash scripts,4.0,1052.0,54.0,66.0,1.0,0.0,0.0,2016-04-27 14:12:27,2016-04-28 03:46:22,Lewis John McGibbney,1165719.0,1.0,2016-04-28 03:46:22
4,68071960.0,JOSHUA-256 Note that Joshua builds and runs with >= Java 1.8,5.0,22.0,17.0,1.0,1.0,0.0,0.0,2016-04-27 15:19:00,2016-04-27 17:25:20,Lewis John McGibbney,1165719.0,1.0,2016-04-27 17:25:20
5,68136994.0,More work on structuring translation output,6.0,1191.0,653.0,43.0,5.0,4.0,0.0,2016-04-27 22:39:03,2016-04-28 00:43:01,Kellen Sunderland,7443219.0,0.0,
6,68283994.0,JOSHUA-257 Add license headers to all Python scripts,7.0,270.0,0.0,17.0,1.0,1.0,0.0,2016-04-28 20:22:14,2016-04-28 23:34:46,Lewis John McGibbney,1165719.0,1.0,2016-04-28 23:34:46
7,68295179.0,JOSHUA-258 Add back penn-treebank-(de)tokenizer perl scripts,8.0,509.0,0.0,2.0,1.0,4.0,0.0,2016-04-28 21:40:12,2016-05-31 23:26:43,Lewis John McGibbney,1165719.0,0.0,
8,68302668.0,More work on structuring translation output,9.0,1194.0,656.0,43.0,5.0,2.0,0.0,2016-04-28 22:46:54,2016-04-29 04:47:16,Kellen Sunderland,7443219.0,1.0,2016-04-29 04:47:16
9,68627363.0,Performance improvements and code cleanup,10.0,377.0,221.0,29.0,5.0,0.0,0.0,2016-05-02 21:49:39,2016-05-03 03:07:49,Kellen Sunderland,7443219.0,1.0,2016-05-03 03:07:49
10,68749430.0,Removed a few unneeded allocations,11.0,7.0,17.0,4.0,1.0,5.0,0.0,2016-05-03 18:09:59,2016-05-26 10:16:21,Kellen Sunderland,7443219.0,0.0,
11,70103712.0,JOSHUA-252 Make it possible to use Maven to build Joshua,12.0,9146.0,32602.0,861.0,29.0,79.0,0.0,2016-05-14 20:57:39,2016-06-01 02:51:10,Lewis John McGibbney,1165719.0,1.0,2016-06-01 02:51:10
12,70266443.0,JOSHUA-264 System.exit() calls are replaced by throw new RuntimeException(),13.0,549.0,993.0,42.0,3.0,8.0,0.0,2016-05-16 21:41:45,2016-05-26 05:11:26,Thamme Gowda,1865964.0,1.0,2016-05-26 05:11:26
13,70274443.0,Maven assembly plugin for executable jar with all dependencies,14.0,13.0,0.0,1.0,1.0,1.0,0.0,2016-05-16 22:47:42,2016-05-26 04:54:45,Thamme Gowda,1865964.0,1.0,2016-05-26 04:54:45
14,70942642.0,Joshua-262: Slf4j - Log4j bridge ,15.0,3098.0,28378.0,695.0,19.0,2.0,36.0,2016-05-21 07:25:42,2016-05-26 05:42:49,Thamme Gowda,1865964.0,0.0,
15,71386699.0,New Juju charms for deployment process & move dockerfile,16.0,2309.0,0.0,25.0,6.0,5.0,0.0,2016-05-25 13:01:19,2016-06-01 02:51:11,Tom Barber,103544.0,1.0,2016-06-01 02:51:11
16,71502725.0,"JOSHUA-262 : Replacing System.{out,err}.print* and java.util.log with SLF4j",17.0,816.0,748.0,72.0,11.0,0.0,0.0,2016-05-26 05:39:29,2016-05-26 07:04:08,Thamme Gowda,1865964.0,1.0,2016-05-26 07:04:08
17,71756604.0,FIX: override logger settings at runtime,18.0,4.0,4.0,2.0,1.0,1.0,0.0,2016-05-27 18:47:32,2016-05-27 19:43:40,Thamme Gowda,1865964.0,1.0,2016-05-27 19:43:40
18,71772425.0,Added the licence header,19.0,15.0,0.0,1.0,1.0,1.0,0.0,2016-05-27 21:02:23,2016-05-27 21:05:11,Thamme Gowda,1865964.0,1.0,2016-05-27 21:05:11
19,71861851.0,Some changes to structured translation interface to provide kbest access.,20.0,462.0,245.0,16.0,4.0,8.0,0.0,2016-05-30 07:20:19,2016-05-31 15:14:44,Felix Hieber,2027990.0,1.0,2016-05-31 15:14:44
20,72036942.0,Reworked some SparseFeature functions. Also added 'lexical' sparse features.,21.0,303.0,103.0,13.0,2.0,0.0,0.0,2016-05-31 15:32:25,2016-06-01 02:51:11,Felix Hieber,2027990.0,1.0,2016-06-01 02:51:11
21,72341252.0,This patch enables junit tests.  Fixes a bug with FeatureVector,22.0,136.0,116.0,10.0,1.0,5.0,0.0,2016-06-02 12:56:33,2016-06-02 13:28:00,Kellen Sunderland,7443219.0,1.0,2016-06-02 13:28:00
22,73312940.0,bug fix: GrammarPacker.java,23.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-06-10 02:04:34,2016-06-10 02:08:08,Courtney Napoles,393791.0,1.0,2016-06-10 02:08:08
23,74040934.0,Maven multi-module project layout proposal,24.0,614.0,145.0,675.0,2.0,20.0,0.0,2016-06-16 08:31:30,2016-09-02 09:11:52,Pavel Danchenko,713105.0,0.0,
24,74555354.0,ClassLMs: fixed a bug with class-based lms not mapping to class ids for estimateCost(),25.0,6355.0,836.0,9.0,1.0,3.0,0.0,2016-06-21 06:00:11,2016-06-22 20:56:29,Felix Hieber,2027990.0,1.0,2016-06-22 20:56:29
25,74585766.0,Owner Ids are maintained in separate mapping now,26.0,6661.0,962.0,33.0,2.0,2.0,0.0,2016-06-21 10:19:24,2016-06-22 21:12:12,Felix Hieber,2027990.0,1.0,2016-06-22 21:12:11
