,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,27488274.0,[KYLIN-528] Fix the problem in BuildCubeWithEngine and add BuildIIWithEn...,1.0,866.0,245.0,30.0,1.0,0.0,0.0,2015-01-16 07:22:48,2015-01-16 22:32:50,Shaofeng Shi,5411805.0,1.0,2015-01-16 22:32:50
1,32398685.0,Update Kylin Metadata Store.md,2.0,3.0,3.0,1.0,1.0,0.0,0.0,2015-04-01 08:36:44,2015-04-03 23:13:47,lindh,5164781.0,1.0,2015-04-03 23:13:47
2,32837110.0,KYLIN-666 Select float type column got class cast exception,3.0,2.0,0.0,1.0,1.0,2.0,0.0,2015-04-08 08:13:42,2015-05-03 06:30:55,Xiaoyu Wang,8033247.0,0.0,
3,35125032.0,KYLIN-758,4.0,7.0,1.0,1.0,2.0,2.0,0.0,2015-05-11 13:05:13,2015-06-08 12:56:35,Akash Mishra,858038.0,0.0,
4,35917828.0,KYLIN-752 improve query performance for values that are not in dictio…,5.0,152.0,4.0,2.0,1.0,2.0,0.0,2015-05-21 10:00:56,2015-06-04 05:53:13,"Huang, Hua",5730483.0,0.0,
5,36003904.0,Update cleanup workflow.,6.0,1101351.0,190404.0,3497.0,885.0,3.0,0.0,2015-05-22 06:34:39,2018-02-13 06:00:46,,6188061.0,0.0,
6,36006072.0,Update cleanup workflow.,7.0,329.0,9.0,1.0,1.0,0.0,0.0,2015-05-22 07:21:39,2015-06-04 05:53:13,,6188061.0,0.0,
7,36538374.0,MapR Compatibility,8.0,16.0,9.0,4.0,4.0,2.0,0.0,2015-05-29 19:42:01,2015-06-04 05:53:13,,11586740.0,0.0,
8,37138262.0,[KYLIN-819] Fix necessary ColumnMetaData order for Calcite (Optic),9.0,4.0,4.0,1.0,1.0,2.0,0.0,2015-06-08 10:06:15,2015-08-12 15:00:53,,1825067.0,0.0,
9,40423345.0,0.7 staging,10.0,8.0,0.0,2.0,3.0,2.0,0.0,2015-07-21 05:15:58,2015-07-28 05:50:28,steven zhang,3294003.0,0.0,
10,42258561.0,KYLIN-945 Fix Exception when loading Connection from DataSource,11.0,13.0,0.0,1.0,1.0,0.0,0.0,2015-08-12 16:17:01,2015-09-07 11:21:31,,1825067.0,0.0,
11,46165038.0,Replacing Concise with Roaring throughout.,12.0,210.0,150.0,11.0,1.0,1.0,0.0,2015-09-28 14:43:00,2015-10-07 14:36:42,Daniel Lemire,391987.0,0.0,
12,47410169.0,Fix for KYLIN-1070,13.0,1.0,0.0,1.0,1.0,0.0,0.0,2015-10-12 11:40:52,2015-10-26 05:41:18,vipin kumar,4007943.0,0.0,
