,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,49768878.0,Feature/svm grouping,1.0,1054.0,365.0,10.0,13.0,0.0,5.0,2015-11-05 00:54:47,2015-11-15 19:43:45,Xiaocheng Tang,4022529.0,0.0,
1,50566056.0,Add hello-world examples,2.0,1133.0,0.0,8.0,1.0,1.0,1.0,2015-11-12 20:52:27,2015-11-21 00:02:04,Xiaocheng Tang,4022529.0,0.0,
2,51424154.0,Feature/svm cv,3.0,1873.0,524.0,14.0,14.0,0.0,0.0,2015-11-20 23:57:02,2015-11-21 00:01:54,Xiaocheng Tang,4022529.0,0.0,
3,51425630.0,SVM: Add cross validation support and generic CrossValidator class,4.0,984.0,313.0,9.0,4.0,0.0,10.0,2015-11-21 00:20:47,2015-12-01 21:08:21,Xiaocheng Tang,4022529.0,0.0,
4,52203123.0,Matrix: fix minor formatting with matrix diag,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-12-01 01:08:23,2015-12-23 21:56:56,Frank McQuillan,10538173.0,0.0,
5,52599291.0,Patch/1,6.0,9.0,4.0,2.0,2.0,0.0,0.0,2015-12-03 22:01:26,2015-12-04 22:32:52,Xiaocheng Tang,4022529.0,0.0,
6,52724282.0,Matrix: Fix multiple input/output issues,7.0,23.0,31.0,1.0,1.0,0.0,0.0,2015-12-04 21:33:28,2015-12-09 21:14:46,Rahul Iyer,2237447.0,1.0,2015-12-09 21:14:46
7,53059909.0,Matrix docs,8.0,118.0,86.0,1.0,2.0,0.0,0.0,2015-12-09 00:22:16,2015-12-23 21:56:56,Frank McQuillan,10538173.0,0.0,
8,53461689.0,SVM: fix prediction when grouping is used in training,9.0,49.0,48.0,2.0,1.0,0.0,0.0,2015-12-12 00:34:47,2015-12-16 22:30:22,Xiaocheng Tang,4022529.0,0.0,
9,53644683.0,SVM: Add Gaussian kernel feature mapping,10.0,1503.0,155.0,10.0,6.0,0.0,18.0,2015-12-15 00:40:55,2016-02-12 18:54:32,Xiaocheng Tang,4022529.0,0.0,
10,55979366.0,Summary: Don't filter columns by name comparison,11.0,105.0,111.0,2.0,1.0,0.0,0.0,2016-01-14 00:56:18,2016-01-14 01:22:53,Orhan Kislal,9490520.0,0.0,
11,56548188.0,Bugfix/elastic net type,12.0,30.0,5.0,3.0,2.0,0.0,0.0,2016-01-20 00:34:26,2016-01-20 21:23:52,Orhan Kislal,9490520.0,0.0,
12,56950017.0,Bugfix/kmeans null handling,13.0,42.0,15.0,3.0,1.0,3.0,1.0,2016-01-22 22:23:56,2016-02-04 18:32:37,Orhan Kislal,9490520.0,1.0,2016-02-04 18:32:37
13,58788490.0,MADLIB-962. Add LICENSE NOTICE and RAT checks to the project,14.0,1206.0,2.0,22.0,1.0,1.0,1.0,2016-02-09 18:29:07,2016-02-10 00:47:41,Roman V Shaposhnik,34680.0,0.0,
14,58832904.0,"Term Freq: Allow custom col names, avoid temp vocab",15.0,4.0,5.0,2.0,1.0,3.0,0.0,2016-02-10 00:41:33,2016-02-10 01:00:18,Rahul Iyer,2237447.0,0.0,
15,58968279.0,Release Tasks: Licenses,16.0,91.0,6.0,7.0,1.0,1.0,0.0,2016-02-10 22:58:37,2016-02-12 18:54:32,Orhan Kislal,9490520.0,0.0,
16,59686289.0,PCA: Proportion of variance for PCA training function,17.0,883.0,313.0,4.0,1.0,0.0,0.0,2016-02-17 18:22:21,2016-02-22 15:56:00,Orhan Kislal,9490520.0,0.0,
17,59869567.0,Release notes for 1.9alpha.,18.0,57.0,12.0,2.0,2.0,0.0,0.0,2016-02-18 21:53:48,2016-02-20 00:24:31,Orhan Kislal,9490520.0,0.0,
