,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,53165406.0,Initial code for a website ,1.0,25.0,5.0,2.0,5.0,42.0,0.0,2015-12-09 19:24:18,2015-12-17 19:03:12,Debo~ Dutta,877050.0,1.0,2015-12-17 19:03:12
1,53525333.0,replace opensoc-streaming version 0.4BETA with 0.6BETA 8e7a6b4ad9febbc…,2.0,43963.0,5245.0,256.0,1.0,8.0,10.0,2015-12-14 05:11:57,2015-12-17 20:46:15,cp2,1512736.0,1.0,2015-12-17 20:46:15
2,53624415.0,[METRON-2] Initial migration of Ambari install and config scripts,3.0,855.0,1.0,30.0,6.0,2.0,0.0,2015-12-14 21:29:01,2016-05-03 22:04:03,Mark Bittmann,5776518.0,0.0,
3,54124801.0,METRON-5. Minor tweaks to website.,4.0,5.0,4.0,4.0,1.0,1.0,0.0,2015-12-18 16:55:14,2016-01-08 16:15:55,Owen O'Malley,206536.0,0.0,
4,55059689.0,[METRON-6] patch to fix the bug,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-01-05 06:47:36,2016-01-08 20:30:28,Debo~ Dutta,877050.0,1.0,2016-01-08 20:30:28
5,55240549.0,[METRON-9] Adding a gitignore file,6.0,1.0,0.0,1.0,4.0,5.0,0.0,2016-01-06 17:35:46,2016-01-14 17:51:07,Sean Schulte,19976.0,1.0,2016-01-14 17:51:07
6,55481815.0,METRON-14. Add news item for Debo becoming a committer.,7.0,18.0,1.0,2.0,1.0,2.0,0.0,2016-01-08 16:36:50,2016-01-08 20:34:36,Owen O'Malley,206536.0,1.0,2016-01-08 20:34:36
7,55956085.0,[METRON-12] Replace all instances of 'OpenSoc' with 'Metron',8.0,1339.0,1341.0,673.0,4.0,5.0,0.0,2016-01-13 21:11:07,2016-01-14 17:03:07,Elana Hashman,4706131.0,1.0,2016-01-14 17:03:07
8,56189084.0,[METRON-19] Enable Travis CI testing,9.0,43.0,1.0,2.0,4.0,11.0,0.0,2016-01-15 16:20:02,2016-06-07 23:45:28,Paul Kehrer,161495.0,0.0,
9,56189879.0,Storm Flux,10.0,4403.0,4239.0,79.0,9.0,3.0,0.0,2016-01-15 16:26:07,2016-01-22 18:11:39,Sean Schulte,19976.0,0.0,
10,56230401.0,Bro Parser Improvements,11.0,136.0,123.0,2.0,2.0,3.0,2.0,2016-01-15 22:34:51,2016-01-22 18:06:56,Sean Schulte,19976.0,0.0,
11,56753992.0,Upgrade to Junit 4.12,12.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-01-21 14:12:37,2016-01-22 18:17:03,Suneel Marthi,3137442.0,0.0,
12,56922823.0,Falconhose Topology,13.0,880.0,0.0,7.0,11.0,1.0,0.0,2016-01-22 18:20:30,2016-05-04 16:01:24,Sean Schulte,19976.0,0.0,
13,57157757.0,Deployment,14.0,4195.0,0.0,99.0,5.0,4.0,0.0,2016-01-26 01:25:58,2016-01-26 14:42:15,,311928.0,0.0,
14,57251062.0,METRON-21,15.0,7731.0,197.0,116.0,45.0,0.0,0.0,2016-01-26 18:28:26,2016-02-04 16:10:36,,311928.0,0.0,
15,57904350.0,Metron 22 Adding back the HBase bolt to the pcap topology,16.0,1115.0,51.0,35.0,12.0,0.0,0.0,2016-02-01 21:40:42,2016-02-04 16:09:24,Casey Stella,540359.0,0.0,
16,58341142.0,[METRON-25] Create Bro Plugin to Send Logs Directly to Kafka,17.0,1215.0,52.0,32.0,2.0,4.0,0.0,2016-02-04 20:06:27,2016-02-08 15:11:22,Nick Allen,2475409.0,0.0,
17,58753389.0,METRON-28: Metron should compile with JUnit 4,18.0,832.0,188.0,21.0,1.0,1.0,0.0,2016-02-09 14:24:03,2016-02-10 14:28:12,Aaron Niskode-Dossett,7207582.0,0.0,
18,58945628.0,Metron 33: Execute Enrichments in parallel,19.0,2818.0,2765.0,87.0,3.0,0.0,0.0,2016-02-10 20:05:31,2016-02-10 20:17:49,,311928.0,0.0,
19,59035613.0,METRON-29: Remediate Metron-Alerts unit tests for JUnit 4,20.0,52.0,129.0,2.0,1.0,2.0,0.0,2016-02-11 14:13:44,2016-06-01 18:20:34,Aaron Niskode-Dossett,7207582.0,0.0,
20,59064810.0,Configure Cobertura plugin to produce html only and aggregate coverage reports.,21.0,16.0,0.0,1.0,1.0,2.0,0.0,2016-02-11 17:25:49,2016-02-16 19:47:46,David Lyle,3439113.0,0.0,
21,59260728.0,METRON-35 Implement threat intelligence message enrichment,22.0,5583.0,1917.0,94.0,27.0,5.0,0.0,2016-02-13 06:45:35,2016-02-16 17:10:36,Casey Stella,540359.0,0.0,
22,59545733.0,METRON-37: Configure Cobertura Plugin to Aggregate,23.0,12.0,0.0,1.0,1.0,1.0,0.0,2016-02-16 20:03:02,2016-02-16 20:24:14,David Lyle,3439113.0,0.0,
23,59860498.0,Metron 38 Add license header,24.0,4565.0,479.0,298.0,2.0,0.0,0.0,2016-02-18 20:47:00,2016-02-18 20:58:06,Casey Stella,540359.0,0.0,
24,59908487.0,[METRON-39] Replay PCAP Data,25.0,1304.0,2010.0,108.0,2.0,0.0,0.0,2016-02-19 06:06:51,2016-02-19 19:15:36,Nick Allen,2475409.0,0.0,
25,60018536.0,METRON-42 Replace GPL license language with ASF for custom ansible module,26.0,12.0,13.0,1.0,1.0,1.0,0.0,2016-02-19 22:43:00,2016-02-19 23:01:36,Mark Bittmann,5776518.0,0.0,
26,60195009.0,[METRON-41] Integrate Apache Rat to Audit Source Code Licensing,27.0,1260.0,1417.0,78.0,1.0,0.0,0.0,2016-02-22 15:59:28,2016-02-22 17:33:59,Nick Allen,2475409.0,0.0,
27,60288481.0,METRON-43: Refactor Deployment Scripts for Correctness and Ease of Use,28.0,904.0,389.0,50.0,4.0,10.0,0.0,2016-02-23 05:03:37,2016-02-24 21:17:39,David Lyle,3439113.0,0.0,
28,60583304.0,METRON-50 Ingest threat intel data from Taxii feeds,29.0,5178.0,474.0,63.0,11.0,1.0,0.0,2016-02-24 21:40:37,2016-03-01 17:00:22,Casey Stella,540359.0,0.0,
29,60622997.0,METRON-54: Allow Configurable Data Dirs  ,30.0,129.0,3.0,9.0,1.0,0.0,0.0,2016-02-25 04:16:04,2016-02-25 14:32:11,David Lyle,3439113.0,0.0,
30,60626163.0,METRON-52 Bro Plugin Header has comma instead of colon,31.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-02-25 05:06:11,2016-02-25 14:44:58,David Lyle,3439113.0,0.0,
31,60923892.0,METRON-55 Simplify Modification of Packet Replay,32.0,71.0,38.0,7.0,1.0,0.0,0.0,2016-02-27 00:07:00,2016-03-01 17:00:23,Nick Allen,2475409.0,0.0,
32,61266004.0,Metron-56 Create unified enrichment topology,33.0,10196.0,8466.0,160.0,4.0,1.0,0.0,2016-03-01 16:13:26,2016-03-01 19:30:09,,311928.0,0.0,
33,61278973.0,METRON-57 Added Snort Community rules to the Snort deployment process.,34.0,174.0,166.0,3.0,1.0,2.0,0.0,2016-03-01 17:36:42,2016-03-08 15:25:28,Nick Allen,2475409.0,0.0,
34,61403289.0,Added Checkstyle xml and classes to each submodule,35.0,602.0,2.0,29.0,1.0,1.0,0.0,2016-03-02 13:57:22,2016-06-07 23:45:38,Joshua Davis,170628.0,0.0,
35,61481702.0,METRON-58: Remediate Deployment Integration Testing Issues,36.0,1118.0,329.0,86.0,1.0,3.0,0.0,2016-03-02 22:53:29,2016-03-07 23:25:18,David Lyle,3439113.0,0.0,
36,61942954.0,METRON-60 Created service management functionality for YAF,37.0,160.0,53.0,6.0,4.0,3.0,0.0,2016-03-07 16:36:21,2016-03-09 19:56:44,Nick Allen,2475409.0,0.0,
37,62103134.0,METRON-61: Allow selection of topologies and sensors in deployment.,38.0,35.0,51.0,8.0,1.0,1.0,0.0,2016-03-08 17:11:18,2016-03-08 21:29:34,David Lyle,3439113.0,0.0,
38,62104355.0,METRON-62 Add writing to enriched data back to the enrichment topology,39.0,865.0,80.0,22.0,6.0,0.0,0.0,2016-03-08 17:19:45,2016-03-08 21:46:07,Casey Stella,540359.0,0.0,
39,62112355.0,"METRON-59 Fully automated, push-button deployment of Metron to Amazon EC2",40.0,738.0,0.0,14.0,8.0,3.0,0.0,2016-03-08 18:16:25,2016-03-09 13:02:28,Nick Allen,2475409.0,0.0,
40,62248049.0,METRON-59 Automated Deployment of Metron to Amazon EC2,41.0,586.0,12.0,16.0,1.0,1.0,0.0,2016-03-09 15:45:17,2016-03-09 19:52:48,Nick Allen,2475409.0,0.0,
41,62317153.0,"METRON-63 Support Provisioning Multiple, Isolated Clusters with Amazon EC2",42.0,36.0,16.0,8.0,1.0,5.0,0.0,2016-03-09 23:53:19,2016-03-14 13:04:15,Nick Allen,2475409.0,0.0,
42,62442703.0,METRON-64 Fixed 'dns/Log::WRITER_KAFKAWRITER' Error,43.0,505.0,382.0,34.0,2.0,2.0,0.0,2016-03-10 19:30:54,2016-03-14 14:15:27,Nick Allen,2475409.0,0.0,
43,62741224.0,METRON-66 Fix Grok parser to load patterns via HDFS,44.0,212.0,98.0,26.0,26.0,0.0,0.0,2016-03-14 12:38:39,2016-03-14 13:15:49,Casey Stella,540359.0,0.0,
44,62895255.0,METRON-67 YAF Probe Not Landing Data in Kafka,45.0,183.0,60.0,14.0,3.0,0.0,0.0,2016-03-15 12:06:58,2016-03-16 20:36:01,Nick Allen,2475409.0,0.0,
45,62943527.0,METRON-69 EC2 Volume Enhancements,46.0,44.0,8.0,6.0,1.0,7.0,0.0,2016-03-15 17:16:54,2016-03-18 14:36:28,Nick Allen,2475409.0,0.0,
46,63124231.0,METRON-70 Create service wrapper for Metron pcap service,47.0,168.0,52.0,6.0,1.0,3.0,0.0,2016-03-16 19:44:00,2016-03-16 20:51:21,Nick Allen,2475409.0,0.0,
47,63290796.0,METRON-74: Remove Mysql RPM from Project.,48.0,12.0,13.0,6.0,1.0,2.0,0.0,2016-03-17 20:52:38,2016-03-18 14:50:37,David Lyle,3439113.0,0.0,
48,63409623.0,METRON-73 Sensor Service Wrappers and Deprecation Fixes,49.0,177.0,67.0,15.0,3.0,1.0,0.0,2016-03-18 17:31:28,2016-03-21 16:47:25,Nick Allen,2475409.0,0.0,
49,63412693.0,Metron-72 Update UI to support pcap download,50.0,850.0,1786.0,37.0,1.0,0.0,5.0,2016-03-18 17:54:09,2016-03-19 21:12:49,,311928.0,0.0,
50,63478436.0,METRON-76: Metron deploy has intermittent failures on EC2,51.0,849.0,190.0,62.0,1.0,1.0,0.0,2016-03-19 20:54:49,2016-03-19 21:12:49,David Lyle,3439113.0,0.0,
51,63482906.0,Minor typos in Howtos,52.0,3.0,3.0,3.0,3.0,2.0,0.0,2016-03-20 00:21:11,2016-03-21 13:12:43,John Stone,373458.0,0.0,
52,63565327.0,METRON-77: Refactor Deployment Scripts to Accept Changes from METRON-72,53.0,149.0,58.0,16.0,2.0,4.0,0.0,2016-03-21 13:44:06,2016-03-21 17:01:52,David Lyle,3439113.0,0.0,
53,63627532.0,METRON-79 PcapService is hanging when called from the UI,54.0,5.0,2.0,3.0,5.0,2.0,0.0,2016-03-21 20:32:24,2016-03-21 20:45:45,,311928.0,0.0,
54,63633213.0,METRON-81: Metron-UI Deployment should exclude node_modules,55.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-03-21 21:12:48,2016-03-22 00:22:57,David Lyle,3439113.0,0.0,
55,63655178.0,METRON-82 Enhance Travis CI Builds,56.0,10.0,1.0,2.0,1.0,0.0,0.0,2016-03-22 00:44:15,2016-03-22 16:20:28,Nick Allen,2475409.0,0.0,
56,63745156.0,METRON-84 Update license/notices with appropriate 3rd party bundled notices,57.0,65.0,3.0,3.0,2.0,0.0,0.0,2016-03-22 16:00:32,2016-03-22 16:23:31,Casey Stella,540359.0,0.0,
57,63747316.0,METRON-83 Create 'sensor test mode',58.0,122.0,17.0,16.0,4.0,5.0,3.0,2016-03-22 16:12:50,2016-04-15 19:30:33,Nick Allen,2475409.0,0.0,
58,63897512.0,METRON-71 Improved documentation for AWS/EC2 deployments,59.0,136.0,13.0,1.0,1.0,2.0,0.0,2016-03-23 15:09:28,2016-03-24 22:31:19,Nick Allen,2475409.0,0.0,
59,64061905.0,Adding travis stuff,60.0,26.0,0.0,2.0,2.0,0.0,0.0,2016-03-24 16:37:09,2016-03-24 16:37:32,James Sirota,4854764.0,0.0,
60,64067186.0,Travis changes ,61.0,24.0,0.0,2.0,3.0,0.0,0.0,2016-03-24 17:12:48,2016-03-24 17:13:01,James Sirota,4854764.0,0.0,
61,64285246.0,METRON-89: Rerunning playbook halts due to hdfs put.,62.0,1.0,1.0,1.0,2.0,9.0,0.0,2016-03-28 03:11:46,2016-04-05 14:24:29,John Stone,373458.0,0.0,
62,64392931.0,METRON-88: Expose rotation policy in Flux configuration of HDFSWriter,63.0,27.0,7.0,5.0,1.0,2.0,0.0,2016-03-28 23:37:05,2016-04-05 14:27:45,David Lyle,3439113.0,0.0,
63,64559282.0,Updating missing licenses from metron-ui.,64.0,3061.0,476.0,96.0,2.0,3.0,0.0,2016-03-30 01:25:52,2016-03-30 14:24:47,Casey Stella,540359.0,0.0,
64,64868947.0,"METRON-92: Snort has moved their release artifacts, breaking deployment",65.0,7.0,22.0,3.0,1.0,1.0,0.0,2016-03-31 22:23:22,2016-04-01 13:15:09,David Lyle,3439113.0,0.0,
65,64954573.0,METRON-93: Generalize the HBase threat intel infrastructure to support enrichments,66.0,3615.0,2205.0,111.0,33.0,1.0,15.0,2016-04-01 14:40:25,2016-04-07 12:56:55,Casey Stella,540359.0,0.0,
66,64959184.0,Metron 86 - SolrWriter,67.0,4352.0,1630.0,120.0,12.0,3.0,13.0,2016-04-01 15:10:20,2016-04-05 19:42:09,,311928.0,0.0,
67,65230500.0,METRON-95: Create data purging script for HDFS,68.0,4139.0,2246.0,119.0,36.0,1.0,11.0,2016-04-04 23:41:32,2016-04-07 18:37:02,David Lyle,3439113.0,0.0,
68,65517255.0,Metron 98 - Travis does not fail a build if the integration tests fail,69.0,219.0,21.0,13.0,1.0,2.0,0.0,2016-04-06 18:52:50,2016-04-07 13:12:06,,311928.0,0.0,
69,65691961.0,METRON-95: Create data purging script for HDFS files.,70.0,525.0,42.0,10.0,1.0,2.0,0.0,2016-04-07 20:13:10,2016-04-11 14:59:30,David Lyle,3439113.0,0.0,
70,65802675.0,Unit tests for configuration related classes,71.0,484.0,50.0,12.0,2.0,3.0,0.0,2016-04-08 15:22:38,2016-04-12 00:05:37,,311928.0,0.0,
71,66040938.0,METRON-107: Altered travis config to include both maven targets in th…,72.0,35.0,3.0,3.0,1.0,1.0,0.0,2016-04-11 18:37:09,2016-04-11 19:51:19,,311928.0,0.0,
72,66052232.0,METRON-108 Created fast packet capture process,73.0,1986.0,42.0,64.0,1.0,8.0,0.0,2016-04-11 19:55:52,2016-04-13 14:48:40,Nick Allen,2475409.0,0.0,
73,66069343.0,METRON-109 Maven checkstyle plugin is not checking test sources,74.0,99.0,88.0,17.0,1.0,3.0,0.0,2016-04-11 21:56:35,2016-04-15 01:25:23,,311928.0,0.0,
74,66321106.0,Unit tests for enrichment adapters,75.0,645.0,573.0,15.0,3.0,0.0,0.0,2016-04-13 13:29:53,2016-04-13 15:27:58,Frank Lu,7593452.0,0.0,
75,66536511.0,METRON-110 Create lightweight packet capture script,76.0,599.0,0.0,11.0,2.0,10.0,0.0,2016-04-14 19:02:54,2016-04-15 18:07:11,Nick Allen,2475409.0,0.0,
76,66651779.0,Testing a pull request to document onboarding new contributers,77.0,6.0,0.0,2.0,3.0,1.0,0.0,2016-04-15 14:30:41,2016-06-07 23:45:59,,2750864.0,0.0,
77,66654136.0,METRON-102: Unit Tests for parsers and enrichment adapters,78.0,898.0,584.0,20.0,1.0,2.0,2.0,2016-04-15 14:44:50,2016-04-15 19:20:50,,311928.0,0.0,
78,66665158.0,METRON-96: Create data purging script for ES Index,79.0,1315.0,197.0,28.0,4.0,4.0,2.0,2016-04-15 15:56:11,2016-04-19 16:18:35,David Lyle,3439113.0,0.0,
79,66690928.0,"METRON-111 ""Start Metron UI"" Fails When Already Started",80.0,1.0,1.0,1.0,1.0,2.0,0.0,2016-04-15 19:14:17,2016-04-18 19:22:59,Nick Allen,2475409.0,0.0,
80,66930785.0,METRON-103: Unit Tests for storm bolts,81.0,1309.0,98.0,22.0,1.0,2.0,7.0,2016-04-18 22:12:03,2016-04-19 15:37:50,,311928.0,0.0,
81,67031818.0,METRON-97: Create data purging script for logfiles,82.0,195.0,0.0,6.0,1.0,2.0,0.0,2016-04-19 14:48:03,2016-04-19 16:22:06,David Lyle,3439113.0,0.0,
82,67058706.0,Dataload testing,83.0,288.0,12.0,9.0,8.0,1.0,3.0,2016-04-19 17:35:16,2016-04-28 15:10:40,Frank Lu,7593452.0,0.0,
83,67225354.0,METRON-114 Created Ansible role to automate deployment of OpenTAXII services,84.0,489.0,0.0,10.0,1.0,1.0,0.0,2016-04-20 17:18:27,2016-04-21 20:56:21,Nick Allen,2475409.0,0.0,
84,67420921.0,METRON-115 Fetch Threat Intel Data using TAXII,85.0,708.0,1.0,13.0,4.0,2.0,0.0,2016-04-21 20:56:00,2016-04-27 17:03:17,Nick Allen,2475409.0,0.0,
85,67550397.0,METRON-110 Add Metron Pycapa to Standard Deployment ,86.0,72.0,31.0,5.0,1.0,2.0,3.0,2016-04-22 18:05:08,2016-04-27 18:28:16,Nick Allen,2475409.0,0.0,
86,67562190.0,METRON-116 Fastcapa Rename and Improved Documentation,87.0,230.0,90.0,31.0,2.0,1.0,1.0,2016-04-22 19:39:13,2016-04-27 13:03:56,Nick Allen,2475409.0,0.0,
87,67644785.0,METRON-113: Project Reorganization,88.0,1686.0,16062.0,712.0,1.0,8.0,2.0,2016-04-24 18:05:27,2016-04-27 12:51:08,,311928.0,0.0,
88,67887176.0,METRON-119 Move PCAP infrastructure from HBase,89.0,6397.0,21838.0,745.0,50.0,5.0,0.0,2016-04-26 13:39:10,2016-04-27 12:20:11,Casey Stella,540359.0,0.0,
89,68069349.0,METRON-116 Automated Testing and Rename of Fastcapa,90.0,832.0,75.0,39.0,1.0,3.0,0.0,2016-04-27 15:05:00,2016-04-27 17:06:36,Nick Allen,2475409.0,0.0,
90,68100869.0,METRON-113 Update documentation based on project reorganization,91.0,22.0,22.0,3.0,1.0,2.0,0.0,2016-04-27 18:25:48,2016-04-28 01:11:13,Nick Allen,2475409.0,0.0,
