,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,161674502.0,Warning cleanup,1.0,82.0,65.0,28.0,8.0,3.0,0.0,2018-01-08 16:52:23,2018-01-08 22:47:57,Dale LaBossiere,12643590.0,1.0,2018-01-08 22:47:57
1,161895012.0,[WIP]Test travis integration,2.0,3316.0,0.0,14.0,13.0,2.0,0.0,2018-01-09 15:06:37,2018-01-26 10:20:23,Christofer Dutz,651105.0,0.0,
2,162798337.0,Remove response reference in request item,3.0,3494.0,2503.0,72.0,96.0,0.0,0.0,2018-01-13 21:33:54,2018-01-13 21:35:14,Mark Keinhörster,471120.0,0.0,
3,169291556.0,Change from AssertJ to Hamcrest,4.0,787.0,702.0,32.0,2.0,0.0,0.0,2018-02-15 06:04:52,2018-02-16 18:35:19,Niclas Hedhman,106693.0,1.0,2018-02-16 18:35:19
4,171455685.0,Cleanup warnings,5.0,62.0,62.0,5.0,1.0,0.0,0.0,2018-02-26 18:32:39,2018-02-26 18:53:02,Dale LaBossiere,12643590.0,1.0,2018-02-26 18:53:02
5,171459877.0,cleanup sonar edgent complaints,6.0,30.0,20.0,1.0,1.0,0.0,0.0,2018-02-26 18:50:59,2018-02-26 19:01:01,Dale LaBossiere,12643590.0,1.0,2018-02-26 19:01:01
6,171508439.0,cleanup some warnings (in Eclipse),7.0,40.0,26.0,13.0,1.0,0.0,0.0,2018-02-26 22:19:57,2018-02-26 22:33:10,Dale LaBossiere,12643590.0,1.0,2018-02-26 22:33:10
7,171520590.0,"cleanup warnings in plc4j-api, plc4j-core, dummy-driver",8.0,67.0,24.0,14.0,6.0,1.0,25.0,2018-02-26 23:20:23,2018-06-13 11:36:37,Dale LaBossiere,12643590.0,0.0,
8,205415569.0,Added some javadoc to S7 communication path and several todos that ma…,9.0,142.0,0.0,15.0,2.0,0.0,7.0,2018-08-01 12:55:02,2018-08-02 09:21:01,Julian,17098762.0,1.0,2018-08-02 09:21:01
9,205654403.0,Fixed NPE in S7PlcConnection#close.,10.0,54.0,24.0,2.0,4.0,12.0,19.0,2018-08-02 08:22:21,2018-08-03 09:01:38,Julian,17098762.0,0.0,
10,207604160.0,Implement basic example of connecting an S7 device to Azure IoT Hub,11.0,115.0,0.0,3.0,1.0,3.0,0.0,2018-08-10 12:57:44,2018-08-13 15:09:39,Sebastian Jackel,572492.0,1.0,2018-08-13 15:09:39
11,207983227.0,fix a few typos,12.0,7.0,6.0,2.0,1.0,4.0,0.0,2018-08-13 13:46:53,2018-08-13 14:01:28,Stefan Bodewig,1318573.0,1.0,2018-08-13 14:01:28
12,211402298.0,Basic example to connect S7 device to Google Cloud IoT Core,13.0,678.0,0.0,6.0,1.0,0.0,0.0,2018-08-28 12:20:04,2018-09-06 21:09:23,veronika,36178216.0,1.0,2018-09-06 21:09:23
