,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,189868636.0,RATIS-244. Skip snapshot file if MD5 file does not exist,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-05-23 06:29:43,2018-12-17 21:37:28,AW,11225287.0,0.0,
1,191568526.0,"RATIS-251: Adding documentation for example, removing unused variables/imports",3.0,68.0,5.0,3.0,1.0,0.0,0.0,2018-05-30 20:17:37,2019-01-02 16:24:37,Ambud,9707358.0,0.0,
2,208996733.0,RATIS-272 logservice api,4.0,1094.0,0.0,16.0,8.0,12.0,78.0,2018-08-16 22:01:40,2019-02-01 02:36:19,Josh Elser,67863.0,0.0,
3,213842197.0,[RATIS-311] DeadLock between AppendEntries request and RaftLogWorker,5.0,4.0,2.0,1.0,1.0,3.0,0.0,2018-09-07 07:39:51,2019-04-26 23:07:10,Zhendong Liu,8434428.0,0.0,
4,243394431.0,"RATIS-470. De-couple the LogService ""index"" from the RaftLog ""index""",7.0,185.0,49.0,6.0,2.0,5.0,5.0,2019-01-09 16:26:10,2019-01-30 18:37:28,Josh Elser,67863.0,0.0,
5,243460373.0,RATIS-472. Clean up output for `read` logservice shell command,8.0,2.0,2.0,1.0,1.0,3.0,0.0,2019-01-09 19:58:51,2019-01-28 19:32:36,Josh Elser,67863.0,1.0,2019-01-28 19:32:36
6,243472093.0,RATIS-473. Clarify size and length methods on LogStream,9.0,87.0,24.0,6.0,1.0,3.0,3.0,2019-01-09 20:31:31,2019-01-28 21:08:43,Josh Elser,67863.0,0.0,
7,248976214.0,RATIS-XXX. Trying to test the PR contributions,10.0,2.0,0.0,1.0,1.0,0.0,0.0,2019-01-30 18:10:21,2019-02-01 01:57:07,Josh Elser,67863.0,0.0,
8,249463292.0,RATIS-XXX. Trying to test the PR contributions,11.0,2.0,0.0,1.0,1.0,0.0,0.0,2019-02-01 01:57:41,2019-02-01 02:35:53,Josh Elser,67863.0,0.0,
9,251640635.0,RATIS-481. Encapsulate the RaftLog reading in its own class,12.0,290.0,103.0,8.0,1.0,1.0,0.0,2019-02-09 00:59:33,2019-02-11 23:28:31,Josh Elser,67863.0,0.0,
10,254963316.0,RATIS-478. Support custom grpc interceptors.,14.0,106.0,23.0,4.0,1.0,1.0,0.0,2019-02-21 10:19:17,2021-06-10 12:23:07,"Elek, Márton",170549.0,0.0,
11,261322199.0,RATIS-500. Change GrpcClientProtocolClient request schedule log from …,16.0,0.0,1.0,1.0,2.0,0.0,0.0,2019-03-14 20:12:32,2019-03-18 06:49:46,Xiaoyu Yao,7039184.0,1.0,2019-03-18 06:49:45
12,265100196.0,RATIS-243 purge commit logs after persisting snapshots,17.0,183.0,4.0,8.0,1.0,4.0,1.0,2019-03-27 21:02:00,2019-04-24 00:13:43,AW,11225287.0,0.0,
13,269388723.0,RATIS-523 RATIS-524 RATIS-525 RATIS-526 RATIS-527 RATIS-533 Lots of cleanup on the LogService,18.0,373.0,75.0,15.0,6.0,5.0,6.0,2019-04-11 01:13:48,2019-05-03 18:07:22,Josh Elser,67863.0,0.0,
14,278488709.0,"RATIS-549,RATIS-550,RATIS-552,RATIS-553 Metric Framework for Ratis",19.0,1380.0,104.0,31.0,1.0,3.0,23.0,2019-05-14 01:28:30,2019-05-29 16:02:56,Ankit Singhal,2297609.0,0.0,
15,278865080.0,RATIS-546. Configurable value sizes on VerificationTool,20.0,136.0,12.0,2.0,1.0,1.0,0.0,2019-05-14 21:51:27,2019-05-16 13:19:58,Josh Elser,67863.0,1.0,2019-05-16 13:19:58
16,282936863.0,RATIS-564. Add raft group Id to install snapshot notification.,21.0,104.0,38.0,5.0,3.0,0.0,0.0,2019-05-28 18:00:07,2019-06-12 05:33:40,Siddharth,3011545.0,0.0,
17,283750476.0,RATIS-574. Configured sleep interval in RetryPolicy should not be used on NotLeaderException,22.0,87.0,34.0,5.0,7.0,1.0,0.0,2019-05-30 17:54:07,2019-06-07 02:37:40,Siddharth,3011545.0,0.0,
18,284309106.0,RATIS-581. Add some logservice content to the website,23.0,156.0,3.0,7.0,1.0,2.0,0.0,2019-06-02 01:33:56,2019-06-07 19:44:49,Josh Elser,67863.0,0.0,
19,285094102.0,RATIS-582 Update website instructions,24.0,85.0,11.0,3.0,1.0,1.0,2.0,2019-06-04 18:36:01,2019-06-07 18:43:52,Josh Elser,67863.0,0.0,
