,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,98906693.0,[ROCKETMQ-2] Closing the channel,1.0,70.0,11.0,2.0,3.0,11.0,0.0,2016-12-21 10:23:46,2016-12-23 08:53:47,Roman Shtykh,3435166.0,0.0,
1,99054477.0,[ROCKETMQ-14]invoke callback shoule be invoked in an executor rather than in current thread.,2.0,88.0,31.0,2.0,1.0,5.0,0.0,2016-12-22 06:28:49,2016-12-27 09:27:05,Jaskey,5210351.0,0.0,
2,99065597.0,[ROCKETMQ-6] Use logger for exceptions instead of e.printStackTrace().,3.0,227.0,188.0,28.0,8.0,17.0,9.0,2016-12-22 08:30:00,2017-07-05 11:39:42,Roman Shtykh,3435166.0,0.0,
3,99079043.0,[ROCKETMQ-10] Null check is not needed -- can't be null when reaches this point.,4.0,114.0,41.0,8.0,7.0,3.0,0.0,2016-12-22 10:14:45,2016-12-26 06:40:48,,3240411.0,0.0,
4,99197963.0,[ROCKETMQ-8] Standardize build script.,5.0,37.0,77.0,5.0,3.0,5.0,0.0,2016-12-23 02:54:45,2016-12-23 08:53:47,Jixiang Jin,23352595.0,0.0,
5,99207765.0,[ROCKETMQ-5] Avoid creating directories in UtilAll#getDiskPartitionSp…,6.0,20.0,7.0,2.0,3.0,1.0,0.0,2016-12-23 06:42:15,2016-12-29 08:23:05,Roman Shtykh,3435166.0,0.0,
6,99210001.0,[ROCKETMQ-3] Clean up and perfect the unit test of rocketmq-broker,7.0,199.0,105.0,6.0,3.0,5.0,6.0,2016-12-23 07:19:23,2016-12-23 09:32:49,Zhendong Liu,8434428.0,0.0,
7,99218131.0,[ROCKETMQ-32] Improve concision - Reuse local variable 'brokerAddrs' in RouteInfoManager.getSystemTopicList method,8.0,704.0,72.0,27.0,25.0,12.0,1.0,2016-12-23 09:14:55,2017-01-16 08:53:58,Eric Han,4957134.0,0.0,
8,99225187.0,[ROCKETMQ-3] Clean up and perfect the unit test of rocketmq-broker,9.0,22.0,25.0,3.0,8.0,3.0,0.0,2016-12-23 10:27:28,2016-12-26 02:41:31,Zhendong Liu,8434428.0,0.0,
9,99318933.0,"[ROCKETMQ-2] Broker tests fail with ""Address already in use""",10.0,11.0,3.0,2.0,1.0,2.0,0.0,2016-12-25 09:39:23,2016-12-25 13:10:38,Roman Shtykh,3435166.0,0.0,
10,99335392.0,"[ROCKETMQ-3] Clean up unit tests, remove try...catch, using assertNull etc",11.0,0.0,0.0,0.0,7.0,5.0,0.0,2016-12-26 02:47:04,2016-12-27 08:00:25,Zhendong Liu,8434428.0,0.0,
11,99336653.0,[ROCKETMQ-13] Wrong log level for AcceptSocketService termination.,12.0,17.0,9.0,1.0,1.0,1.0,3.0,2016-12-26 03:18:45,2016-12-27 14:03:19,Roman Shtykh,3435166.0,0.0,
12,99350244.0,[ROCKETMQ-15] Add config file. easy to change some setting,13.0,85.0,48.0,7.0,9.0,3.0,0.0,2016-12-26 08:22:11,2016-12-26 09:19:56,,3240411.0,0.0,
13,99355228.0,[ROCKETMQ-9] Errors in rocketmq-store module.,14.0,63.0,38.0,7.0,1.0,2.0,0.0,2016-12-26 09:37:01,2016-12-27 05:43:08,Roman Shtykh,3435166.0,0.0,
14,99358894.0,[ROCKETMQ-16] Improve the codes of setting topic.json's and subscriptionGroup.json's path,15.0,94.0,18.0,7.0,4.0,2.0,0.0,2016-12-26 10:27:34,2016-12-29 06:45:52,张轲,7128364.0,0.0,
15,99426472.0,[Rocketmq 19] Thread-unsafe in MQAdminImpl#queryMessage,16.0,20.0,11.0,3.0,3.0,1.0,0.0,2016-12-27 09:57:58,2016-12-27 10:17:03,张轲,7128364.0,0.0,
16,99428909.0,[ROCKETMQ-19] Synchronize LinkedList.add() in multi-thread,17.0,1.0,1.0,1.0,1.0,3.0,0.0,2016-12-27 10:22:56,2017-01-03 08:30:01,张轲,7128364.0,0.0,
17,99461437.0,[ROCKETMQ-20] Default 'consumeFromWhere' is inconsist with example's,18.0,2.0,3.0,2.0,1.0,2.0,0.0,2016-12-27 16:29:52,2016-12-29 07:18:08,Zhendong Liu,8434428.0,0.0,
18,99509843.0,[ROCKETMQ-14] rocketmq-14 unit test updated,19.0,43.0,10.0,1.0,1.0,2.0,0.0,2016-12-28 05:25:07,2016-12-29 07:00:33,Jaskey,5210351.0,0.0,
19,99527985.0,[ROCKETMQ-23] MappedFileQueue#flush should return true when flushing …,20.0,118.0,155.0,5.0,3.0,11.0,9.0,2016-12-28 09:38:17,2017-09-20 04:40:51,Roman Shtykh,3435166.0,0.0,
20,99537702.0,[ROCKETMQ-18]Clean code,21.0,208.0,258.0,64.0,1.0,4.0,7.0,2016-12-28 11:18:39,2016-12-29 07:25:40,Zhendong Liu,8434428.0,0.0,
21,99624921.0,[ROCKETMQ-25] Possible data race while query msg by key,22.0,10.0,1.0,1.0,1.0,1.0,0.0,2016-12-29 07:11:32,2016-12-29 07:25:25,Zhanhui Li,641819.0,0.0,
22,99630791.0,[ROCKETMQ-5] Avoid creating directories in UtilAll#getDiskPartitionSp…,23.0,20.0,8.0,2.0,1.0,5.0,0.0,2016-12-29 08:39:09,2017-01-03 09:36:14,Roman Shtykh,3435166.0,0.0,
23,99816883.0,add new way to send messages in asynchronous way,24.0,464.0,46.0,8.0,1.0,0.0,0.0,2017-01-01 03:02:37,2017-01-01 03:29:28,stone,1735775.0,0.0,
24,99817273.0,[ROCKETMQ-26]add new way to send messages in asynchronous way,25.0,523.0,30.0,8.0,3.0,0.0,0.0,2017-01-01 03:43:21,2017-01-01 04:02:04,stone,1735775.0,0.0,
25,99817463.0,[ROCKETMQ-26]add new way to send messages in asynchronous way ,26.0,614.0,30.0,9.0,6.0,3.0,2.0,2017-01-01 04:03:21,2017-01-20 02:56:19,stone,1735775.0,0.0,
26,100222409.0,[ROCKETMQ-30] Fixed method signature for Message Filter example and c…,27.0,8.0,3.0,2.0,1.0,3.0,0.0,2017-01-05 01:59:33,2017-01-09 08:28:37,Roman Shtykh,3435166.0,0.0,
27,100261127.0,[ROCKETMQ-27]Add store commitlog path online,28.0,420.0,30.0,19.0,6.0,10.0,2.0,2017-01-05 09:53:15,2017-12-20 10:19:25,Zhanhui Li,641819.0,0.0,
28,100273914.0,"[ROCKETMQ-31] Fix ""No such file or directory"" warning for $HOME/rmq_b…",29.0,0.0,2.0,1.0,1.0,8.0,1.0,2017-01-05 11:22:52,2017-01-09 08:21:06,Kailai Shao,505187.0,0.0,
29,100440714.0,[ROCKETMQ-34] Potential NPE in NettyConnetManageHandler#connect,30.0,10.0,9.0,1.0,2.0,6.0,1.0,2017-01-06 10:39:26,2017-01-09 08:09:34,Roman Shtykh,3435166.0,0.0,
30,100555318.0,[ROCKETMQ-33] CPU Occupy 100%,31.0,2.0,2.0,2.0,4.0,9.0,2.0,2017-01-07 02:41:20,2017-01-09 03:27:58,,8599441.0,0.0,
31,100558305.0,[ROCKETMQ-35] Consumer client can’t persist consume offset table to Broker,32.0,10.0,2.0,2.0,1.0,4.0,0.0,2017-01-07 04:46:12,2017-01-09 04:06:47,,8599441.0,0.0,
32,100651114.0,[ROCKETMQ-37] Log output information is not accurate,33.0,3.0,2.0,2.0,2.0,2.0,2.0,2017-01-09 09:01:06,2017-01-20 02:56:19,,11365761.0,0.0,
33,100993640.0,[ROCKETMQ-39]  avoid duplicated codes.,34.0,85.0,39.0,3.0,10.0,11.0,7.0,2017-01-11 02:36:45,2017-06-06 03:38:37,吴晟 Wu Sheng,5441976.0,0.0,
34,101016768.0,"[ROCKETMQ-42] Output is not friendly, when Main failed.",35.0,7.0,1.0,4.0,8.0,6.0,0.0,2017-01-11 07:39:15,2017-01-20 05:52:26,吴晟 Wu Sheng,5441976.0,0.0,
35,101019709.0,[ROCKETMQ-43] Remove NoWhitespaceBefore module in “rmq_checkstyle.xml”,36.0,21.0,13.0,4.0,1.0,0.0,4.0,2017-01-11 08:08:26,2017-01-20 03:10:51,吴晟 Wu Sheng,5441976.0,0.0,
36,101026904.0,[ROCKETMQ-38] Some unit tests for rocketmq-remoting,37.0,545.0,0.0,5.0,10.0,6.0,4.0,2017-01-11 09:07:32,2017-01-16 09:25:27,Kailai Shao,505187.0,0.0,
37,101191888.0,[ROCKETMQ-44]  Refactor to avoid duplicated codes in DefaultMessageStore,38.0,41.0,36.0,1.0,4.0,12.0,1.0,2017-01-12 03:41:38,2017-09-20 04:40:52,吴晟 Wu Sheng,5441976.0,0.0,
38,101206968.0,[ROCKETMQ-45]Delete hanged consume queue files,39.0,84.0,36.0,6.0,5.0,12.0,5.0,2017-01-12 07:07:37,2017-01-22 07:13:38,Zhanhui Li,641819.0,0.0,
39,101211781.0,[ROCKETMQ-40]Ack mode support for consume concurrently service of push consumer,40.0,172.0,28.0,4.0,1.0,11.0,1.0,2017-01-12 07:56:45,2017-09-20 04:40:52,Jaskey,5210351.0,0.0,
40,101261294.0,"when the client host have more than 2 ip address, the ClientConfig get the last one ipv4 always. It will make some unpredictable result.",41.0,523.0,166.0,16.0,18.0,5.0,0.0,2017-01-12 13:44:23,2017-01-20 05:52:26,DaneBrown,1415402.0,0.0,
41,101447028.0,[ROCKETMQ-47] Avoid broker updates of NameServer address list on star…,42.0,1.0,5.0,1.0,1.0,3.0,0.0,2017-01-13 13:30:08,2017-01-16 08:38:42,Roman Shtykh,3435166.0,0.0,
42,101627131.0,[ROCKETMQ-59] Change Charset usages in RocketMQSerializable to Rocket…,43.0,9.0,10.0,2.0,2.0,4.0,0.0,2017-01-16 03:59:42,2017-01-20 03:21:49,Kailai Shao,505187.0,0.0,
43,101788759.0,[ROCKETMQ-64] Remove duplication code line in BrokerOuterAPI.registerBroker method,44.0,0.0,1.0,1.0,1.0,2.0,0.0,2017-01-17 02:49:16,2017-01-20 03:26:27,Eric Han,4957134.0,0.0,
44,101894863.0,[ROCKETMQ-54] Polish unit tests for rocketmq-namesrv,45.0,10173.0,391.0,122.0,31.0,11.0,0.0,2017-01-17 16:13:54,2017-01-20 05:58:27,Kailai Shao,505187.0,0.0,
45,102248431.0,[ROCKETMQ-58] Add integration test for RocketMQ,46.0,8492.0,24.0,93.0,1.0,10.0,7.0,2017-01-19 11:26:48,2017-01-20 03:38:34,Zhendong Liu,8434428.0,0.0,
46,102567859.0,[ROCKETMQ-69]Add link to README.md for RocketMQ home,47.0,2.0,1.0,1.0,2.0,7.0,1.0,2017-01-21 03:03:15,2017-01-23 08:34:35,cnmade,278153.0,0.0,
47,102613717.0,[ROCKETMQ-70] Duplicate methods in NettyRemotingClient,48.0,9.0,17.0,1.0,1.0,6.0,0.0,2017-01-22 09:07:34,2017-01-23 08:02:18,Roman Shtykh,3435166.0,0.0,
48,102701248.0,[ROCKETMQ-72] DefaultMessageStore cannot be properly shutdown when fa…,49.0,73.0,42.0,3.0,3.0,11.0,0.0,2017-01-23 11:29:52,2018-07-14 02:16:17,Roman Shtykh,3435166.0,0.0,
49,102889994.0,[ROCKETMQ-74] Fix DataVersion equals defect,50.0,91.0,13.0,3.0,4.0,19.0,1.0,2017-01-24 10:26:53,2017-02-10 09:55:45,Zhanhui Li,641819.0,0.0,
