,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,51475023.0,RYA-3 Changing Manual to Markdown; linking README,1.0,721.0,3631.0,50.0,1.0,0.0,0.0,2015-11-22 21:20:54,2015-11-24 19:31:32,Aaron Mihalik,4710489.0,1.0,2015-11-24 19:31:32
1,52309778.0,RYA-7 POM and License Clean-up for Apache Move,2.0,20350.0,52110.0,739.0,1.0,2.0,0.0,2015-12-01 20:17:23,2015-12-04 18:45:01,Aaron Mihalik,4710489.0,1.0,2015-12-04 18:45:01
2,52724612.0,RYA-13 Add delete support to secondary indices,3.0,1212.0,814.0,10.0,1.0,0.0,0.0,2015-12-04 21:36:39,2015-12-04 23:10:23,,16158321.0,1.0,2015-12-04 23:10:23
3,52742202.0,RYA-12 Adding support for Additional Iterators on Core Tables,4.0,173.0,35.0,6.0,1.0,0.0,0.0,2015-12-05 01:27:39,2015-12-05 01:37:37,Aaron Mihalik,4710489.0,1.0,2015-12-05 01:37:37
4,53933416.0,"Ignore --Rya 17, RYA-19, RYA-20",5.0,22715.0,56670.0,771.0,8.0,0.0,0.0,2015-12-17 04:25:34,2015-12-17 04:27:36,,6528884.0,0.0,
5,53933594.0,"RYA-17, RYA-19, RYA-20, RYA-10 issue with mongo deletes, typo in constructor,…",6.0,1125.0,265.0,9.0,2.0,7.0,0.0,2015-12-17 04:29:34,2016-01-04 17:46:52,,6528884.0,0.0,
6,54117631.0,RYA-24 issue with hashes and regex queries,7.0,209.0,39.0,5.0,1.0,0.0,0.0,2015-12-18 15:54:10,2016-01-04 18:16:57,,6528884.0,1.0,2016-01-04 18:16:57
7,54146111.0,RYA-25 Apache RAT check during maven build,8.0,26.0,15.0,2.0,1.0,0.0,0.0,2015-12-18 20:25:06,2015-12-23 15:11:18,Aaron Mihalik,4710489.0,1.0,2015-12-23 15:11:18
8,54260037.0,RYA-23 exposing triple pattern strategy from rya context,9.0,14.0,4.0,1.0,1.0,1.0,0.0,2015-12-21 14:11:46,2016-01-04 19:31:03,,6528884.0,1.0,2016-01-04 19:31:03
9,54268135.0,RYA-21 adding input format and sample mappers/reducers,10.0,528.0,22.0,8.0,1.0,0.0,1.0,2015-12-21 15:28:16,2016-01-04 19:51:07,,6528884.0,1.0,2016-01-04 19:51:07
