,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,35573408.0,data partition within group,1.0,985.0,1386.0,33.0,3.0,0.0,0.0,2015-05-16 16:19:28,2015-05-17 06:20:06,Wei Wang,3797447.0,1.0,2015-05-17 06:20:06
1,36202662.0,[SINGA-2] Fix bugs about zsock_connect and zsys_init,2.0,102.0,7.0,4.0,2.0,0.0,0.0,2015-05-26 13:35:26,2015-05-26 14:04:21,Wei Wang,3797447.0,1.0,2015-05-26 14:04:21
2,36273010.0,[SINGA-3] Cluster Runtime Component with Zookeeper,3.0,1452.0,4054.0,44.0,10.0,0.0,0.0,2015-05-27 06:32:45,2015-05-27 14:39:11,WANG Sheng,9816581.0,1.0,2015-05-27 14:39:11
3,37618722.0,SINGA-7 Implement shared memory Hogwild algorithm,4.0,660.0,1111.0,17.0,5.0,1.0,0.0,2015-06-13 03:57:20,2015-06-15 06:42:36,Wei Wang,3797447.0,1.0,2015-06-15 06:42:36
4,37638072.0,SINGA-6 Update the implementation of singletons to make them thread-safe,5.0,130.0,34.0,9.0,4.0,1.0,0.0,2015-06-14 08:18:01,2015-06-15 05:14:47,Wei Wang,3797447.0,1.0,2015-06-15 05:14:47
5,37764931.0,SINGA-13 Separate intermediate files of compilation from source files,6.0,18.0,8.0,3.0,1.0,0.0,0.0,2015-06-16 07:02:05,2015-06-16 07:26:32,Xie Zhongle,8967812.0,1.0,2015-06-16 07:26:32
6,37791965.0,SINGA-15 Fixg a bug from ConnectStub function which gets stuck for connecting layer_dealer_,7.0,6.0,7.0,3.0,1.0,0.0,0.0,2015-06-16 13:01:27,2015-06-16 13:20:21,Wei Wang,3797447.0,1.0,2015-06-16 13:20:21
7,37863696.0,SINGA-14 Update layer API to be general for training different models,8.0,60.0,58.0,7.0,1.0,0.0,0.0,2015-06-17 03:55:08,2015-06-17 05:39:03,Zhaojing Luo,8807719.0,1.0,2015-06-17 05:39:03
8,37868735.0,SINGA-16 Runtime Process id Management,9.0,224.0,102.0,3.0,3.0,0.0,0.0,2015-06-17 06:15:57,2015-06-17 08:00:40,WANG Sheng,9816581.0,1.0,2015-06-17 08:00:40
9,37893014.0,SINGA-17 Add root permission within thirdparty/install.,10.0,84.0,46.0,2.0,2.0,1.0,0.0,2015-06-17 12:03:13,2015-06-18 09:17:11,Xie Zhongle,8967812.0,1.0,2015-06-18 09:17:11
10,37913882.0,update API for displaying performance metric,11.0,1277.0,2.0,13.0,9.0,0.0,0.0,2015-06-17 15:31:07,2015-06-18 11:44:56,Zhaojing Luo,8807719.0,0.0,
11,37914684.0,SINGA-18 update API for displaying performance metric,12.0,34.0,34.0,2.0,1.0,0.0,0.0,2015-06-17 15:38:35,2015-06-18 11:34:19,Zhaojing Luo,8807719.0,1.0,2015-06-18 11:34:19
12,38166762.0,SINGA-21 Code review,13.0,6449.0,175.0,7.0,2.0,0.0,0.0,2015-06-20 11:33:56,2015-06-20 14:46:39,WANG Sheng,9816581.0,1.0,2015-06-20 14:46:39
13,38213060.0,SINGA-21 Code review - 2,14.0,951.0,931.0,18.0,7.0,1.0,0.0,2015-06-22 09:23:18,2015-06-25 13:45:06,WANG Sheng,9816581.0,0.0,
14,38298042.0,SINGA-22 add Q&A3 to clarify the environment settings,15.0,8.0,1.0,2.0,2.0,0.0,0.0,2015-06-23 03:24:54,2015-06-23 04:58:16,Xie Zhongle,8967812.0,1.0,2015-06-23 04:58:16
15,38307089.0,SINGA-22 redress Q&A3 and add -fPIC option when installing gflags,16.0,18552.0,1711.0,16.0,4.0,0.0,0.0,2015-06-23 07:13:06,2015-06-24 14:33:10,Xie Zhongle,8967812.0,1.0,2015-06-24 14:33:10
16,38331964.0,SINGA-19 Slice large Param objects for load-balance,17.0,849.0,578.0,17.0,3.0,1.0,0.0,2015-06-23 12:44:15,2015-06-23 14:14:10,Wei Wang,3797447.0,1.0,2015-06-23 14:14:10
17,38510526.0,SINGA-8 Implement distributed Hogwild,18.0,411.0,126.0,23.0,5.0,1.0,0.0,2015-06-25 04:11:11,2015-06-25 13:45:06,Wei Wang,3797447.0,1.0,2015-06-25 13:45:06
18,38613855.0,SINGA-23 fix libtool version mismatch error,19.0,16.0,8609.0,4.0,1.0,0.0,0.0,2015-06-26 03:10:56,2015-06-26 08:02:48,Xie Zhongle,8967812.0,1.0,2015-06-26 08:02:48
19,38624146.0,SINGA-9 Add Support for Restricted Boltzman Machine (RBM) model,20.0,3174.0,5.0,14.0,8.0,0.0,13.0,2015-06-26 07:36:26,2015-07-22 11:26:16,Zhaojing Luo,8807719.0,0.0,
20,38629511.0,SINGA-24 Implement Downpour training framework,21.0,51.0,38.0,8.0,1.0,0.0,0.0,2015-06-26 08:58:38,2015-06-26 12:51:13,Wei Wang,3797447.0,1.0,2015-06-26 12:51:13
21,38657269.0,SINGA-25 - Setup glog output path,22.0,67.0,31.0,6.0,2.0,0.0,0.0,2015-06-26 14:55:12,2015-06-27 07:14:20,Wei Wang,3797447.0,1.0,2015-06-27 07:14:20
22,38706416.0,SINGA-11 Start SINGA using Mesos,23.0,658.0,186.0,12.0,10.0,0.0,0.0,2015-06-27 08:38:58,2015-09-30 04:29:10,,2044824.0,0.0,
23,38708121.0,SINGA-26 Run distributed training in a single command,24.0,122.0,46.0,6.0,4.0,0.0,0.0,2015-06-27 11:18:07,2015-06-27 13:48:05,WANG Sheng,9816581.0,1.0,2015-06-27 13:48:05
24,38711565.0,SINGA-27 Generate python modules for proto objects,25.0,30.0,1.0,5.0,7.0,0.0,0.0,2015-06-27 16:07:12,2015-06-28 02:16:37,Xie Zhongle,8967812.0,1.0,2015-06-28 02:16:37
25,39265310.0,SINGA-28 Fix a bug from toplogy sort of Graph,26.0,7.0,3.0,1.0,1.0,0.0,0.0,2015-07-06 13:04:36,2015-07-06 13:22:57,Wei Wang,3797447.0,1.0,2015-07-06 13:22:57
26,39693563.0,SINGA-GPU-1 add xpu in blob,27.0,321.0,264.0,9.0,11.0,1.0,0.0,2015-07-10 15:12:59,2015-07-13 06:13:37,Dot,7887395.0,0.0,
27,39742182.0,SINGA-29 Update NeuralNet class to enable layer partition type customization,28.0,1313.0,1703.0,22.0,2.0,1.0,0.0,2015-07-11 07:43:50,2015-07-16 16:52:29,Wei Wang,3797447.0,0.0,
28,39797120.0,SINGA-30 Add interface to GPU mode,29.0,17.0,2.0,3.0,2.0,0.0,0.0,2015-07-13 10:19:18,2015-08-05 05:48:18,Dot,7887395.0,0.0,
29,39895929.0,SINGA-33 Automatically launch a number of processes in the cluster,30.0,70.0,26.0,8.0,1.0,0.0,0.0,2015-07-14 09:11:38,2015-07-16 16:52:29,WANG Sheng,9816581.0,0.0,
30,40100870.0,SINGA-34 Support external zookeeper service,31.0,11185.0,11800.0,32.0,3.0,0.0,0.0,2015-07-16 07:17:47,2015-07-16 16:52:29,WANG Sheng,9816581.0,1.0,2015-07-16 16:52:29
31,40209511.0,SINGA-32  Implement AllReduce training framework,32.0,1878.0,1356.0,23.0,2.0,0.0,0.0,2015-07-17 08:23:07,2015-07-18 08:38:46,Wei Wang,3797447.0,1.0,2015-07-18 08:38:46
