,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,157160032.0,Add Mybatis plugin,650.0,263.0,8.0,7.0,3.0,1.0,0.0,2017-12-08 04:08:19,2017-12-08 05:26:12,Alexzhang,574224.0,0.0,
1,157167115.0,Add Mybatis plugin,651.0,260.0,8.0,8.0,6.0,6.0,0.0,2017-12-08 05:33:41,2017-12-09 01:13:00,Alexzhang,574224.0,0.0,
2,157279645.0,support the future stub of grpc framework,653.0,140.0,99.0,8.0,2.0,2.0,0.0,2017-12-08 16:19:06,2017-12-09 14:05:58,"Xin,Zhang",12436447.0,1.0,2017-12-09 14:05:58
3,157391743.0,Feature/alerting,655.0,7185.0,3004.0,204.0,25.0,0.0,0.0,2017-12-09 15:31:59,2017-12-09 15:32:40,彭勇升 pengys,16147247.0,1.0,2017-12-09 15:32:40
4,157498613.0,fix the instrumentation class in plugin define file is incorrect,656.0,76.0,76.0,32.0,1.0,0.0,0.0,2017-12-11 08:01:17,2017-12-11 08:05:10,"Xin,Zhang",12436447.0,1.0,2017-12-11 08:05:10
5,157501535.0,fix instrumentation class in activation plugin define is incorrect,657.0,10.0,10.0,5.0,1.0,0.0,0.0,2017-12-11 08:20:37,2017-12-11 08:21:26,"Xin,Zhang",12436447.0,1.0,2017-12-11 08:21:26
6,157746211.0,[Agent] fix all interceptor class in plugin is incorrect,661.0,112.0,112.0,61.0,1.0,2.0,0.0,2017-12-12 06:24:40,2017-12-12 06:40:57,"Xin,Zhang",12436447.0,1.0,2017-12-12 06:40:57
7,157780544.0,fix the sql tag value is null when client using Statement.execute(sql) method,663.0,104.0,17.0,8.0,3.0,3.0,1.0,2017-12-12 09:49:35,2017-12-13 06:42:03,"Xin,Zhang",12436447.0,1.0,2017-12-13 06:42:03
8,157824928.0,fix issue that static method cannot override argument,664.0,1.0,1.0,1.0,1.0,1.0,0.0,2017-12-12 13:14:38,2017-12-12 13:22:28,"Xin,Zhang",12436447.0,0.0,
9,157990971.0,Update README.md,666.0,5.0,8.0,2.0,5.0,0.0,0.0,2017-12-13 02:44:41,2017-12-13 22:14:16,吴晟 Wu Sheng,5441976.0,0.0,
10,158055686.0,add relocation config of org.apache.http and org.apache.commons package,668.0,12.0,0.0,1.0,2.0,0.0,0.0,2017-12-13 10:32:02,2017-12-13 13:22:44,"Xin,Zhang",12436447.0,1.0,2017-12-13 13:22:44
11,158057778.0,fix issue that the intercept class package name  is incorrect,669.0,5.0,5.0,3.0,1.0,0.0,0.0,2017-12-13 10:40:35,2017-12-13 11:21:40,"Xin,Zhang",12436447.0,1.0,2017-12-13 11:21:40
12,158068381.0,[Agent] Provide plugins for Apache httpcomponent AsyncClient 4.1 #588,670.0,1504.0,1.0,21.0,31.0,10.0,0.0,2017-12-13 11:28:33,2018-01-15 07:01:24,李运涛 liyuntao,8610107.0,0.0,
13,158251759.0,[Agent] Cannot propagate the context across threads,671.0,36.0,34.0,5.0,4.0,0.0,0.0,2017-12-14 02:03:34,2017-12-14 03:38:57,"Xin,Zhang",12436447.0,1.0,2017-12-14 03:38:57
14,158260489.0,[Agent] Fix the enhance class is incorrect,672.0,3.0,3.0,2.0,3.0,1.0,0.0,2017-12-14 03:29:00,2017-12-14 04:06:17,"Xin,Zhang",12436447.0,1.0,2017-12-14 04:06:17
15,158297139.0,[Agent] fix jedis testcase failed,674.0,2.0,3.0,1.0,1.0,0.0,0.0,2017-12-14 08:42:24,2017-12-14 09:00:04,"Xin,Zhang",12436447.0,1.0,2017-12-14 09:00:04
16,158361964.0,[Agent] Fix issue that OkHttpClient plugin doesn't work,676.0,4.0,7.0,1.0,1.0,6.0,0.0,2017-12-14 13:49:59,2017-12-15 00:22:49,"Xin,Zhang",12436447.0,1.0,2017-12-15 00:22:49
17,158482845.0,[Collector] Fix issue that collector start failed in the Windows environment,678.0,1.0,1.0,1.0,2.0,0.0,0.0,2017-12-14 22:48:39,2017-12-15 01:31:49,"Xin,Zhang",12436447.0,1.0,2017-12-15 01:31:49
18,158496388.0,Update readme and remove the annoucement,679.0,38.0,125.0,16.0,4.0,3.0,0.0,2017-12-15 00:21:50,2017-12-15 02:03:23,吴晟 Wu Sheng,5441976.0,1.0,2017-12-15 02:03:23
