,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,10737212.0,Testing dev mailing list notifications.,1.0,3.0,3.0,1.0,2.0,0.0,0.0,2013-12-11 18:27:00,2013-12-13 17:16:11,P. Taylor Goetz,260896.0,0.0,
1,10800781.0,[STORM-13] Change license on README.md,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2013-12-13 10:44:54,2013-12-14 17:15:38,Gianmarco De Francisci Morales,703859.0,0.0,
2,10813625.0,Prevent Nimbus from hanging if random data is sent to nimbus thrift port,3.0,9.0,3.0,3.0,1.0,1.0,0.0,2013-12-13 17:43:23,2013-12-19 06:22:24,P. Taylor Goetz,260896.0,1.0,2013-12-19 06:22:24
3,10821907.0,Could not find artifact org.jgrapht:jgrapht-core:jar:0.9.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,2013-12-13 21:43:22,2013-12-18 22:43:52,Lorcan Coyle,401983.0,0.0,
4,10823217.0,Removed duplicate key: :javac-options,5.0,1.0,2.0,1.0,1.0,3.0,0.0,2013-12-13 22:25:12,2013-12-19 07:23:50,Lorcan Coyle,401983.0,1.0,2013-12-19 07:23:50
5,10839739.0,Storm windows support (resubmit),6.0,378.0,38.0,7.0,10.0,4.0,0.0,2013-12-15 20:30:42,2013-12-19 07:23:50,P. Taylor Goetz,260896.0,1.0,2013-12-19 07:23:50
6,10860307.0,Use Stock libthrift dependency,7.0,130.0,1.0,3.0,2.0,1.0,0.0,2013-12-16 16:20:39,2014-01-10 06:54:13,P. Taylor Goetz,260896.0,0.0,
7,10864338.0,Remove `unzip` dependency,8.0,9.0,3.0,1.0,1.0,1.0,0.0,2013-12-16 17:58:45,2013-12-20 22:29:10,P. Taylor Goetz,260896.0,1.0,2013-12-20 22:29:10
8,10865652.0,Replace 0MQ with Netty,9.0,36.0,459.0,23.0,2.0,2.0,0.0,2013-12-16 18:34:51,2013-12-21 03:23:05,P. Taylor Goetz,260896.0,1.0,2013-12-21 03:23:05
9,10990609.0,Testing dev mailing list notifications. Please ignore.,10.0,1.0,0.0,1.0,1.0,0.0,0.0,2013-12-19 21:10:59,2013-12-20 20:56:21,P. Taylor Goetz,260896.0,0.0,
10,11024999.0,Nimbus validates topo conf on submission,11.0,21.0,6.0,4.0,1.0,8.0,0.0,2013-12-20 20:50:28,2014-01-07 23:23:15,Derek Dagit,905298.0,1.0,2014-01-07 23:23:15
11,11036325.0,Adds tool tips to the UI to document features.,12.0,3101.0,1923.0,8.0,2.0,3.0,0.0,2013-12-21 19:01:47,2014-01-07 23:23:16,Derek Dagit,905298.0,1.0,2014-01-07 23:23:16
12,11061931.0,Example of maven build.,13.0,484.0,2.0,7.0,1.0,1.0,0.0,2013-12-23 21:18:02,2014-01-16 18:33:59,Robert (Bobby) Evans,3441321.0,0.0,
13,11154796.0,Switch from Leiningen to Maven,14.0,1753.0,451.0,119.0,13.0,34.0,0.0,2013-12-31 05:03:58,2014-01-14 03:21:44,P. Taylor Goetz,260896.0,1.0,2014-01-14 03:21:44
14,11376489.0,Submit jvmopts as array of argument values,15.0,8.0,2.0,1.0,1.0,0.0,0.0,2014-01-09 20:24:11,2014-01-16 05:52:45,Jeff Wolski,16902.0,0.0,
15,11389635.0,Fixes config schema for kryo TOPOLOGY_KRYO_REGISTER,16.0,52.0,1.0,3.0,1.0,3.0,0.0,2014-01-10 04:59:20,2014-01-11 16:23:47,Derek Dagit,905298.0,1.0,2014-01-11 16:23:47
16,11431576.0,Handle unusual characters in topology names,17.0,1906.0,480.0,121.0,18.0,1.0,3.0,2014-01-12 01:01:07,2014-01-15 03:17:21,Derek Dagit,905298.0,0.0,
17,11521824.0,"[STORM-194] Support list of strings in *.worker.childopts, handle spaces",18.0,149.0,24.0,10.0,8.0,6.0,1.0,2014-01-15 03:22:55,2014-04-22 16:43:14,Derek Dagit,905298.0,1.0,2014-04-22 16:43:14
18,11536901.0,Fix for launching jar when some JVM opts are specified,19.0,1.0,1.0,1.0,1.0,12.0,0.0,2014-01-15 14:46:53,2014-02-03 09:07:16,,1080762.0,0.0,
19,11778148.0,Provide Additional String substitutions for *.worker.childopts,20.0,115.0,4.0,4.0,1.0,2.0,0.0,2014-01-22 22:01:45,2014-06-25 15:22:26,Kishor Patil,6090397.0,0.0,
20,11810375.0,STORM-195 - dependency-reduced-pom.xml should be in .gitignore,21.0,1.0,0.0,1.0,1.0,1.0,0.0,2014-01-23 17:19:57,2014-01-24 20:26:43,,4745730.0,1.0,2014-01-24 20:26:43
21,11888331.0,Move shading of the thrift dependency to storm-core,22.0,2850.0,2889.0,61.0,4.0,3.0,0.0,2014-01-27 02:16:27,2014-01-30 04:28:01,P. Taylor Goetz,260896.0,1.0,2014-01-30 04:28:01
