,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,15026226.0,Streams 58 - Update Elasticsearch ,1.0,784.0,729.0,8.0,3.0,2.0,0.0,2014-04-22 17:49:34,2014-04-24 21:39:41,Matt Franklin,1291219.0,0.0,
1,15142122.0,STREAMS-62,2.0,84.0,2.0,8.0,3.0,2.0,3.0,2014-04-24 21:00:15,2014-04-28 15:57:37,Robert Douglas,5116097.0,0.0,
2,15189124.0,"Working S3 Writer, and changes to other stuff.",3.0,3433.0,724.0,87.0,30.0,2.0,0.0,2014-04-25 20:28:31,2014-04-25 21:53:58,Matthew Hager,1704705.0,0.0,
3,15191233.0,Added DateFormatters to the RF3339Utils class to be able to parse abitra...,4.0,139.0,2.0,2.0,2.0,3.0,8.0,2014-04-25 21:13:00,2014-04-28 19:38:20,Ryan Ebanks,877649.0,0.0,
4,15305231.0,STREAMS-62 | Serializability in processors,5.0,84.0,2.0,8.0,3.0,0.0,0.0,2014-04-29 18:41:42,2014-04-29 18:41:59,Robert Douglas,5116097.0,0.0,
5,15357448.0,Add keywords,6.0,160.0,11.0,11.0,9.0,0.0,0.0,2014-04-30 18:23:10,2014-04-30 18:23:38,Robert Douglas,5116097.0,0.0,
6,15441345.0,STREAMS-72 - Updated Elasticsearch and LocalStreamBuilder,7.0,258.0,156.0,7.0,4.0,4.0,0.0,2014-05-02 17:27:16,2014-05-13 15:23:07,Matt Franklin,1291219.0,1.0,2014-05-13 15:23:07
7,15442314.0,Twitter Modificaitons,8.0,1662.0,172.0,25.0,8.0,10.0,30.0,2014-05-02 17:49:16,2014-05-08 16:35:31,Matthew Hager,1704705.0,1.0,2014-05-08 16:35:31
8,15512086.0,Streams 51 / 51 / 57,9.0,1842.0,269.0,33.0,3.0,1.0,0.0,2014-05-05 20:33:38,2014-05-05 20:34:08,Steve Blackmon,702924.0,0.0,
9,15515921.0,Streams 41,10.0,3158.0,401.0,51.0,5.0,0.0,0.0,2014-05-05 21:50:09,2014-05-05 21:50:24,Steve Blackmon,702924.0,0.0,
10,15549178.0,Streams 33,11.0,3341.0,499.0,62.0,7.0,1.0,0.0,2014-05-06 16:04:06,2014-05-06 16:04:11,Steve Blackmon,702924.0,0.0,
11,15549722.0,"STREAMS-60, STREAMS-70",12.0,503.0,1.0,7.0,3.0,3.0,20.0,2014-05-06 16:13:50,2014-05-19 21:55:05,Steve Blackmon,702924.0,0.0,
12,15661445.0,"Changes necessary to satisfy JIRA issues STREAMS-75,76,77",13.0,497.0,112.0,5.0,9.0,5.0,10.0,2014-05-08 17:13:05,2014-05-12 19:54:40,Matthew Hager,1704705.0,1.0,2014-05-12 19:54:40
13,15738060.0,"Merge7,8",14.0,210.0,23.0,17.0,5.0,1.0,2.0,2014-05-10 23:10:00,2014-05-13 15:23:07,Steve Blackmon,702924.0,1.0,2014-05-13 15:23:07
14,15950720.0,Fixed bug for STREAMS-80,15.0,2.0,2.0,2.0,1.0,12.0,0.0,2014-05-15 18:40:32,2014-07-08 21:35:46,Ryan Ebanks,877649.0,0.0,
15,16017279.0,Overhaul of LocalStreamsBuilder,16.0,2676.0,1251.0,55.0,18.0,3.0,0.0,2014-05-17 04:57:45,2014-05-19 14:54:16,Matthew Hager,1704705.0,0.0,
16,16069492.0,Streams 86,17.0,54.0,12.0,1.0,9.0,2.0,12.0,2014-05-19 18:43:17,2014-05-27 15:34:37,Robert Douglas,5116097.0,0.0,
17,16071580.0,Streams 74,18.0,7582.0,15.0,376.0,4.0,2.0,0.0,2014-05-19 19:27:11,2014-05-19 22:39:27,Steve Blackmon,702924.0,0.0,
18,16072746.0,STREAMS-87 | We now try to collect an ID's timeline put to 5 times befor...,19.0,4.0,3.0,1.0,3.0,2.0,4.0,2014-05-19 19:52:10,2014-05-27 14:01:10,Robert Douglas,5116097.0,1.0,2014-05-27 14:01:10
19,16080734.0,Streams 70,20.0,522.0,1.0,7.0,4.0,1.0,2.0,2014-05-19 22:41:45,2014-05-20 01:21:50,Steve Blackmon,702924.0,1.0,2014-05-20 01:21:50
20,16084427.0,Streams 33,21.0,655.0,158.0,20.0,3.0,1.0,1.0,2014-05-20 00:49:05,2014-05-20 15:21:43,Steve Blackmon,702924.0,1.0,2014-05-20 15:21:43
21,16113846.0,STREAMS-88 | Modified the TwitterEventClassifier (and subsequent tests) ...,22.0,225.0,115.0,56.0,60.0,1.0,1.0,2014-05-20 15:29:16,2014-05-22 17:00:39,Robert Douglas,5116097.0,0.0,
22,16134854.0,Streams 41,23.0,585.0,194.0,12.0,6.0,7.0,5.0,2014-05-20 21:58:19,2014-05-27 17:52:12,Ryan Ebanks,877649.0,1.0,2014-05-27 17:52:12
23,16176446.0,Streams 91,24.0,4.0,17.0,1.0,2.0,3.0,0.0,2014-05-21 17:29:34,2014-05-22 17:13:10,Robert Douglas,5116097.0,0.0,
24,16228481.0,"STREAMS-93 | Updated the Hashtag POJO schema in tweet.json, added depend...",25.0,93.0,62.0,5.0,8.0,3.0,13.0,2014-05-22 16:05:48,2014-05-27 16:37:42,Robert Douglas,5116097.0,1.0,2014-05-27 16:37:42
25,16231656.0,STREAMS-88 | Updated the TwitterEventClassifier (and subsequent tests) t...,26.0,31.0,15.0,3.0,2.0,1.0,0.0,2014-05-22 17:04:29,2014-05-27 17:03:02,Robert Douglas,5116097.0,1.0,2014-05-27 17:03:02
