,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,51412810.0,Update pom.xml with respect to Apache Incubator status,1.0,66.0,44.0,1.0,1.0,5.0,0.0,2015-11-20 21:50:07,2015-12-03 18:52:25,Deron Eriksson,12634533.0,0.0,
1,51423888.0,[SYSML-375] [Optimizer] Address Optimizer Inconsistencies Due to Casting of Doubles To Ints,2.0,12.0,11.0,5.0,1.0,4.0,0.0,2015-11-20 23:53:24,2015-11-21 21:29:32,Mike Dusenberry,5431337.0,0.0,
2,51587094.0,Add SumSq tests to aggregate test suite.,3.0,3.0,0.0,1.0,1.0,2.0,0.0,2015-11-23 22:03:09,2015-11-24 01:15:38,Mike Dusenberry,5431337.0,0.0,
3,52339719.0,Refactor project package to org.apache.sysml,4.0,10366.0,10342.0,1393.0,4.0,4.0,0.0,2015-12-02 00:58:01,2015-12-03 18:47:41,Luciano Resende,382917.0,0.0,
4,52458400.0,Addressing a minor issue with the static runtime cost estimator.,5.0,2.0,2.0,1.0,1.0,3.0,0.0,2015-12-02 21:41:50,2015-12-03 18:48:00,Mike Dusenberry,5431337.0,0.0,
5,52471438.0,Creating optional Maven profiles for the various binary distributions.,6.0,69.0,67.0,1.0,2.0,6.0,0.0,2015-12-02 23:37:41,2015-12-03 23:35:51,Mike Dusenberry,5431337.0,0.0,
6,52480446.0,Update README with Apache link and new documentation link,7.0,4.0,3.0,1.0,1.0,3.0,0.0,2015-12-03 01:30:04,2015-12-03 19:49:15,Deron Eriksson,12634533.0,0.0,
7,52622646.0,Refactor unit tests in descriptivestats and parfor packages.,8.0,232.0,328.0,17.0,1.0,2.0,0.0,2015-12-04 02:28:31,2015-12-04 18:41:36,Glenn Weidner,12058879.0,0.0,
8,52639509.0,Refactor unit tests in dml and pydml packages.,9.0,79.0,24.0,49.0,1.0,2.0,0.0,2015-12-04 07:55:03,2015-12-04 18:54:42,Glenn Weidner,12058879.0,0.0,
9,52696412.0,"Remove copyrights from license, add license where needed",10.0,39528.0,32885.0,2388.0,1.0,4.0,0.0,2015-12-04 17:19:37,2015-12-06 12:26:43,Deron Eriksson,12634533.0,0.0,
10,53062964.0,Update doc links to incubator on GitHub and to website,11.0,12.0,8.0,4.0,1.0,1.0,0.0,2015-12-09 00:59:56,2015-12-09 19:29:07,Deron Eriksson,12634533.0,0.0,
11,53090179.0,Updating pom.xml to have variables of hadoop and antlr versions and to remove tailing spaces. ,12.0,35.0,32.0,1.0,1.0,6.0,0.0,2015-12-09 08:39:44,2015-12-10 21:09:14,OZAWA Tsuyoshi,104111.0,0.0,
