,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,28873543.0,Worked on issues reported by static code analysis.,1.0,102.0,117.0,36.0,1.0,0.0,0.0,2015-02-08 01:24:18,2015-02-08 18:06:48,Daniel Kuppitz,572377.0,1.0,2015-02-08 18:06:48
1,28914554.0,Added ASL licence headers to files,2.0,15352.0,20.0,856.0,1.0,2.0,0.0,2015-02-09 11:53:58,2015-02-09 20:48:41,Ashish Paliwal,548559.0,1.0,2015-02-09 20:48:41
2,28999785.0,moved namespace to org.apache,3.0,5282.0,5300.0,903.0,1.0,3.0,0.0,2015-02-10 11:34:08,2015-02-11 03:00:12,Ashish Paliwal,548559.0,0.0,
3,29024554.0,added FilterByCountOptimizerStrategy,4.0,112.0,12.0,4.0,1.0,0.0,0.0,2015-02-10 17:02:10,2015-02-10 17:23:43,Daniel Kuppitz,572377.0,0.0,
4,29063543.0,improved RangeByIsCountStrategy,5.0,272.0,8.0,8.0,5.0,0.0,0.0,2015-02-11 02:08:40,2015-02-11 02:50:15,Daniel Kuppitz,572377.0,1.0,2015-02-11 02:50:15
5,29075478.0,namespace migration to org.apache,6.0,5347.0,5347.0,909.0,1.0,2.0,0.0,2015-02-11 08:56:49,2015-02-13 09:38:12,Ashish Paliwal,548559.0,0.0,
6,29089072.0,added support for Contains.within and Contains.without,7.0,29.0,17.0,2.0,1.0,0.0,0.0,2015-02-11 13:04:25,2015-02-11 13:40:10,Daniel Kuppitz,572377.0,1.0,2015-02-11 13:40:10
7,29098277.0,RangeByIsCountStrategy bugfixes,8.0,24.0,37.0,4.0,3.0,0.0,0.0,2015-02-11 15:13:02,2015-02-11 15:14:48,Daniel Kuppitz,572377.0,1.0,2015-02-11 15:14:48
8,29111519.0,refactoring: com.tinkerpop -> com.apache.tinkerpop,9.0,5373.0,5373.0,911.0,1.0,2.0,0.0,2015-02-11 17:37:52,2015-02-11 18:01:46,Daniel Kuppitz,572377.0,0.0,
9,29140432.0,Apache refactoring,10.0,5475.0,5475.0,926.0,3.0,2.0,0.0,2015-02-11 23:51:34,2015-02-12 12:08:54,Daniel Kuppitz,572377.0,0.0,
10,29175337.0,Apache refactoring,11.0,5525.0,5505.0,930.0,7.0,0.0,0.0,2015-02-12 12:36:50,2015-02-12 13:01:36,Daniel Kuppitz,572377.0,1.0,2015-02-12 13:01:36
11,29211911.0,lambda cleanup,12.0,41.0,46.0,1.0,1.0,0.0,0.0,2015-02-12 20:12:27,2015-02-12 20:14:08,Daniel Kuppitz,572377.0,1.0,2015-02-12 20:14:08
12,29304710.0,worked on local barrier steps,13.0,668.0,234.0,28.0,6.0,0.0,0.0,2015-02-13 22:27:37,2015-02-13 22:41:18,Daniel Kuppitz,572377.0,1.0,2015-02-13 22:41:18
13,29310635.0,minor fixes,14.0,18.0,19.0,5.0,2.0,0.0,0.0,2015-02-14 00:24:05,2015-02-14 00:57:53,Daniel Kuppitz,572377.0,1.0,2015-02-14 00:57:53
14,29320930.0,Implemented RangeLocalStep,15.0,289.0,95.0,14.0,2.0,0.0,0.0,2015-02-14 14:45:51,2015-02-14 15:58:40,Daniel Kuppitz,572377.0,1.0,2015-02-14 15:58:40
15,29376654.0,added `.hasNot(traversal)`,16.0,60.0,127.0,7.0,2.0,0.0,0.0,2015-02-16 14:31:22,2015-02-16 14:39:06,Daniel Kuppitz,572377.0,1.0,2015-02-16 14:39:06
16,29401335.0,rewrote RangeLocalStep and SampleLocalStep (both steps now support Maps),17.0,116.0,22.0,3.0,3.0,0.0,0.0,2015-02-16 21:19:42,2015-02-16 21:24:46,Daniel Kuppitz,572377.0,1.0,2015-02-16 21:24:46
17,29409808.0,Got rid of `LocalBarrierStep` and usages of the Java stream API in favor ...,18.0,136.0,83.0,10.0,2.0,0.0,0.0,2015-02-17 00:25:01,2015-02-17 14:40:55,Daniel Kuppitz,572377.0,1.0,2015-02-17 14:40:55
18,29449496.0,Added performance tests for more complex steps,19.0,28.0,2.0,1.0,1.0,0.0,0.0,2015-02-17 15:18:03,2015-02-17 15:52:45,Daniel Kuppitz,572377.0,1.0,2015-02-17 15:52:45
19,29456275.0,"Fixed a bug in `select()`, when it assumed that every map in a result is...",20.0,126.0,34.0,4.0,3.0,0.0,0.0,2015-02-17 16:34:49,2015-02-17 21:41:31,Daniel Kuppitz,572377.0,1.0,2015-02-17 21:41:31
20,29530150.0,added `GroupCountReduceStrategy` which replaces a `GroupCountSideEffectStep` at the end of a `LocalStep` with a `GroupCountReduceStep`,21.0,154.0,22.0,11.0,2.0,0.0,0.0,2015-02-18 14:42:44,2015-02-19 19:08:37,Daniel Kuppitz,572377.0,0.0,
