,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,10269234.0,testing PR,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2013-11-25 17:57:16,2013-11-25 20:41:37,Todd Nine,249532.0,0.0,
1,10269390.0,Update README.md,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2013-11-25 18:01:25,2013-12-11 21:52:00,David M. Johnson,1076693.0,0.0,
2,10433375.0,Wrapping up and adding S3 functionality,3.0,782.0,214.0,19.0,2.0,1.0,0.0,2013-12-02 14:12:37,2013-12-02 14:24:53,Deleted user,10137.0,0.0,
3,10433813.0,Functional performance testing harness for 2.0,4.0,4237.0,572.0,64.0,14.0,2.0,0.0,2013-12-02 14:26:48,2013-12-11 21:52:09,Deleted user,10137.0,0.0,
4,10790882.0,Two dot o,5.0,10535.0,0.0,237.0,60.0,1.0,0.0,2013-12-13 00:52:16,2013-12-13 00:59:58,Deleted user,10137.0,0.0,
5,11153173.0,Usergrid 2855 pagingtesting,6.0,2674.0,2258.0,76.0,19.0,1.0,0.0,2013-12-31 01:21:11,2014-01-03 15:48:54,Todd Nine,249532.0,0.0,
6,11307884.0,Usergrid 2580 emptysetfix,7.0,2728.0,2261.0,79.0,22.0,0.0,0.0,2014-01-08 00:59:45,2014-01-08 01:00:09,Todd Nine,249532.0,0.0,
7,11379138.0,Unique properties,8.0,19809.0,2259.0,321.0,193.0,0.0,0.0,2014-01-09 21:31:02,2014-01-09 21:31:47,David M. Johnson,1076693.0,0.0,
8,11599751.0,Improve output of OrganizationExport module,9.0,18.0,10.0,1.0,1.0,1.0,0.0,2014-01-16 22:17:49,2014-01-16 22:21:04,Tim Anglade,9924.0,0.0,
9,11652493.0,Support Java7 on Mac,10.0,4.0,4.0,1.0,1.0,0.0,0.0,2014-01-18 23:47:27,2014-01-21 12:27:03,Sungju Jin,1086275.0,0.0,
10,12283678.0,Add old Usergrid Java SDK client in a local Maven repo,11.0,100.0,0.0,4.0,1.0,0.0,0.0,2014-02-06 19:54:59,2014-02-06 19:56:25,David M. Johnson,1076693.0,0.0,
11,12283910.0,Client local repo,12.0,102.0,2.0,5.0,2.0,0.0,0.0,2014-02-06 19:59:34,2014-02-07 12:23:48,David M. Johnson,1076693.0,0.0,
12,12609877.0,Adding licence headers,13.0,10075.0,5260.0,917.0,1.0,0.0,0.0,2014-02-17 12:42:45,2014-02-17 12:49:28,Sungju Jin,1086275.0,0.0,
13,13085536.0,Fix for build breakage caused by RAT,14.0,24.0,14.0,3.0,2.0,1.0,0.0,2014-03-01 19:43:45,2014-03-01 19:49:06,David M. Johnson,1076693.0,0.0,
14,13144335.0,Removed 10 app limit,15.0,101.0,12.0,3.0,1.0,0.0,0.0,2014-03-04 02:16:31,2014-03-04 02:16:43,Todd Nine,249532.0,0.0,
15,13499514.0,Usergrid 93,16.0,29.0,15.0,4.0,5.0,1.0,0.0,2014-03-12 23:12:03,2014-03-17 16:43:09,Scott Ganyo,772731.0,0.0,
16,13857309.0,Node sdk enhancements,17.0,53.0,26.0,2.0,7.0,1.0,0.0,2014-03-21 21:12:45,2014-03-21 21:16:02,Scott Ganyo,772731.0,0.0,
17,13881946.0,Update README.md,18.0,7.0,59.0,1.0,1.0,0.0,0.0,2014-03-23 22:02:19,2014-07-07 12:47:51,David M. Johnson,1076693.0,0.0,
18,15197073.0,Refactor,19.0,9715.0,2122.0,208.0,74.0,0.0,0.0,2014-04-26 00:24:09,2014-04-28 16:50:13,Todd Nine,249532.0,0.0,
19,16012351.0,Internet exploder 9,20.0,7616.0,2951.0,457.0,149.0,0.0,0.0,2014-05-16 22:33:40,2014-05-16 22:33:54,Shawn Feldman,1385175.0,0.0,
20,16533775.0,Usergrid 161,21.0,485.0,635.0,25.0,11.0,0.0,0.0,2014-05-30 13:54:41,2014-05-30 13:55:10,Rod Simpson,1322739.0,0.0,
21,17304364.0,Fixed awscluster scripts so they work with Ubuntu 14.04,22.0,697.0,190.0,68.0,14.0,0.0,0.0,2014-06-18 16:34:13,2014-06-18 16:34:21,Shawn Feldman,1385175.0,0.0,
22,17861899.0,Usergrid 154,23.0,5245.0,9085.0,280.0,126.0,1.0,0.0,2014-07-02 00:07:32,2014-07-02 00:08:10,Todd Nine,249532.0,0.0,
23,18166772.0,Update README.md,24.0,1.0,4.0,1.0,1.0,1.0,0.0,2014-07-09 15:23:18,2014-07-09 16:24:58,David M. Johnson,1076693.0,0.0,
24,18360192.0,Configure persistence mechanism via one property,25.0,322.0,135.0,24.0,7.0,0.0,0.0,2014-07-14 16:58:32,2014-07-16 13:55:49,David M. Johnson,1076693.0,1.0,2014-07-16 13:55:49
25,18538533.0,Cloud formation scripts,26.0,1310.0,651.0,3.0,6.0,0.0,0.0,2014-07-17 16:20:51,2014-07-18 13:15:56,,4109659.0,1.0,2014-07-18 13:15:56
26,18560499.0,fix bug and improved code for export,27.0,87.0,48.0,2.0,1.0,2.0,0.0,2014-07-17 23:17:53,2014-07-18 13:08:59,Pooja Ramesh Jain,6157057.0,1.0,2014-07-18 13:08:59
27,18727363.0,Fixes to get Core tests passing 100% with Core Persistence,28.0,169.0,105.0,12.0,4.0,0.0,0.0,2014-07-22 17:09:12,2014-07-22 17:10:36,David M. Johnson,1076693.0,1.0,2014-07-22 17:10:36
28,18745852.0,Switched properties to now use the correct entry in the properties file.,29.0,4.0,2.0,1.0,1.0,1.0,0.0,2014-07-22 22:18:21,2014-07-25 16:59:16,,4109659.0,1.0,2014-07-25 16:59:16
29,18745865.0,Fixed issue and added onto previous test so that the issue can be tested...,30.0,21.0,14.0,2.0,1.0,0.0,0.0,2014-07-22 22:18:36,2014-07-25 16:59:16,,4109659.0,1.0,2014-07-25 16:59:16
