,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,31903456.0,[ZEPPELIN-4] Sync the version of dependencies with Spark,1.0,1437.0,1425.0,1.0,2.0,2.0,0.0,2015-03-25 09:03:23,2015-03-26 10:57:12,Jongyoul Lee,3612566.0,0.0,
1,31950583.0,minor doc update for running on YARN,2.0,3.0,2.0,1.0,1.0,6.0,0.0,2015-03-25 18:16:35,2015-03-26 11:03:14,Felix Cheung,8969467.0,0.0,
2,31963117.0,Pull request merge tool,3.0,356.0,0.0,1.0,2.0,11.0,0.0,2015-03-25 20:35:02,2015-03-27 14:13:56,Lee moon soo,1540981.0,0.0,
3,31997369.0,[ZEPPELIN-7] Support yarn without SPARK_YARN_JAR,4.0,65.0,51.0,2.0,6.0,5.0,0.0,2015-03-26 08:31:05,2015-03-30 07:55:35,Jongyoul Lee,3612566.0,0.0,
4,32000218.0,ZEPPELIN-28 Set any parameter to SparkConf() from Interpreter GUI,5.0,8.0,8.0,1.0,1.0,3.0,0.0,2015-03-26 09:21:58,2015-03-30 13:29:07,Alex,5582506.0,0.0,
5,32004495.0,add features to export table,6.0,26.0,1.0,3.0,2.0,32.0,0.0,2015-03-26 10:25:53,2016-06-22 00:08:16,Hyo-kyun Park,4284478.0,0.0,
6,32162420.0,Update dependency loader description,7.0,169.0,81.0,5.0,1.0,1.0,0.0,2015-03-28 10:18:41,2015-03-30 13:30:12,Lee moon soo,1540981.0,0.0,
7,32162675.0,Run sequence is not preserved,8.0,482.0,96.0,8.0,4.0,2.0,0.0,2015-03-28 10:42:37,2015-03-30 23:39:44,Lee moon soo,1540981.0,0.0,
8,32164047.0,Update README.md,9.0,6.0,9.0,1.0,1.0,0.0,0.0,2015-03-28 12:53:33,2015-03-29 17:55:00,Lee moon soo,1540981.0,0.0,
9,32164104.0,Updated frontend-maven-plugin to version 0.0.23,10.0,1.0,1.0,1.0,1.0,2.0,0.0,2015-03-28 12:57:59,2015-03-30 08:04:28,Seçkin Savaşçı,972671.0,0.0,
10,32193437.0,Update the How to contribute to Zeppelin,11.0,17.0,11.0,1.0,3.0,5.0,0.0,2015-03-30 01:56:23,2015-04-01 15:58:52,Anthony Corbacho,3139557.0,0.0,
11,32196914.0,ZEPPELIN-11 work in progress patch for hive interpreter,12.0,1981.0,1.0,5.0,2.0,10.0,6.0,2015-03-30 04:05:55,2015-04-06 03:31:57,,7928544.0,0.0,
12,32207111.0,Rename package/groupId to org.apache and apply rat plugin.,13.0,3649.0,2001.0,209.0,13.0,3.0,0.0,2015-03-30 08:41:09,2015-04-06 06:32:25,Lee moon soo,1540981.0,0.0,
13,32215411.0,Gh pages update new feature,14.0,25.0,7.0,4.0,4.0,2.0,0.0,2015-03-30 10:47:22,2015-04-01 01:26:57,Mina Lee,8503346.0,0.0,
14,32217634.0,Update website url,15.0,8.0,8.0,5.0,1.0,2.0,0.0,2015-03-30 11:24:13,2015-04-01 01:28:10,Mina Lee,8503346.0,0.0,
15,32295108.0,ZEPPELIN-16,16.0,2023.0,19.0,9.0,4.0,0.0,0.0,2015-03-31 06:45:53,2015-03-31 06:47:35,,7928544.0,0.0,
16,32295389.0,ZEPPELIN-16 Some failures from Spark and SparkSql note execution are not reported,17.0,42.0,18.0,4.0,1.0,4.0,0.0,2015-03-31 06:52:47,2015-04-01 23:29:50,,7928544.0,0.0,
17,32310009.0,Replace ngMin by ngAnnotate,18.0,14.0,16.0,2.0,1.0,2.0,0.0,2015-03-31 10:40:17,2015-04-02 13:24:32,CORNEAU Damien,710411.0,0.0,
18,32364085.0,[ZEPPELIN-17] PySpark Interpreter should allow starting with a specific version of Python,19.0,5.0,2.0,1.0,3.0,3.0,0.0,2015-03-31 20:47:05,2015-04-01 16:01:28,Felix Cheung,8969467.0,0.0,
19,32382974.0,[ZEPPELIN-13] ZEPPELIN_CONF_DIR cannot be reached until ZEPPELIN_CONF_DIR become set,20.0,34.0,3.0,3.0,4.0,5.0,0.0,2015-04-01 01:50:38,2015-04-02 13:26:30,Jongyoul Lee,3612566.0,0.0,
20,32383229.0,[ZEPPELIN-7] Minor. Removed SPARK_YARN_JAR from zeppelin-env.sh.template,21.0,0.0,1.0,1.0,1.0,1.0,0.0,2015-04-01 01:57:09,2015-04-02 13:27:53,Jongyoul Lee,3612566.0,0.0,
21,32395019.0,[ZEPPELIN-20] HiveContext occurs error with NucleusUserException,23.0,24.0,0.0,1.0,1.0,3.0,0.0,2015-04-01 07:30:02,2015-04-01 23:42:20,Jongyoul Lee,3612566.0,0.0,
22,32475821.0,Minor tweaks to the tutorial notebook to support Spark 1.3.0,24.0,71.0,31.0,1.0,1.0,1.0,0.0,2015-04-02 01:15:03,2015-04-05 12:57:48,John Langley,120492.0,0.0,
23,32513589.0,[HOTFIX] Code convention,25.0,8.0,12.0,2.0,2.0,4.0,0.0,2015-04-02 13:59:30,2015-04-05 12:59:38,Jongyoul Lee,3612566.0,0.0,
