,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,43349861.0,test PR,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2015-08-25 23:43:42,2015-08-25 23:46:28,David Yan,4419148.0,0.0,
1,43350252.0,test PR,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2015-08-25 23:49:43,2015-08-25 23:59:32,David Yan,4419148.0,1.0,2015-08-25 23:59:32
2,43352110.0,Feature app data,3.0,455.0,6.0,4.0,11.0,2.0,2.0,2015-08-26 00:20:11,2015-08-28 22:02:28,David Yan,4419148.0,1.0,2015-08-28 22:02:28
3,43353344.0,APEX-22: ability to hide ports,4.0,135.0,28.0,2.0,1.0,0.0,0.0,2015-08-26 00:43:03,2015-08-26 16:38:01,,4690923.0,1.0,2015-08-26 16:38:01
4,43354917.0,SPOI-4635 #comment Add hasResource label the type node,5.0,63.0,13.0,2.0,1.0,0.0,0.0,2015-08-26 01:14:09,2015-08-26 16:06:40,Siyuan Hua,5375712.0,0.0,
5,43420390.0,APEX-70 #resolve #comment add hasResource label to types in typegraph,6.0,90.0,15.0,4.0,1.0,3.0,3.0,2015-08-26 16:07:45,2015-09-01 05:59:29,Siyuan Hua,5375712.0,1.0,2015-09-01 05:59:29
6,43427748.0,APEX-71 #resolve,7.0,8.0,10.0,2.0,1.0,6.0,0.0,2015-08-26 17:17:04,2015-08-28 05:56:47,Gaurav Gupta,5114534.0,1.0,2015-08-28 05:56:47
7,43432335.0,Apex 28 pull final,8.0,1734.0,293.0,8.0,2.0,5.0,32.0,2015-08-26 18:01:32,2015-08-31 00:56:27,Timothy Farkas,8020165.0,0.0,
8,43459651.0,SPOI-6048: test-PR-build,9.0,591.0,93.0,21.0,12.0,1.0,3.0,2015-08-26 22:25:51,2015-09-22 05:56:08,Sandeep Deshmukh,3262404.0,0.0,
9,43461362.0,test-PR-build2,10.0,1.0,0.0,1.0,3.0,1.0,0.0,2015-08-26 22:48:25,2015-09-22 05:55:37,Sandeep Deshmukh,3262404.0,0.0,
10,43730826.0,Apex 28 pull latest,11.0,1822.0,295.0,7.0,2.0,7.0,30.0,2015-08-31 04:20:27,2015-09-17 04:59:06,Timothy Farkas,8020165.0,1.0,2015-09-17 04:59:06
11,43780713.0,Buffer server should use a separate thread to spool blocks to disk - for review,12.0,325.0,224.0,3.0,4.0,2.0,41.0,2015-08-31 16:10:44,2015-09-10 16:23:08,Vlad Rozov,12200381.0,0.0,
12,43787859.0,README update for move to incubator.,13.0,7.0,5.0,1.0,1.0,0.0,0.0,2015-08-31 17:27:36,2015-08-31 20:40:08,Thomas Weise,263695.0,1.0,2015-08-31 20:40:08
13,44074343.0,APEX-88 #resolve using synchronous storage agent for tests,14.0,1.0,3.0,1.0,1.0,1.0,0.0,2015-09-03 06:53:04,2015-09-08 18:22:55,,4690923.0,0.0,
14,44135378.0,APEX-89 #resolve escape configuration property name because it can contain characters that need to be escaped,15.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-09-03 17:38:12,2015-09-03 20:19:18,David Yan,4419148.0,1.0,2015-09-03 20:19:18
15,44135436.0,APEX-89 #resolve escape configuration property name because it can contain characters that need to be escaped,16.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-09-03 17:38:47,2015-09-03 21:29:48,David Yan,4419148.0,1.0,2015-09-03 21:29:48
16,44172823.0,fixing the async storage agent,17.0,51.0,54.0,20.0,1.0,1.0,0.0,2015-09-04 00:25:58,2015-09-04 02:31:45,Gaurav Gupta,5114534.0,0.0,
17,44177080.0,APEX-93 #resolve #comment Fixing dynamic partitioning issue with pers…,18.0,41.0,2.0,3.0,1.0,2.0,0.0,2015-09-04 02:03:46,2015-09-09 23:48:07,Isha Arkatkar,723624.0,1.0,2015-09-09 23:48:07
18,44178266.0,APEX-88 #resolve #comment fixed the async storage agent,19.0,51.0,54.0,20.0,1.0,0.0,0.0,2015-09-04 02:34:04,2015-09-04 02:42:31,Gaurav Gupta,5114534.0,1.0,2015-09-04 02:42:31
19,44202761.0,Fixed @since 3.1.0 misplaced tag,20.0,20.0,18.0,14.0,3.0,0.0,0.0,2015-09-04 10:20:34,2015-09-04 14:22:43,,4420249.0,1.0,2015-09-04 14:22:43
20,44272779.0,"Iteration processing (aka delay operator) first implementation draft, FOR REVIEW ONLY, DO NOT MERGE",21.0,597.0,292.0,17.0,22.0,1.0,1.0,2015-09-05 00:32:56,2015-12-10 00:08:54,David Yan,4419148.0,0.0,
21,44273483.0,"APEX-97, APEX-96 #resolve",22.0,27.0,17.0,3.0,1.0,0.0,0.0,2015-09-05 01:00:10,2015-09-09 07:55:24,Gaurav Gupta,5114534.0,1.0,2015-09-09 07:55:24
22,44496343.0,APEX-98 #resolve fixed problem with precision in the window to time utility function in WindowGenerator,23.0,96.0,10.0,2.0,1.0,1.0,0.0,2015-09-08 23:45:07,2015-09-09 07:37:44,David Yan,4419148.0,1.0,2015-09-09 07:37:44
23,44614048.0,APEX-22 #commit adding the port object only when it doesn't already e…,24.0,6.0,2.0,1.0,1.0,1.0,0.0,2015-09-09 23:46:26,2015-09-10 00:15:40,,4690923.0,1.0,2015-09-10 00:15:40
24,44616052.0,APEX-100 #resolve make embeddedwebsocketserver use an automatically selected port instead of hardcoded port,25.0,11.0,3.0,2.0,1.0,0.0,0.0,2015-09-10 00:19:13,2015-09-10 00:38:52,David Yan,4419148.0,1.0,2015-09-10 00:38:52
25,44620210.0,APEX-101 #resolve store memory allocated in megabytes instead of bytes,26.0,4.0,4.0,1.0,1.0,1.0,0.0,2015-09-10 01:47:23,2015-09-10 23:00:07,David Yan,4419148.0,1.0,2015-09-10 23:00:07
26,44620474.0,APEX-101 #resolve store memory allocated in megabytes instead of bytes,27.0,4.0,4.0,1.0,1.0,1.0,0.0,2015-09-10 01:53:17,2015-09-10 23:00:07,David Yan,4419148.0,1.0,2015-09-10 23:00:07
27,44660931.0,Fixed version reference in  bufferserver pom.xml,28.0,11.0,11.0,2.0,2.0,1.0,0.0,2015-09-10 12:25:28,2015-09-11 17:57:09,,4420249.0,1.0,2015-09-11 17:57:09
28,44688392.0,APEX-68: Buffer server should use a separate thread to spool blocks to disk,29.0,425.0,338.0,3.0,1.0,5.0,0.0,2015-09-10 16:19:58,2015-09-11 01:05:09,Vlad Rozov,12200381.0,1.0,2015-09-11 01:05:09
29,44692247.0,APEX-102 #resolve #comment converting time-buckets and dimensions to …,30.0,2.0,2.0,1.0,1.0,1.0,0.0,2015-09-10 16:54:47,2015-09-10 18:19:43,,4690923.0,1.0,2015-09-10 18:19:43
30,44719116.0,APEX-111 #resolve show-logical-plan command should check the first arg whether it's an app package before counting arguments,31.0,68.0,75.0,1.0,1.0,1.0,0.0,2015-09-10 21:04:16,2015-09-11 00:58:11,David Yan,4419148.0,0.0,
31,44733201.0,"APEX-112 #resolve null values should not converted to the string ""null"", and added null check on the beanutils converters",32.0,8.0,5.0,2.0,1.0,0.0,0.0,2015-09-10 23:51:01,2015-09-11 00:40:24,David Yan,4419148.0,1.0,2015-09-11 00:40:24
32,44734068.0,APEX-113 #resolve,33.0,3.0,2.0,1.0,1.0,3.0,0.0,2015-09-11 00:06:06,2015-09-11 16:37:50,Gaurav Gupta,5114534.0,0.0,
33,44803482.0,APEX-113 #resolve,34.0,3.0,0.0,1.0,1.0,1.0,0.0,2015-09-11 16:41:52,2015-09-11 17:29:29,Gaurav Gupta,5114534.0,1.0,2015-09-11 17:29:29
34,44823346.0,APEX-115 #resolve,35.0,4.0,2.0,2.0,1.0,1.0,0.0,2015-09-11 20:05:54,2015-09-11 22:19:13,Gaurav Gupta,5114534.0,1.0,2015-09-11 22:19:13
35,44866783.0,APEX-120 #comment deleting temp folder,36.0,1.0,0.0,1.0,1.0,0.0,0.0,2015-09-13 04:39:09,2015-09-13 17:39:38,Gaurav Gupta,5114534.0,1.0,2015-09-13 17:39:38
