,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,64411438.0,"GUACAMOLE-1: Update guacamole-client regarding naming, LICENSE, NOTICE, DISCLAIMER.",1.0,15187.0,16694.0,816.0,19.0,0.0,0.0,2016-03-29 04:10:58,2016-03-29 04:20:23,Mike Jumper,4632905.0,1.0,2016-03-29 04:20:23
1,64674549.0,GUAC-1511: Add client-side support for audio input.,2.0,569.0,202.0,5.0,4.0,0.0,0.0,2016-03-30 18:29:24,2016-03-30 20:20:47,Mike Jumper,4632905.0,1.0,2016-03-30 20:20:47
2,64869021.0,GUAC-1517: Maintain singleton instance of AudioContext.,3.0,85.0,42.0,3.0,1.0,0.0,0.0,2016-03-31 22:24:05,2016-03-31 22:30:40,Mike Jumper,4632905.0,1.0,2016-03-31 22:30:40
3,65182487.0,GUAC-1511: Fix audio input bugs in initial client implementation.,4.0,29.0,18.0,2.0,6.0,0.0,0.0,2016-04-04 17:30:09,2016-04-04 20:34:20,Mike Jumper,4632905.0,1.0,2016-04-04 20:34:20
4,70473985.0,GUACAMOLE-2 Added Missing translations for screen recording etc in Dutch,5.0,45.0,12.0,1.0,1.0,4.0,0.0,2016-05-18 06:16:51,2016-05-18 07:55:23,nrbrt,5767870.0,1.0,2016-05-18 07:55:23
5,70476779.0,GUACAMOLE-3: Bring CONTRIBUTING up-to-date with the migration to Apache.,6.0,15.0,29.0,1.0,1.0,0.0,0.0,2016-05-18 06:51:29,2016-05-18 06:56:11,Mike Jumper,4632905.0,1.0,2016-05-18 06:56:11
6,70921921.0,GUACAMOLE-27: Add Docker image from old guacamole-docker repository.,7.0,846.0,0.0,9.0,1.0,0.0,0.0,2016-05-20 21:48:07,2016-05-20 22:37:58,Mike Jumper,4632905.0,1.0,2016-05-20 22:37:58
7,71129540.0,GUACAMOLE-25: Address quality issues with audio input,8.0,167.0,11.0,1.0,5.0,0.0,0.0,2016-05-23 22:15:38,2016-05-24 03:28:05,Mike Jumper,4632905.0,1.0,2016-05-24 03:28:05
8,71155343.0,GUACAMOLE-25: Only stream audio when requested.,9.0,161.0,30.0,4.0,6.0,0.0,2.0,2016-05-24 04:10:15,2016-05-24 04:30:09,Mike Jumper,4632905.0,1.0,2016-05-24 04:30:09
9,71967553.0,GUACAMOLE-41: Add LDAP section to readme.,11.0,49.0,2.0,1.0,3.0,8.0,23.0,2016-05-31 07:09:17,2017-06-13 17:35:45,James Muehlner,4633119.0,0.0,
10,72272665.0,"GUACAMOLE-25: Add ""enable-audio-input"" parameter for RDP.",12.0,6.0,0.0,2.0,1.0,0.0,0.0,2016-06-02 00:17:37,2016-06-02 21:08:09,Mike Jumper,4632905.0,1.0,2016-06-02 21:08:09
11,72406913.0,GUACAMOLE-44: Implement tunnel REST endpoint,13.0,727.0,21.0,12.0,5.0,0.0,0.0,2016-06-02 19:53:21,2016-06-02 21:51:59,Mike Jumper,4632905.0,1.0,2016-06-02 21:51:59
