,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,89768708.0,Operation graph,1.0,240.0,27.0,6.0,1.0,0.0,14.0,2016-10-18 08:32:31,2016-10-18 13:47:34,Maxim Orlov,9050974.0,0.0,
1,89873341.0,Add basic executor mechanism,2.0,518.0,358.0,17.0,1.0,0.0,0.0,2016-10-18 18:34:03,2016-10-19 09:09:24,Dan Kilman,1008577.0,0.0,
2,90022206.0,Fix pylint issues in aria.workflows.core package,3.0,119.0,21.0,5.0,4.0,0.0,0.0,2016-10-19 14:34:52,2016-10-19 15:02:17,Ran,5601186.0,0.0,
3,90160206.0,Pylint tools module,4.0,145.0,54.0,6.0,1.0,0.0,0.0,2016-10-20 09:08:38,2016-10-20 09:27:09,Dan Kilman,1008577.0,0.0,
4,90160278.0,Pylint cli package,5.0,128.0,21.0,6.0,1.0,0.0,2.0,2016-10-20 09:09:04,2016-10-20 09:42:01,Dan Kilman,1008577.0,0.0,
5,90167888.0,pylint workflow exceptions and remove everything from workflows/__ini…,6.0,17.0,41.0,2.0,1.0,0.0,0.0,2016-10-20 09:55:43,2016-10-20 13:12:47,Dan Kilman,1008577.0,0.0,
6,90182409.0,pylint aria.storage,7.0,103.0,9.0,4.0,1.0,0.0,14.0,2016-10-20 11:33:24,2016-10-20 15:15:57,Maxim Orlov,9050974.0,0.0,
7,90184045.0,pylint some top level modules,8.0,108.0,26.0,5.0,1.0,0.0,2.0,2016-10-20 11:44:53,2016-10-20 13:12:50,Dan Kilman,1008577.0,0.0,
8,90189668.0,pylint tests,9.0,38.0,92.0,7.0,1.0,0.0,3.0,2016-10-20 12:24:19,2016-10-20 13:12:07,Dan Kilman,1008577.0,0.0,
9,90194850.0,pylint-aria-events,10.0,44.0,11.0,4.0,1.0,0.0,2.0,2016-10-20 12:56:03,2016-10-20 15:15:53,Maxim Orlov,9050974.0,0.0,
10,90198660.0,pylint-aria-workflow-builtin,11.0,183.0,696.0,10.0,1.0,0.0,0.0,2016-10-20 13:18:40,2016-10-20 15:15:50,Maxim Orlov,9050974.0,0.0,
11,90362370.0,ARIA-3 Create an API for creating workflows,12.0,2623.0,841.0,55.0,1.0,0.0,69.0,2016-10-21 10:48:17,2016-11-07 16:13:34,Ran,5601186.0,1.0,2016-11-07 16:13:34
12,90827476.0,ARIA-6 Add tox.ini and .travis files for CI,13.0,84.0,22.0,6.0,1.0,0.0,5.0,2016-10-25 15:06:54,2016-10-28 16:19:07,Ran,5601186.0,1.0,2016-10-28 16:19:07
13,91753712.0,ARIA-7 Initial celery based executor implementation,14.0,304.0,111.0,8.0,1.0,0.0,0.0,2016-11-01 09:27:52,2016-11-01 10:33:56,Dan Kilman,1008577.0,1.0,2016-11-01 10:33:56
