,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,46094758.0,Updated README,1.0,11.0,3.0,1.0,1.0,1.0,0.0,2015-09-27 03:58:08,2015-10-08 20:47:16,Mohit Soni,102390.0,0.0,
1,46471228.0,MYRIAD-137: Decline cached offers when a zero-profile NM shutsdown.,2.0,42.0,17.0,3.0,1.0,2.0,0.0,2015-09-30 23:48:23,2015-10-16 22:57:43,Santosh Marella,3505177.0,0.0,
2,46481505.0,"This commit address Myriad-135, it is possible an offer may not conta…",3.0,46.0,31.0,1.0,1.0,1.0,0.0,2015-10-01 03:24:02,2015-10-19 22:22:08,Darin,6180638.0,0.0,
3,46802406.0,Initial apache site,4.0,40036.0,0.0,86.0,1.0,7.0,1.0,2015-10-05 16:25:23,2015-10-13 13:27:07,Jim Klucar,631840.0,0.0,
4,47452108.0,Create DISCLAIMER,5.0,11.0,0.0,1.0,1.0,7.0,0.0,2015-10-12 18:49:34,2015-10-15 18:57:01,Santosh Marella,3505177.0,0.0,
5,47718453.0,Changes namespace and file headers from ebay/paypal to Apache,6.0,2970.0,2082.0,155.0,1.0,7.0,6.0,2015-10-14 21:38:09,2015-10-15 13:00:58,Jim Klucar,631840.0,0.0,
6,47782273.0,Legal,7.0,2947.0,1559.0,109.0,6.0,6.0,2.0,2015-10-15 12:57:15,2015-10-16 18:44:50,Jim Klucar,631840.0,1.0,2015-10-16 18:44:50
7,47962104.0,Setting the hadoop version to 2.7.0 (same as build.gradle),8.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-10-16 21:25:59,2015-10-16 21:50:59,Sarjeet Singh,4831267.0,0.0,
8,47982440.0,"MYRIAD-133 Multiple flexed up NMs try to run on same node, altogether",9.0,47.0,42.0,4.0,1.0,1.0,0.0,2015-10-17 08:24:15,2015-10-17 20:28:12,Swapnil Daingade,6597687.0,0.0,
9,47995210.0,"MYRIAD-147 Revise default cpu, mem for small, medium, large profile NM's",10.0,4.0,4.0,1.0,1.0,1.0,0.0,2015-10-17 21:01:25,2015-10-19 20:51:43,Swapnil Daingade,6597687.0,0.0,
