,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,149442894.0,"Jetty Web Server and SparkSqlRunner upgraded to gradle,Spark 2.0 and code refactored to use apache in package names",1.0,176.0,86.0,7.0,1.0,0.0,0.0,2017-10-30 06:10:33,2017-12-12 00:31:46,Kirupa,2714706.0,1.0,2017-12-12 00:31:46
1,161250873.0,Amaterasu 13,2.0,191.0,40.0,4.0,5.0,0.0,0.0,2018-01-05 00:54:50,2018-01-14 11:51:15,Kirupa,2714706.0,1.0,2018-01-14 11:51:15
2,162320895.0,Feature/yarn support pyfix,3.0,1722.0,3354.0,84.0,46.0,1.0,0.0,2018-01-11 08:37:42,2018-01-11 08:45:36,Eyal Ben Ivri,2832043.0,1.0,2018-01-11 08:45:36
3,162854803.0,dynamically resolving spark driver host,4.0,25.0,10.0,6.0,1.0,0.0,0.0,2018-01-15 01:36:04,2018-01-25 02:27:52,Yaniv Rodenski,1547970.0,0.0,
4,165014655.0,Amaterasu 17,5.0,234.0,64.0,18.0,8.0,0.0,0.0,2018-01-25 02:27:27,2018-01-25 10:22:21,Yaniv Rodenski,1547970.0,1.0,2018-01-25 10:22:21
5,168387779.0,Amaterasu 15,6.0,298.0,83.0,13.0,6.0,0.0,2.0,2018-02-10 05:49:05,2018-02-13 08:39:19,Yaniv Rodenski,1547970.0,1.0,2018-02-13 08:39:19
6,169354703.0,basic travisci support files,7.0,45.0,0.0,1.0,2.0,0.0,0.0,2018-02-15 12:10:32,2018-02-15 12:32:34,Guy Peleg - The Real thing,22349503.0,1.0,2018-02-15 12:32:34
7,169528380.0,replacing Circeci with Travis,8.0,2.0,46.0,3.0,3.0,0.0,0.0,2018-02-16 01:12:26,2018-02-16 08:24:22,Guy Peleg - The Real thing,22349503.0,1.0,2018-02-16 08:24:21
8,169823131.0,Simple impl. relaying on version check and upload in the yarn client.,9.0,16.0,4.0,1.0,1.0,0.0,0.0,2018-02-18 10:02:10,2018-02-18 10:56:00,Eyal Ben Ivri,2832043.0,1.0,2018-02-18 10:56:00
9,170941276.0,Amaterasu 14,10.0,284.0,201.0,26.0,14.0,1.0,0.0,2018-02-23 06:22:16,2018-02-25 00:20:02,Yaniv Rodenski,1547970.0,0.0,
10,171204943.0,Amaterasu-14,11.0,284.0,201.0,26.0,14.0,0.0,0.0,2018-02-25 00:21:47,2018-02-25 13:56:14,Yaniv Rodenski,1547970.0,1.0,2018-02-25 13:56:14
11,171222759.0,adding basic pipeline with distribution list,12.0,5.0,0.0,1.0,6.0,0.0,0.0,2018-02-25 10:12:09,2018-03-04 11:41:40,Guy Peleg - The Real thing,22349503.0,1.0,2018-03-04 11:41:40
12,171233475.0,AMATERASU-18,13.0,148.0,49.0,12.0,8.0,0.0,0.0,2018-02-25 14:46:25,2018-03-27 05:43:15,Eyal Ben Ivri,2832043.0,1.0,2018-03-27 05:43:15
13,177334986.0,fixed absolute paths in tests,14.0,75.0,89.0,4.0,16.0,0.0,0.0,2018-03-26 03:31:20,2018-04-11 01:20:55,Yaniv Rodenski,1547970.0,1.0,2018-04-11 01:20:55
14,180155747.0,Build Pipe line,15.0,144.0,92.0,7.0,31.0,0.0,0.0,2018-04-08 11:50:08,2018-04-11 01:20:54,Guy Peleg - The Real thing,22349503.0,1.0,2018-04-11 01:20:54
15,180776486.0,update badge for incubator,16.0,1.0,1.0,1.0,1.0,0.0,0.0,2018-04-11 02:44:00,2018-04-11 03:47:20,guy peleg,32442634.0,1.0,2018-04-11 03:47:20
16,188207328.0,Amaterasu CLI for V0.2.1,17.0,3160.0,44.0,74.0,48.0,3.0,0.0,2018-05-15 17:53:03,2018-09-15 08:48:06,Nadav Har Tzvi,13745688.0,0.0,
17,189020358.0,"AMATERASU-26 Pipeline tasks runs as ""yarn"" user instead of inheriting…",18.0,40.0,27.0,2.0,1.0,2.0,0.0,2018-05-18 13:06:34,2018-05-26 07:54:40,Arun Manivannan,143679.0,1.0,2018-05-26 07:54:40
18,189644445.0,AMATERASU-21 Fix Spark scala tests,19.0,66.0,62.0,6.0,2.0,1.0,0.0,2018-05-22 12:24:36,2018-05-26 08:09:46,Shad,3398950.0,1.0,2018-05-26 08:09:46
19,190413712.0,PySpark fixes for YARN and Mesos,20.0,87.0,105.0,7.0,3.0,0.0,11.0,2018-05-24 20:40:52,2018-05-28 01:25:22,Nadav Har Tzvi,13745688.0,1.0,2018-05-28 01:25:22
20,190732651.0,AMATERASU-28 Miniconda version pulling away from code,21.0,36.0,67.0,8.0,2.0,0.0,0.0,2018-05-26 08:45:59,2018-06-28 04:31:15,Arun Manivannan,143679.0,0.0,
21,190780425.0,AMATERASU-24 Refactor Spark out of Amaterasu executor to it's own pro…,22.0,156.0,3422.0,52.0,1.0,0.0,0.0,2018-05-27 10:24:02,2018-06-09 04:34:00,Arun Manivannan,143679.0,0.0,
22,193756682.0,Version 0.2.0 incubating rc3,23.0,718.0,273.0,43.0,22.0,0.0,0.0,2018-06-09 03:46:12,2018-06-09 04:10:19,Yaniv Rodenski,1547970.0,1.0,2018-06-09 04:10:19
