,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,62446571.0,Grammar fix in README.md,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-03-10 19:58:05,2016-03-10 22:03:47,Will Marshall,4752570.0,1.0,2016-03-10 22:03:47
1,62602857.0,Remove unused import,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2016-03-11 21:08:55,2016-03-14 17:57:20,Dale LaBossiere,12643590.0,1.0,2016-03-14 17:57:20
2,62603424.0,Delete Quarks-cla-individual.pdf,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-11 21:14:00,2016-03-11 21:54:29,,16656337.0,1.0,2016-03-11 21:54:29
3,62616075.0,remove timing sensitivity on reconnect tests,4.0,17.0,9.0,1.0,2.0,0.0,0.0,2016-03-11 23:06:35,2016-03-14 17:04:10,Dale LaBossiere,12643590.0,1.0,2016-03-14 17:04:10
4,62644296.0,Appservice cleanup,5.0,53.0,1.0,3.0,3.0,0.0,0.0,2016-03-12 15:42:42,2016-03-13 18:41:35,Dan Debrunner,3769612.0,1.0,2016-03-13 18:41:35
5,62674067.0,[QUARKS-18] [WIP] Split function based upon an enumeration,6.0,966.0,92.0,25.0,14.0,4.0,0.0,2016-03-13 15:39:40,2016-03-15 10:59:30,Cazen Lee,10334774.0,0.0,
6,62780949.0,[QUARKS-10] Iot provider,7.0,589.0,41.0,17.0,9.0,0.0,2.0,2016-03-14 16:56:56,2016-03-17 17:13:26,Dan Debrunner,3769612.0,1.0,2016-03-17 17:13:26
7,62784192.0,Use new IotDevice constants,8.0,11.0,9.0,2.0,1.0,0.0,0.0,2016-03-14 17:16:58,2016-03-14 17:59:45,Dale LaBossiere,12643590.0,1.0,2016-03-14 17:59:45
8,62796415.0,QUARKS-8 [WIP] Job registry service,9.0,662.0,0.0,11.0,5.0,7.0,11.0,2016-03-14 18:36:52,2016-03-17 20:23:15,Victor Dogaru,13647061.0,1.0,2016-03-17 20:23:15
9,62820954.0,adapt console.war file locating to change in eclipse project output dir.,10.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-03-14 21:32:21,2016-03-14 21:44:56,Dale LaBossiere,12643590.0,1.0,2016-03-14 21:44:56
10,62887339.0,[QUARKS-18] Split function based upon an enumeration,11.0,177.0,4.0,4.0,5.0,3.0,4.0,2016-03-15 10:59:20,2016-03-16 13:34:58,Cazen Lee,10334774.0,1.0,2016-03-16 13:34:58
11,62949543.0,QUARKS-29 add empty KEYS file,12.0,15.0,0.0,1.0,1.0,0.0,0.0,2016-03-15 17:55:23,2016-03-16 00:43:05,Katherine Marsden,8388745.0,1.0,2016-03-16 00:43:05
12,62956120.0,Add info about using github,13.0,38.0,0.0,1.0,4.0,3.0,5.0,2016-03-15 18:37:49,2016-03-16 15:03:00,Dale LaBossiere,12643590.0,0.0,
13,62986485.0,[QUARKS-16] [WIP] Add topology sample for combining streams processing results,14.0,230.0,0.0,2.0,2.0,4.0,6.0,2016-03-15 22:19:42,2016-03-16 13:24:38,Queenie Ma,2454818.0,1.0,2016-03-16 13:24:38
14,63069690.0,"Adjust ""github use"" doc based on feedback.",15.0,13.0,4.0,1.0,1.0,1.0,0.0,2016-03-16 14:07:29,2016-03-16 14:55:30,Dale LaBossiere,12643590.0,1.0,2016-03-16 14:55:30
15,63096576.0,Fix indentation of gitusage list,16.0,8.0,8.0,1.0,1.0,1.0,0.0,2016-03-16 16:41:59,2016-03-16 17:11:14,Dale LaBossiere,12643590.0,1.0,2016-03-16 17:11:14
16,63112192.0,[QUARKS-33] fixed x-axis legend when many oplets have metrics,17.0,17.0,12.0,3.0,1.0,0.0,0.0,2016-03-16 18:24:01,2016-03-16 18:32:17,Susan L. Cline,17278663.0,1.0,2016-03-16 18:32:17
17,63135737.0,QUARKS-30 Fix timing issues in PubSubTest,18.0,27.0,11.0,1.0,1.0,0.0,0.0,2016-03-16 21:05:19,2016-03-16 22:08:28,Dan Debrunner,3769612.0,1.0,2016-03-16 22:08:28
18,63138482.0,QUARKS-21 [WIP] SVT GPS/OBD application,19.0,447.0,7.0,8.0,6.0,6.0,0.0,2016-03-16 21:25:08,2016-03-22 22:43:20,May Wone,17261872.0,0.0,
19,63229346.0,Add IBM Copyright to NOTICES,20.0,13.0,0.0,1.0,1.0,0.0,0.0,2016-03-17 14:18:17,2016-03-17 15:14:47,,16656337.0,1.0,2016-03-17 15:14:47
20,63242687.0,Desensitize intermittent mqtt test timing related failures.,21.0,20.0,3.0,1.0,1.0,0.0,0.0,2016-03-17 15:35:45,2016-03-17 15:53:23,Dale LaBossiere,12643590.0,1.0,2016-03-17 15:53:23
21,63256542.0,QUARKS-38 Stop java7 testing if java7 jars not built,22.0,13.0,2.0,1.0,1.0,0.0,0.0,2016-03-17 16:58:12,2016-03-17 17:12:27,Dan Debrunner,3769612.0,1.0,2016-03-17 17:12:27
22,63266796.0,[QUARKS-39] cleanup java warnings,23.0,8.0,4.0,4.0,1.0,1.0,3.0,2016-03-17 18:03:33,2016-03-17 18:45:39,Dale LaBossiere,12643590.0,1.0,2016-03-17 18:45:39
23,63271653.0,[QUARKS-40] remove non-existent src/test/java dir reference from .classpath,24.0,0.0,1.0,1.0,1.0,1.0,0.0,2016-03-17 18:35:52,2016-03-17 18:59:12,Dale LaBossiere,12643590.0,1.0,2016-03-17 18:59:12
24,63274371.0,[QUARKS-16] Update split to use lambda function,25.0,21.0,27.0,1.0,2.0,0.0,1.0,2016-03-17 18:54:23,2016-03-22 12:47:30,Queenie Ma,2454818.0,1.0,2016-03-22 12:47:30
25,63311050.0,Add tracing to Executable,26.0,13.0,15.0,2.0,1.0,0.0,0.0,2016-03-18 00:01:38,2016-03-18 00:51:05,Victor Dogaru,13647061.0,1.0,2016-03-18 00:51:05
26,63439275.0,QUARKS-12 [WIP] Provide job health info,27.0,224.0,60.0,9.0,4.0,1.0,0.0,2016-03-18 21:32:19,2016-03-21 18:43:41,Victor Dogaru,13647061.0,1.0,2016-03-21 18:43:41
27,63439478.0,QUARKS-20,28.0,87.0,64.0,5.0,1.0,0.0,0.0,2016-03-18 21:34:19,2016-03-18 21:55:35,Susan L. Cline,17278663.0,1.0,2016-03-18 21:55:35
28,63456715.0,"[QUARKS-47] Remove unnecessary null check in ConnectorStream.split(enumClass, splitter)",29.0,0.0,0.0,0.0,0.0,4.0,0.0,2016-03-19 02:37:16,2016-03-21 21:15:06,Cazen Lee,10334774.0,1.0,2016-03-21 21:15:06
29,63624073.0,QUARKS-8 JobRegistry unit test,30.0,161.0,0.0,1.0,1.0,0.0,0.0,2016-03-21 20:07:24,2016-03-21 20:30:00,Victor Dogaru,13647061.0,1.0,2016-03-21 20:30:00
30,63625102.0,[QUARKS-54] cleanup SensorAnalytics sample app,31.0,25.0,102.0,4.0,1.0,0.0,0.0,2016-03-21 20:14:43,2016-03-21 20:35:01,Dale LaBossiere,12643590.0,1.0,2016-03-21 20:35:01
31,63640003.0,[QUARKS-55] Adjust README and DEVLOPMENT for incubation.,32.0,14.0,10.0,2.0,3.0,0.0,0.0,2016-03-21 22:04:20,2016-03-22 16:09:47,Dan Debrunner,3769612.0,1.0,2016-03-22 16:09:47
32,63643027.0,[QUARKS-52] fix test keystore path formation on windows,33.0,12.0,9.0,1.0,1.0,0.0,3.0,2016-03-21 22:30:23,2016-03-21 22:45:21,Dale LaBossiere,12643590.0,1.0,2016-03-21 22:45:21
33,63733435.0,compose path portably,34.0,4.0,2.0,1.0,1.0,0.0,0.0,2016-03-22 14:55:41,2016-03-22 15:32:08,Dale LaBossiere,12643590.0,1.0,2016-03-22 15:32:08
34,63750522.0,Replace IBM copyright with ASF licence header in analytic java files,35.0,192.0,24.0,12.0,1.0,0.0,0.0,2016-03-22 16:31:59,2016-03-22 17:39:08,Dan Debrunner,3769612.0,1.0,2016-03-22 17:39:08
35,63751690.0,"Replace IBM copyright with ASF licence header in android,api java files",36.0,1616.0,138.0,101.0,1.0,0.0,0.0,2016-03-22 16:39:05,2016-03-22 17:40:30,Dan Debrunner,3769612.0,1.0,2016-03-22 17:40:30
36,63753122.0,"Replace IBM copyright with ASF licence header in connectors, console,…",37.0,1920.0,240.0,120.0,2.0,0.0,0.0,2016-03-22 16:47:25,2016-03-22 18:42:28,Dan Debrunner,3769612.0,1.0,2016-03-22 18:42:28
37,63754453.0,"Replace IBM copyright with ASF licence header in runtime, samples, sp…",38.0,1584.0,198.0,99.0,2.0,0.0,0.0,2016-03-22 16:54:52,2016-03-22 18:17:55,Dan Debrunner,3769612.0,1.0,2016-03-22 18:17:55
38,63754494.0,"Replace IBM copyright with ASF licence header in test, utils java files",39.0,688.0,86.0,43.0,2.0,0.0,0.0,2016-03-22 16:55:05,2016-03-22 17:59:41,Dan Debrunner,3769612.0,1.0,2016-03-22 17:59:41
39,63773073.0,Remove IBM copyrights that were left in,40.0,8.0,64.0,65.0,2.0,0.0,0.0,2016-03-22 18:49:51,2016-03-22 19:34:14,Dan Debrunner,3769612.0,1.0,2016-03-22 19:34:14
