,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,66620863.0,gearpump-34 update developer document.,1.0,668.0,45.0,2.0,2.0,17.0,43.0,2016-04-15 10:22:54,2016-05-03 03:48:48,Weihua Jiang,5162753.0,0.0,
1,66986131.0,Gearpump 36 fix gearpump doc build on Mac OS X,2.0,34.0,5.0,3.0,1.0,4.0,6.0,2016-04-19 09:25:51,2016-04-29 01:51:12,Weihua Jiang,5162753.0,0.0,
2,67859879.0,fix GEARPUMP-35 Worker's JVM metrics is not shown correctly,3.0,7.0,5.0,3.0,1.0,2.0,0.0,2016-04-26 10:14:57,2016-04-28 01:03:55,Huafeng Wang,5011399.0,1.0,2016-04-28 01:03:55
3,67984785.0,fix GEARPUMP-41 check akka.scheduler.tick-duration on Windows,4.0,16.0,5.0,3.0,1.0,3.0,8.0,2016-04-27 01:45:25,2016-04-28 02:37:31,Huafeng Wang,5011399.0,1.0,2016-04-28 02:37:31
4,68020132.0,fix GEARPUMP-109: add wordcount Java/Scala and DSL/low level API examples,6.0,258.0,17.0,2.0,1.0,9.0,3.0,2016-04-27 09:11:14,2016-04-29 02:21:57,Weihua Jiang,5162753.0,1.0,2016-04-29 02:21:57
5,68024265.0,"GEARPUMP-24, refactor DataSource API",7.0,53.0,75.0,7.0,1.0,8.0,3.0,2016-04-27 09:42:25,2016-05-05 01:17:14,Manu Zhang,1191767.0,0.0,
6,68189461.0,fix GEARPUMP-7 Master members are not updated if a master is shutdown,8.0,34.0,19.0,4.0,1.0,2.0,0.0,2016-04-28 09:26:21,2016-04-29 03:42:00,Huafeng Wang,5011399.0,0.0,
7,68806947.0,fix GEARPUMP-108 enable travis CI for Gearpump's apache repository,9.0,24.0,13.0,6.0,1.0,2.0,0.0,2016-05-04 03:32:27,2016-05-05 01:21:39,Huafeng Wang,5011399.0,0.0,
8,69232755.0,gearpump redis,10.0,24.0,2.0,2.0,1.0,0.0,0.0,2016-05-07 04:23:44,2016-05-07 04:23:48,yaphet,4414314.0,0.0,
9,69241476.0,fix #121 DataSourceProcessor and DataSinkProcessor default parallelism,12.0,2.0,2.0,2.0,2.0,0.0,0.0,2016-05-07 12:35:17,2016-05-07 12:56:10,yaphet,4414314.0,0.0,
10,69241968.0,fix #121 DataSourceProcessor and DataSinkProcessor default parallelism,13.0,2.0,2.0,2.0,1.0,6.0,0.0,2016-05-07 13:03:57,2016-05-20 05:09:48,yaphet,4414314.0,0.0,
11,69437962.0,fix GEARPUMP-118 change package name to org.apache,14.0,2760.0,2792.0,569.0,1.0,4.0,0.0,2016-05-10 01:48:50,2016-05-10 14:55:11,Huafeng Wang,5011399.0,0.0,
12,69453534.0,Fixes GEARPUMP-18 Enable publishing gearpump artifacts to repository.…,15.0,8.0,8.0,1.0,1.0,3.0,0.0,2016-05-10 06:12:16,2016-05-10 15:32:55,Kam Kasravi,146453.0,0.0,
13,69956080.0,"fix GEARPUMP-113, remove default admin account from geardefault.conf",16.0,1.0,3.0,1.0,1.0,1.0,0.0,2016-05-13 07:53:42,2016-05-14 08:58:45,Manu Zhang,1191767.0,0.0,
14,69956951.0,fix GEARPUMP-124 SinkTask fail to start after changing parallelism,17.0,10.0,2.0,2.0,1.0,1.0,0.0,2016-05-13 08:02:15,2016-05-14 08:54:36,Huafeng Wang,5011399.0,0.0,
15,70162356.0,fix GEARPUMP-124 URI too long when changing SourceTask's parallelism,18.0,26.0,19.0,6.0,1.0,1.0,0.0,2016-05-16 07:57:31,2016-05-17 15:40:13,Huafeng Wang,5011399.0,0.0,
16,70385251.0,"fix GEARPUMP-141 , remove useless method",19.0,0.0,12.0,1.0,1.0,0.0,0.0,2016-05-17 16:09:46,2016-05-17 16:12:21,yaphet,4414314.0,0.0,
17,70386567.0,fix GEARPUMP-141 Remove useless method,20.0,0.0,12.0,1.0,1.0,6.0,0.0,2016-05-17 16:17:38,2016-05-30 14:24:56,yaphet,4414314.0,0.0,
18,70438857.0,"fix GEARPUMP-123, update Worker's executorsInfo on executor down",21.0,1.0,0.0,1.0,1.0,2.0,0.0,2016-05-17 22:05:34,2016-05-19 01:10:03,Manu Zhang,1191767.0,0.0,
19,70978649.0,"fix GEARPUMP-148, Document how to use HDFS HA for JarStore",22.0,17.0,2.0,5.0,1.0,0.0,2.0,2016-05-22 14:37:03,2016-05-23 01:26:29,Manu Zhang,1191767.0,0.0,
20,71025702.0,fix GEARPUMP-117 add scripts to start and stop the cluster,23.0,332.0,2.0,11.0,1.0,4.0,5.0,2016-05-23 08:57:02,2016-05-27 06:40:10,Huafeng Wang,5011399.0,0.0,
21,71349658.0,fix GEARPUMP-114 fix dead loop in graph with cycles,24.0,32.0,13.0,2.0,1.0,1.0,0.0,2016-05-25 08:32:26,2016-05-27 06:41:51,Huafeng Wang,5011399.0,0.0,
22,71663725.0,"fix GEARPUMP-122, refactor kafka connector API",25.0,1643.0,1653.0,49.0,1.0,7.0,6.0,2016-05-27 05:54:52,2016-06-01 08:54:35,Manu Zhang,1191767.0,0.0,
23,71667657.0,fix GEARPUMP-150 correct the integration test file structure,26.0,0.0,0.0,28.0,1.0,1.0,0.0,2016-05-27 06:50:29,2016-05-27 11:39:34,Huafeng Wang,5011399.0,0.0,
24,71819444.0,"fix GEARPUMP-64, only allow LocalJarStore for ComposeDAG",27.0,16.0,7.0,5.0,1.0,3.0,0.0,2016-05-29 06:21:18,2016-05-31 02:10:36,Manu Zhang,1191767.0,0.0,
25,71823513.0,"fix GERAPUMP-54, allow user to specify application name",28.0,8.0,1.0,2.0,1.0,1.0,0.0,2016-05-29 10:17:12,2016-05-31 02:09:29,Manu Zhang,1191767.0,0.0,
26,71826982.0,fix GEARPUMP-143 add doc worker.executor-share-same-jvm-as-worker,29.0,1.0,0.0,1.0,2.0,3.0,1.0,2016-05-29 13:13:37,2016-05-31 02:05:51,,13641935.0,0.0,
27,72001716.0,Gearpump 143,30.0,7.0,6.0,1.0,3.0,2.0,0.0,2016-05-31 11:48:01,2016-06-01 10:23:06,,13641935.0,0.0,
28,72117145.0,"fix GEARPUMP-83, show application pending on worker down",31.0,168.0,111.0,13.0,1.0,5.0,2.0,2016-06-01 03:16:08,2016-06-03 01:22:26,Manu Zhang,1191767.0,0.0,
29,72156818.0,refine the deploy config doc,32.0,7.0,7.0,1.0,1.0,1.0,0.0,2016-06-01 10:28:11,2016-06-02 00:28:57,,13641935.0,0.0,
30,72450322.0,"fix GEARPUMP-32, introduce source watermark",33.0,76.0,53.0,10.0,1.0,2.0,0.0,2016-06-03 03:47:49,2016-07-08 02:42:04,Manu Zhang,1191767.0,0.0,
31,72469086.0,"fix GEARPUMP-153, throw exception on main class load failure",34.0,4.0,4.0,1.0,1.0,2.0,2.0,2016-06-03 08:11:34,2016-06-22 23:31:58,Manu Zhang,1191767.0,0.0,
32,72660590.0,fix GEARPUMP-139 correct shaded libraries's package name,35.0,32.0,32.0,22.0,1.0,4.0,0.0,2016-06-06 06:17:25,2016-06-06 08:32:15,Huafeng Wang,5011399.0,0.0,
33,72812617.0,"fix GEARPUMP-155, integration test failure",36.0,39.0,14.0,7.0,1.0,2.0,0.0,2016-06-07 03:57:47,2016-06-07 07:22:22,Manu Zhang,1191767.0,0.0,
34,72975826.0,update Storm module README,37.0,39.0,19.0,2.0,1.0,1.0,0.0,2016-06-08 01:53:36,2016-06-08 02:00:44,Manu Zhang,1191767.0,0.0,
35,73455329.0,"fix GEARPUMP-155, DagManager serializes DAG before sending it to master",38.0,36.0,27.0,4.0,1.0,2.0,0.0,2016-06-11 01:49:19,2016-06-12 06:06:46,Manu Zhang,1191767.0,0.0,
36,73529979.0,fix README links and CHANGELOG format,39.0,11.0,11.0,2.0,1.0,1.0,0.0,2016-06-13 07:01:09,2016-06-13 07:22:42,Manu Zhang,1191767.0,0.0,
37,73894382.0,"fix GEARPUMP-155, integration test failure",40.0,9.0,12.0,3.0,1.0,2.0,0.0,2016-06-15 11:23:46,2016-06-16 01:21:58,Manu Zhang,1191767.0,0.0,
38,74390066.0,"fix GEARPUMP-160, add KafkaDSL examples and fix docs",41.0,287.0,149.0,9.0,1.0,2.0,0.0,2016-06-20 05:08:06,2016-06-20 08:37:17,Manu Zhang,1191767.0,0.0,
39,74452345.0,fix links in documentation and comments,42.0,19.0,120.0,17.0,1.0,2.0,0.0,2016-06-20 14:28:03,2016-06-21 01:10:37,Manu Zhang,1191767.0,0.0,
40,74757265.0,"fix GEARPUMP-61, improve code coverage",43.0,284.0,206.0,17.0,2.0,2.0,0.0,2016-06-22 10:10:33,2016-06-22 23:24:20,Manu Zhang,1191767.0,0.0,
41,74843676.0,GEARPUMP-164 configurable hbase user,44.0,21.0,3.0,2.0,4.0,3.0,0.0,2016-06-22 19:37:20,2016-06-23 07:36:20,Karol Brejna,10846210.0,0.0,
42,74890667.0,"fix GEARPUMP-61, add more tests",45.0,328.0,8.0,7.0,1.0,2.0,0.0,2016-06-23 03:21:09,2016-06-23 07:50:51,Manu Zhang,1191767.0,0.0,
43,74891914.0,"fixes GEARPUMP-156 Replace logo in site, GitHub, Travis, etc",46.0,1.0,1.0,2.0,1.0,5.0,0.0,2016-06-23 03:41:08,2016-06-29 22:03:47,Kam Kasravi,146453.0,0.0,
44,74891937.0,fixes GEARPUMP-159 Prep for first release,47.0,2421.0,825.0,95.0,1.0,3.0,0.0,2016-06-23 03:41:35,2016-06-30 10:53:20,Kam Kasravi,146453.0,0.0,
45,74900835.0,fix GEARPUMP161 application logs are located in wrong place on Yarn,48.0,1.0,0.0,1.0,1.0,10.0,0.0,2016-06-23 06:12:45,2016-07-01 01:47:41,Huafeng Wang,5011399.0,0.0,
46,74910138.0,GEARPUMP-164 configurable hbase user,49.0,22.0,3.0,2.0,1.0,2.0,0.0,2016-06-23 07:51:58,2016-06-23 08:41:09,Karol Brejna,10846210.0,0.0,
47,74917383.0,"fix GEARPUMP-165, RestServiceSpec failed",50.0,34.0,32.0,4.0,1.0,4.0,0.0,2016-06-23 08:51:53,2016-06-24 03:19:08,Manu Zhang,1191767.0,0.0,
48,75226900.0,[GEARPUMP-166] Rename sumByValue to sumByKey,51.0,5.0,5.0,2.0,1.0,2.0,0.0,2016-06-26 10:48:37,2016-06-27 22:23:25,yaphet,4414314.0,0.0,
49,75596999.0,"fix GEARPUMP-169, upgrade sbt-assembly and shade",53.0,262.0,73.0,11.0,1.0,4.0,1.0,2016-06-29 06:55:42,2016-06-30 05:35:19,Manu Zhang,1191767.0,0.0,
50,75909654.0,fix GEARPUMP-170 Create 0.8.1 release,54.0,4.0,9.0,4.0,1.0,2.0,0.0,2016-07-01 00:04:56,2016-07-01 20:16:45,Kam Kasravi,146453.0,0.0,
51,75980518.0,[GEARPUMP-171] Fix some typos,55.0,5.0,5.0,3.0,1.0,3.0,0.0,2016-07-01 13:33:18,2016-09-06 11:08:49,yaphet,4414314.0,0.0,
52,76097020.0,fix GEARPUMP-173 Create 0.8.1-RC1 release,57.0,164.0,113.0,40.0,1.0,2.0,0.0,2016-07-03 19:55:05,2016-07-05 01:08:13,Kam Kasravi,146453.0,0.0,
53,76556052.0,fix GEARPUMP-174 update shaded akka-kryo version to 0.4.1,58.0,14.0,12.0,2.0,1.0,2.0,0.0,2016-07-07 08:23:16,2016-07-07 08:50:35,Huafeng Wang,5011399.0,0.0,
54,76638990.0,fix GEARPUMP-176 Create 0.8.1-RC2 release,59.0,4.0,2.0,3.0,1.0,1.0,0.0,2016-07-07 18:01:12,2016-07-08 02:59:08,Kam Kasravi,146453.0,0.0,
55,76862959.0,fix GEARPUMP-177 Documentation build errors when trying to generate d…,60.0,3.0,6.0,3.0,1.0,2.0,0.0,2016-07-10 03:03:52,2016-07-10 03:44:50,Kam Kasravi,146453.0,0.0,
56,76863586.0,fix GEARPUMP-178 Create 0.8.1-RC3 release,61.0,4.0,2.0,3.0,1.0,2.0,0.0,2016-07-10 03:51:35,2016-07-11 00:12:26,Kam Kasravi,146453.0,0.0,
57,77659707.0,Add disclaimer,62.0,8.0,0.0,1.0,2.0,4.0,0.0,2016-07-15 18:40:32,2016-07-15 20:07:53,Felix Cheung,8969467.0,0.0,
58,77896782.0,fix GEARPUMP-182 Correct references required for source release in LI…,63.0,112.0,567.0,7.0,1.0,2.0,0.0,2016-07-18 23:33:54,2016-07-19 00:50:12,Kam Kasravi,146453.0,0.0,
59,77903265.0,fix upstream ref in ReleaseProcess.md,64.0,1.0,1.0,1.0,1.0,2.0,0.0,2016-07-19 00:58:53,2016-07-19 01:34:42,Manu Zhang,1191767.0,0.0,
60,77912345.0,fix GEARPUMP-181 Create 0.8.1-RC4 release,65.0,5.0,2.0,3.0,1.0,2.0,0.0,2016-07-19 03:20:43,2016-07-19 10:37:37,Kam Kasravi,146453.0,0.0,
