,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,71818493.0,renamed packages from 'google' to 'apache' and updated necessary imports,1.0,78.0,80.0,23.0,1.0,0.0,0.0,2016-05-29 05:05:26,2016-06-02 15:13:29,Dorian Ellerbe,469272.0,1.0,2016-06-02 15:13:28
1,72524543.0,Use builder to create RandomGossipManager,2.0,75.0,3.0,2.0,4.0,1.0,3.0,2016-06-03 15:22:23,2016-06-05 23:17:25,Deleted user,10137.0,0.0,
2,72735992.0,Use builder to create RandomGossipManager,3.0,177.0,3.0,3.0,2.0,0.0,0.0,2016-06-06 16:11:20,2016-06-07 08:50:10,Deleted user,10137.0,0.0,
3,74374261.0,jdk8 and other pom.xml changes,4.0,146.0,58.0,5.0,3.0,0.0,0.0,2016-06-19 21:13:39,2016-06-25 11:46:33,Sree Vaddi,441385.0,1.0,2016-06-25 11:46:33
4,74880061.0,"initial website, jekyll base",5.0,21088.0,6.0,35.0,3.0,6.0,0.0,2016-06-23 00:37:41,2016-07-13 06:57:28,Sree Vaddi,441385.0,0.0,
5,75235465.0,source files that makes the project website,6.0,21110.0,6.0,68.0,7.0,7.0,1.0,2016-06-26 17:31:11,2016-07-13 06:57:47,Sree Vaddi,441385.0,0.0,
6,76312823.0,Gossip 13,7.0,530.0,122.0,19.0,5.0,2.0,9.0,2016-07-05 17:36:39,2017-01-05 01:35:20,Edward Capriolo,1020364.0,0.0,
7,77827379.0,GOSSIP-16 Clean up some whitespace and misspelling problems.,8.0,34.0,45.0,9.0,3.0,3.0,0.0,2016-07-18 15:26:05,2016-07-19 21:43:25,Gary Dusbabek,171875.0,0.0,
8,77870743.0,GOSSIP-14 Periodically attempt to contact dead members,9.0,29.0,3.0,4.0,1.0,2.0,0.0,2016-07-18 20:10:26,2016-07-19 13:47:08,Gary Dusbabek,171875.0,1.0,2016-07-19 13:47:08
9,78569315.0,Gossip 15,10.0,149.0,55.0,9.0,3.0,3.0,7.0,2016-07-23 10:36:17,2017-01-15 06:49:23,,6828879.0,0.0,
10,79811330.0,"GOSSIP-20 Updated Javadocs to reflect URI objects, removed hostname a…",11.0,13.0,17.0,3.0,1.0,0.0,0.0,2016-08-02 21:22:23,2016-08-04 00:58:13,Rishabh Patel,1607531.0,1.0,2016-08-04 00:58:13
11,84673578.0,GOSSIP-11: introducing junit5,12.0,32.0,19.0,5.0,2.0,0.0,2.0,2016-09-09 15:47:15,2016-09-09 22:02:59,Chandresh Pancholi,3134439.0,1.0,2016-09-09 22:02:59
12,84765191.0,GOSSIP-23: remove project description from footer to avoid showing it…,13.0,14.0,10.0,3.0,2.0,0.0,0.0,2016-09-10 19:22:44,2016-09-14 13:31:56,Chandresh Pancholi,3134439.0,1.0,2016-09-14 13:31:56
13,85247923.0,Run tests,14.0,62.0,44.0,5.0,1.0,0.0,0.0,2016-09-14 15:17:59,2016-09-14 16:39:13,Edward Capriolo,1020364.0,1.0,2016-09-14 16:39:13
14,88544390.0,Gossip-27 Prepare source tree for release,15.0,16.0,15.0,3.0,4.0,5.0,0.0,2016-10-08 12:23:44,2016-10-09 10:12:04,Chandresh Pancholi,3134439.0,0.0,
15,89536125.0,GOSSIP-29 Fix typo in GossipCore method name,16.0,2.0,2.0,2.0,1.0,0.0,0.0,2016-10-16 19:23:06,2016-10-17 14:21:41,Rishabh Patel,1607531.0,1.0,2016-10-17 14:21:41
16,89705194.0,GOSSIP-30 Use getDeadMembers instead of getDeadList,17.0,9.0,19.0,4.0,1.0,0.0,0.0,2016-10-17 21:18:21,2016-11-09 18:01:10,Rishabh Patel,1607531.0,1.0,2016-11-09 18:01:10
17,90009899.0,GOSSIP-31 Update README with correct APIs,18.0,4.0,4.0,1.0,1.0,0.0,0.0,2016-10-19 13:32:26,2017-01-05 01:31:40,Rishabh Patel,1607531.0,1.0,2017-01-05 01:31:40
18,95204986.0,GOSSIP-33 Run rat on all installs,19.0,156.0,2.0,10.0,1.0,0.0,0.0,2016-11-24 16:22:51,2016-11-25 13:39:17,Edward Capriolo,1020364.0,1.0,2016-11-25 13:39:17
19,96235653.0,ReadMe.md up-to-date & use java 8 lambda expressions,20.0,48.0,45.0,4.0,2.0,2.0,1.0,2016-12-02 07:51:39,2017-01-16 02:23:39,,4514890.0,0.0,
20,100005007.0,GOSSIP-34 remove json that makes ASF sad,21.0,45.0,38.0,9.0,1.0,1.0,0.0,2017-01-03 19:13:20,2017-01-03 19:58:32,Edward Capriolo,1020364.0,1.0,2017-01-03 19:58:32
21,100572647.0,GOSSIP-22 New failure detector,22.0,428.0,235.0,16.0,1.0,0.0,0.0,2017-01-07 15:45:26,2017-01-12 16:38:15,Edward Capriolo,1020364.0,1.0,2017-01-12 16:38:15
22,100829749.0,GOSSIP-40 fix GossipMember hash code bug,23.0,2.0,2.0,1.0,1.0,0.0,0.0,2017-01-10 08:31:10,2017-01-13 22:32:13,laidonglin,3690179.0,1.0,2017-01-13 22:32:13
23,101479043.0, [GOSSIP-17] Adding metrics for ActiveGroupThread with Singleton JMXR…,24.0,91.0,22.0,13.0,6.0,3.0,0.0,2017-01-13 16:58:46,2017-03-30 17:23:08,Chandresh Pancholi,3134439.0,0.0,
24,101609690.0,"GOSSIP-43 cleanup sockets, readme, and use lambdas",25.0,57.0,138.0,5.0,1.0,0.0,0.0,2017-01-15 21:02:13,2017-01-15 21:31:59,Edward Capriolo,1020364.0,1.0,2017-01-15 21:31:59
25,101995906.0,GOSSIP-42 Use normal or expo distributions,26.0,60.0,36.0,11.0,1.0,0.0,0.0,2017-01-18 04:00:10,2017-01-19 03:22:02,Edward Capriolo,1020364.0,1.0,2017-01-19 03:22:02
26,102498807.0,GOSSIP-44 Remove 4 byte header,27.0,118.0,156.0,7.0,2.0,0.0,3.0,2017-01-20 16:58:35,2017-02-14 03:42:52,Edward Capriolo,1020364.0,0.0,
27,103444503.0,GOSSIP-39 User Defined Active Gossip (review by Dorian Ellerbe),28.0,740.0,353.0,27.0,1.0,0.0,0.0,2017-01-27 06:34:58,2017-01-27 06:36:42,Edward Capriolo,1020364.0,1.0,2017-01-27 06:36:42
28,103625429.0,GOSSIP-36 Persist ring state,29.0,544.0,31.0,16.0,1.0,0.0,0.0,2017-01-28 21:33:01,2017-02-03 05:32:05,Edward Capriolo,1020364.0,1.0,2017-02-03 05:32:05
29,104606915.0,Update the downloads page for the 0.1.1-incubating release,30.0,48.0,24.0,2.0,1.0,2.0,0.0,2017-02-03 20:34:38,2017-02-03 21:45:58,Josh Elser,67863.0,0.0,
30,104928892.0,GOSSIP-48 user shutdown message,31.0,187.0,36.0,10.0,1.0,0.0,0.0,2017-02-07 03:11:20,2017-02-08 20:10:21,Edward Capriolo,1020364.0,1.0,2017-02-08 20:10:21
31,105324922.0,GOSSIP-52 use one object mapper application wide,32.0,41.0,49.0,6.0,1.0,0.0,0.0,2017-02-08 22:59:24,2017-02-12 02:38:21,Edward Capriolo,1020364.0,1.0,2017-02-12 02:38:21
32,105776654.0,Gossip 47,33.0,384.0,56.0,12.0,2.0,0.0,0.0,2017-02-12 02:35:12,2017-02-12 02:42:06,Edward Capriolo,1020364.0,1.0,2017-02-12 02:42:06
33,106486856.0,GOSSIP-56 GossipCore should allow registration of handlers,34.0,701.0,159.0,15.0,1.0,0.0,3.0,2017-02-16 09:41:11,2017-02-17 05:47:32,Maxim Rusak,823054.0,1.0,2017-02-17 05:47:32
34,107500370.0,GOSSIP-53 CRDT types,35.0,439.0,34.0,9.0,1.0,0.0,0.0,2017-02-22 21:18:58,2017-02-22 21:41:51,Edward Capriolo,1020364.0,1.0,2017-02-22 21:41:51
35,107971625.0,GOSSIP-59 OrSet implementation,36.0,551.0,22.0,9.0,1.0,0.0,2.0,2017-02-25 18:38:05,2017-02-26 18:57:08,Edward Capriolo,1020364.0,1.0,2017-02-26 18:57:08
36,108003672.0,GOSSIP-49 Refactor Failure detector Lambda into named class,37.0,150.0,88.0,5.0,1.0,0.0,4.0,2017-02-26 12:58:57,2017-03-16 19:31:50,Maxim Rusak,823054.0,1.0,2017-03-16 19:31:50
37,108258572.0,GOSSIP-71 not merging correctly,38.0,164.0,60.0,5.0,1.0,0.0,0.0,2017-02-28 04:55:20,2017-03-01 19:31:52,Edward Capriolo,1020364.0,1.0,2017-03-01 19:31:52
38,109325176.0,GOSSIP-72 Generate keys directory in target,39.0,15.0,3.0,2.0,1.0,3.0,0.0,2017-03-06 19:00:36,2017-03-10 12:40:17,Josh Elser,67863.0,1.0,2017-03-10 12:40:17
39,109364588.0,Gossip 46,40.0,549.0,698.0,48.0,2.0,0.0,0.0,2017-03-06 22:33:05,2017-03-10 12:29:15,Edward Capriolo,1020364.0,1.0,2017-03-10 12:29:15
40,109628667.0,[GOSSIP-63] added CRDT G-Counter implementation,41.0,263.0,17.0,5.0,2.0,1.0,11.0,2017-03-08 05:00:15,2017-03-09 08:30:23,Mirage Abeysekara,8376040.0,0.0,
41,109862490.0,GOSSIP-63 Added CRDT G-Counter implementation,42.0,254.0,3.0,5.0,1.0,0.0,0.0,2017-03-09 08:31:33,2017-03-10 16:31:50,Mirage Abeysekara,8376040.0,1.0,2017-03-10 16:31:50
42,111461444.0,GOSSIP-74 FailureDetector is calculating phi improperly,43.0,151.0,122.0,6.0,1.0,0.0,3.0,2017-03-19 18:24:51,2017-03-20 02:38:15,Maxim Rusak,823054.0,0.0,
43,111688521.0,GOSSIP-77 better send(),44.0,28.0,33.0,2.0,1.0,0.0,0.0,2017-03-21 02:04:47,2017-03-22 02:52:46,Edward Capriolo,1020364.0,1.0,2017-03-22 02:52:46
44,115757749.0,Refactor into a multi-module project,45.0,162.0,137.0,86.0,1.0,0.0,6.0,2017-04-13 13:33:56,2017-04-13 16:16:01,Gary Dusbabek,171875.0,1.0,2017-04-13 16:16:01
45,116134611.0,Sundry cleanups,46.0,201.0,241.0,16.0,1.0,0.0,0.0,2017-04-17 13:28:38,2017-04-18 01:36:39,Gary Dusbabek,171875.0,1.0,2017-04-18 01:36:39
46,116415134.0,GOSSIP-79 Isolate UDP and JSON code,47.0,614.0,291.0,18.0,1.0,3.0,18.0,2017-04-18 20:36:33,2017-04-21 13:59:24,Gary Dusbabek,171875.0,1.0,2017-04-21 13:59:24
47,116997493.0,GOSSIP-81 Move Jackson and UDP to their own modules,48.0,748.0,74.0,24.0,1.0,0.0,0.0,2017-04-21 14:28:16,2017-04-26 19:01:02,Gary Dusbabek,171875.0,1.0,2017-04-26 19:01:02
48,117952908.0,WIP,49.0,1019.0,905.0,49.0,3.0,1.0,0.0,2017-04-27 14:32:07,2017-04-27 14:32:26,Gary Dusbabek,171875.0,0.0,
49,118294746.0,GOSSIP-85 Factor out UDP server,50.0,156.0,132.0,22.0,1.0,4.0,5.0,2017-04-29 23:48:25,2017-05-06 15:51:52,Edward Capriolo,1020364.0,1.0,2017-05-06 15:51:52
50,123635095.0,GOSSIP-55 Pub sub on data objects,51.0,786.0,6.0,10.0,1.0,0.0,14.0,2017-06-02 03:26:19,2017-06-20 13:05:00,Mirage Abeysekara,8376040.0,1.0,2017-06-20 13:05:00
51,123968358.0,GOSSIP-86 Examples in separate module - Added Readme.,52.0,414.0,41.0,10.0,1.0,0.0,0.0,2017-06-05 12:32:27,2017-06-08 21:13:01,Terry Weymouth,634173.0,1.0,2017-06-08 21:13:01
52,125004652.0,GOSSIP-62 Implement Crdt PN-Counter,53.0,596.0,48.0,7.0,1.0,11.0,9.0,2017-06-10 21:13:47,2017-06-25 19:23:17,Terry Weymouth,634173.0,1.0,2017-06-25 19:23:16
53,126188887.0,GOSSIP-65 Implement crdt LWW-Element-Set,54.0,440.0,132.0,5.0,1.0,1.0,2.0,2017-06-18 13:30:19,2017-06-20 02:16:23,Maxim Rusak,823054.0,1.0,2017-06-20 02:16:23
54,126829695.0,GOSSIP-88 Data Replication Control,55.0,993.0,9.0,16.0,1.0,1.0,2.0,2017-06-21 18:25:02,2017-08-02 01:57:21,Mirage Abeysekara,8376040.0,1.0,2017-08-02 01:57:21
55,127121324.0,GOSSIP-64 Implement Max-Change-Sets,56.0,572.0,323.0,11.0,1.0,0.0,3.0,2017-06-23 02:00:32,2017-06-27 09:21:10,Maxim Rusak,823054.0,0.0,
56,127375470.0,GOSSIP-90 Call nanotime only once,57.0,12.0,4.0,3.0,1.0,1.0,0.0,2017-06-25 19:41:50,2017-08-11 02:49:19,Edward Capriolo,1020364.0,0.0,
57,127692591.0,GOSSIP-91 Random test failure in SharedDataEventTest,58.0,11.0,0.0,1.0,1.0,1.0,0.0,2017-06-27 13:21:39,2017-06-28 12:57:17,Mirage Abeysekara,8376040.0,1.0,2017-06-28 12:57:17
58,128309279.0,GOSSIP-66 Implement Crdt 2P-Set,59.0,248.0,8.0,9.0,1.0,1.0,0.0,2017-06-30 07:18:04,2017-07-17 22:58:21,Maxim Rusak,823054.0,1.0,2017-07-17 22:58:21
59,128520025.0,GOSSIP-92,60.0,17.0,0.0,1.0,1.0,0.0,0.0,2017-07-02 13:03:28,2017-07-06 00:36:38,Terry Weymouth,634173.0,1.0,2017-07-06 00:36:38
60,130270982.0,Refactor gossip examples; common code in base class.,61.0,402.0,259.0,7.0,1.0,0.0,0.0,2017-07-13 01:46:27,2017-07-18 12:19:35,Terry Weymouth,634173.0,0.0,
61,130702402.0,GOSSIP-75 Voting interface,62.0,1128.0,3.0,13.0,1.0,0.0,31.0,2017-07-15 03:56:43,2017-09-03 18:29:44,Mirage Abeysekara,8376040.0,1.0,2017-09-03 18:29:44
62,131010313.0,Merge pull request #1 from apache/master,63.0,0.0,0.0,0.0,1.0,1.0,0.0,2017-07-18 06:21:15,2017-07-18 06:21:43,Nuwan Silva,234736.0,0.0,
63,131073645.0,GOSSIP-89 - Refactor gossip examples; common code in base class.,64.0,402.0,259.0,7.0,1.0,0.0,0.0,2017-07-18 12:24:32,2017-08-02 01:59:06,Terry Weymouth,634173.0,1.0,2017-08-02 01:59:06
64,133928742.0,GOSSIP-87 Unused workQueue in gossipCore,65.0,6.0,10.0,2.0,2.0,3.0,0.0,2017-08-03 12:10:40,2017-08-09 01:20:59,Pooya Salehi,3340727.0,1.0,2017-08-09 01:20:59
65,136072812.0,GOSSIP-38 Multiple async GossipListeners,66.0,0.0,0.0,0.0,0.0,1.0,6.0,2017-08-16 16:51:08,2017-08-19 17:59:16,Pooya Salehi,3340727.0,0.0,
66,136623509.0,GOSSIP-38 Multiple async GossipListeners,67.0,57.0,15.0,7.0,1.0,1.0,0.0,2017-08-19 22:32:59,2017-08-23 02:56:17,Pooya Salehi,3340727.0,1.0,2017-08-23 02:56:17
67,136979722.0,GOSSIP-41 Transfer gossip data in bulk,68.0,469.0,75.0,17.0,1.0,3.0,11.0,2017-08-22 13:26:42,2017-09-03 18:42:56,Pooya Salehi,3340727.0,1.0,2017-09-03 18:42:56
