,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,45961390.0,Create README.md file,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2015-09-24 23:13:28,2015-10-05 23:25:34,Edward J. Yoon,189909.0,1.0,2015-10-05 23:25:34
1,48421187.0,HORN-3: Import initial source code from Hama ML package,2.0,6355.0,0.0,19.0,1.0,0.0,0.0,2015-10-22 06:17:45,2015-10-29 04:27:14,Edward J. Yoon,189909.0,1.0,2015-10-29 04:27:14
2,50590899.0,Horn 9,3.0,348.0,0.0,7.0,4.0,1.0,0.0,2015-11-13 00:49:19,2015-11-13 00:53:02,Edward J. Yoon,189909.0,0.0,
3,50592313.0,HORN-9: Add activations package and ReLU function,4.0,266.0,0.0,6.0,5.0,6.0,2.0,2015-11-13 01:08:49,2015-11-17 07:55:10,Edward J. Yoon,189909.0,0.0,
4,50914785.0,HORN-9: Add activations package and ReLU function,5.0,266.0,0.0,6.0,1.0,2.0,0.0,2015-11-17 07:59:05,2015-11-17 09:24:58,Edward J. Yoon,189909.0,0.0,
5,50916240.0,Update README.md,6.0,19.0,1.0,1.0,1.0,1.0,0.0,2015-11-17 08:19:58,2015-11-17 08:22:50,Edward J. Yoon,189909.0,1.0,2015-11-17 08:22:50
6,51195985.0,HORN-9: Add activations package and ReLU function,7.0,266.0,0.0,6.0,1.0,0.0,0.0,2015-11-19 09:03:50,2015-11-19 09:45:31,Edward J. Yoon,189909.0,1.0,2015-11-19 09:45:31
7,51565842.0,Quick fix from HORN-9,8.0,1.0,1.0,1.0,1.0,1.0,0.0,2015-11-23 19:08:58,2015-11-23 23:36:34,Zachary Jaffee,8882469.0,1.0,2015-11-23 23:36:34
8,57852807.0,HORN-8: Implementation of Parameter Server,9.0,183.0,121.0,3.0,3.0,1.0,0.0,2016-02-01 15:18:16,2016-02-02 23:59:12,Lee Dongjin,2375128.0,1.0,2016-02-02 23:59:12
9,65953299.0,Initial scratch of neuron-centric model,11.0,629.0,0.0,9.0,1.0,0.0,0.0,2016-04-11 07:59:31,2016-04-11 08:22:13,Edward J. Yoon,189909.0,1.0,2016-04-11 08:22:12
10,65955992.0,Remove some comparison info.,12.0,0.0,14.0,1.0,1.0,0.0,0.0,2016-04-11 08:25:32,2016-04-11 08:26:36,Edward J. Yoon,189909.0,1.0,2016-04-11 08:26:36
11,66803909.0,Fix async merger and add MLP example,13.0,633.0,261.0,18.0,1.0,0.0,0.0,2016-04-18 06:24:12,2016-04-18 23:19:16,Edward J. Yoon,189909.0,0.0,
12,67129095.0,HORN-12: Add neuron-centric model based MLP example,14.0,698.0,505.0,21.0,1.0,0.0,0.0,2016-04-20 05:06:29,2016-04-20 05:09:38,Edward J. Yoon,189909.0,1.0,2016-04-20 05:09:38
13,67154684.0,HAMA-13: Convert MNIST dataset into a sequence file,15.0,93.0,2.0,2.0,2.0,1.0,0.0,2016-04-20 09:28:53,2016-04-20 09:34:05,Edward J. Yoon,189909.0,0.0,
14,67157022.0,HORN-13: Convert MNIST dataset into a sequence file,16.0,155.0,6.0,5.0,1.0,0.0,0.0,2016-04-20 09:45:50,2016-04-21 04:57:28,Edward J. Yoon,189909.0,1.0,2016-04-21 04:57:28
15,67659278.0,Use hama-0.7.2-SNAPSHOT,17.0,20.0,18.0,10.0,1.0,0.0,0.0,2016-04-25 02:22:39,2016-04-25 02:31:16,Edward J. Yoon,189909.0,1.0,2016-04-25 02:31:16
