,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,33786724.0,[MRQL-70] Update Flink version to 0.8.1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-04-21 17:55:44,2015-04-21 18:48:46,Robert Metzger,89049.0,1.0,2015-04-21 18:48:46
1,33789836.0,[MRQL-69] Allow escaped quotes in JSON strings,2.0,5.0,1.0,1.0,1.0,0.0,0.0,2015-04-21 18:31:49,2015-04-22 15:43:35,Leonidas Fegaras,2326374.0,1.0,2015-04-22 15:43:35
2,33972504.0,[MRQL-71] Add google analytics tracking and bring the MRQL web site up-to-date,3.0,31.0,7.0,3.0,1.0,0.0,0.0,2015-04-23 16:26:06,2015-04-23 16:46:06,Leonidas Fegaras,2326374.0,1.0,2015-04-23 16:46:06
3,35985188.0,[MRQL-72] Add support for stream input on TCP sockets,4.0,208.0,1.0,12.0,1.0,0.0,0.0,2015-05-21 22:40:15,2015-05-21 22:44:32,Leonidas Fegaras,2326374.0,1.0,2015-05-21 22:44:32
4,36108613.0,[MRQL-73] Set the max number of tasks in Spark mode,5.0,17.0,12.0,2.0,1.0,0.0,0.0,2015-05-24 21:20:59,2015-05-24 21:23:47,Leonidas Fegaras,2326374.0,1.0,2015-05-24 21:23:47
5,39830694.0,[MRQL-74] Update Flink version to 0.9.0,6.0,32.0,6.0,4.0,1.0,2.0,0.0,2015-07-13 16:33:42,2015-07-14 13:26:15,Chiwan Park,1941681.0,0.0,
6,39914714.0,[MRQL-74] Update Flink version to 0.9.0,7.0,48.0,16.0,6.0,2.0,2.0,0.0,2015-07-14 13:22:40,2015-07-14 15:40:41,Leonidas Fegaras,2326374.0,1.0,2015-07-14 15:23:57
7,40784472.0,[MRQL-76] Change the mrql.flink shell script to work with Flink 0.9.0,8.0,6.0,4.0,1.0,1.0,0.0,0.0,2015-07-24 15:08:48,2015-07-24 16:08:18,Leonidas Fegaras,2326374.0,1.0,2015-07-24 16:08:18
8,40823319.0,[MRQL-77] Support single Flink jobs on YARN,9.0,60.0,35.0,3.0,1.0,0.0,0.0,2015-07-24 22:55:51,2015-07-25 01:01:44,Leonidas Fegaras,2326374.0,1.0,2015-07-25 01:01:44
9,40857102.0,[MRQL-78] Turn off Flink log INFO messages,10.0,8.0,6.0,3.0,1.0,0.0,0.0,2015-07-26 18:08:59,2015-07-26 21:48:34,Leonidas Fegaras,2326374.0,1.0,2015-07-26 21:48:34
10,49584479.0,[MRQL-79] Add support for incremental query processing,11.0,1674.0,109.0,29.0,1.0,1.0,0.0,2015-11-03 17:21:18,2015-11-06 20:19:07,Leonidas Fegaras,2326374.0,0.0,
11,51475472.0,[MRQL-80] Support Flink 0.10,12.0,42.0,35.0,8.0,2.0,3.0,0.0,2015-11-22 21:39:25,2015-11-29 03:11:27,Leonidas Fegaras,2326374.0,1.0,2015-11-29 03:11:27
12,58525479.0,[MRQL-81] Fix the coercion of persistent collections to in-memory bags,13.0,164.0,19.0,9.0,1.0,0.0,0.0,2016-02-06 17:42:47,2016-02-08 19:47:37,Leonidas Fegaras,2326374.0,1.0,2016-02-08 19:47:37
13,58531870.0,[MRQL-82] Fix the split size calculation in map-reduce mode,14.0,4.0,3.0,2.0,1.0,0.0,0.0,2016-02-06 22:13:52,2016-02-08 19:48:57,Leonidas Fegaras,2326374.0,1.0,2016-02-08 19:48:57
14,59278318.0,[MRQL-83] Make Hadoop 2.* (Yarn) the default and update pom files,15.0,39.0,25.0,9.0,1.0,0.0,0.0,2016-02-13 21:16:38,2016-02-15 15:02:38,Leonidas Fegaras,2326374.0,1.0,2016-02-15 15:02:38
15,60065808.0,[MRQL-84] Improve performance of Incremental MRQL,16.0,914.0,416.0,15.0,1.0,0.0,0.0,2016-02-21 00:14:26,2016-02-22 00:26:50,Leonidas Fegaras,2326374.0,1.0,2016-02-22 00:26:50
