,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,77399561.0,[NoJira]: Added git ignore options for IntelliJ,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2016-07-14 04:50:47,2016-07-15 14:17:31,Suneel Marthi,3137442.0,0.0,
1,77421482.0,[PIRK-2] Load Pallier's PRNG statically and from any provider.,2.0,15.0,28.0,1.0,1.0,4.0,0.0,2016-07-14 08:59:15,2016-07-17 15:41:13,Tim Ellison,621161.0,0.0,
2,77422998.0,[trivial] Ignore logs created at runtime.,3.0,3.0,0.0,1.0,1.0,1.0,0.0,2016-07-14 09:10:35,2016-07-15 13:37:27,Tim Ellison,621161.0,0.0,
3,77564496.0,PIRK-5 Adding initial .travis.yml configuration file.,4.0,17.0,0.0,1.0,1.0,0.0,0.0,2016-07-15 05:12:12,2016-07-15 13:24:08,Aldrin Piri,502889.0,0.0,
4,77736543.0,"PIRK-6 Adding Pirk Travis CI link, Adding How to Contribute Page",5.0,80644.0,3.0,395.0,2.0,0.0,0.0,2016-07-17 14:20:59,2016-07-17 15:27:55,Ellison Anne Williams,20464347.0,0.0,
5,77791951.0,[PIRK-9] Run Apache Rat checks as part of project POM verify,6.0,75.0,0.0,2.0,5.0,1.0,0.0,2016-07-18 11:16:17,2016-07-18 18:53:24,Tim Ellison,621161.0,0.0,
6,77797584.0,[PIRK-2] Enhance Pallier acquisition of PRNG provider.,7.0,25.0,8.0,2.0,3.0,3.0,0.0,2016-07-18 12:06:01,2016-07-19 12:20:11,Tim Ellison,621161.0,0.0,
7,77930000.0,[PIRK-9] Exclude Travis directives from RAT checks.,8.0,1.0,0.0,1.0,5.0,0.0,0.0,2016-07-19 07:33:49,2016-07-19 12:09:47,Tim Ellison,621161.0,0.0,
8,77940319.0,[WIP] XML schema for Pirk's Data and Query Schemas,9.0,92.0,0.0,2.0,4.0,3.0,0.0,2016-07-19 08:59:45,2016-07-21 08:07:44,Tim Ellison,621161.0,0.0,
9,77957007.0,[trivial] Minor code fixes,10.0,7.0,22.0,3.0,6.0,1.0,0.0,2016-07-19 11:05:26,2016-07-19 12:33:28,Tim Ellison,621161.0,0.0,
10,77958693.0,PIRK-8,11.0,61.0,8.0,3.0,1.0,0.0,0.0,2016-07-19 11:19:23,2016-07-19 19:41:31,,7196177.0,0.0,
11,78022193.0,Pirk 8 - SecureRandom Alg and Provider Options to QuerierDriverCLI ,12.0,37.0,2.0,1.0,2.0,1.0,0.0,2016-07-19 18:06:56,2016-07-19 21:30:51,Ellison Anne Williams,20464347.0,0.0,
12,78134889.0,[trivial] Enhancements to build XML and Paillier class.,13.0,17.0,38.0,3.0,2.0,1.0,0.0,2016-07-20 12:03:35,2016-07-20 23:09:20,Tim Ellison,621161.0,0.0,
13,78204864.0,[PIRK-12] Refactor EncryptQuery#encrypt(int),14.0,76.0,103.0,2.0,5.0,1.0,0.0,2016-07-20 19:28:17,2016-07-21 18:52:52,Tim Ellison,621161.0,0.0,
14,78226463.0,[PIRK-7] [WIP] Replace JMH with Google Caliper,15.0,51.0,94.0,3.0,2.0,2.0,0.0,2016-07-20 21:56:01,2016-07-23 14:06:45,Jacob Wilder,324406.0,0.0,
15,78240376.0,Replace multi if-else with switch stmts,16.0,218.0,276.0,1.0,1.0,1.0,0.0,2016-07-21 00:17:30,2016-07-21 02:05:27,Suneel Marthi,3137442.0,0.0,
16,78277275.0,[PIRK-16] Define XML schema definition files for Pirk's data and query schemas,17.0,105.0,4.0,4.0,2.0,4.0,0.0,2016-07-21 08:37:44,2016-07-21 19:22:11,Tim Ellison,621161.0,0.0,
