,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,66799243.0,Reordered the build sequences in Travis to reduce the total CI time.,1.0,8.0,4.0,1.0,1.0,0.0,0.0,2016-04-18 05:03:58,2016-04-19 16:46:09,zuyu,2245572.0,0.0,
1,67058147.0,QUICKSTEP-1: Add incubation disclaimer to README.md.,2.0,29.0,3.0,2.0,1.0,1.0,2.0,2016-04-19 17:31:31,2016-04-19 18:57:30,zuyu,2245572.0,0.0,
2,71812037.0,Added BlockLocator.,3.0,984.0,7.0,9.0,1.0,0.0,2.0,2016-05-28 21:25:50,2016-05-29 04:40:13,zuyu,2245572.0,1.0,2016-05-29 04:40:13
3,71819141.0,Added Async DataExchange Service.,4.0,787.0,8.0,10.0,1.0,0.0,0.0,2016-05-29 05:58:41,2016-05-29 06:59:13,zuyu,2245572.0,1.0,2016-05-29 06:59:13
4,71930825.0,DO NOT MERGE: CI w/ gRPC To Test the Distributed Version.,5.0,26.0,9.0,2.0,2.0,9.0,0.0,2016-05-30 19:05:42,2016-07-17 00:32:38,zuyu,2245572.0,0.0,
5,72071094.0,DO NOT MERGE: Minor Improvements in Storage (WIP).,6.0,719.0,756.0,18.0,1.0,4.0,7.0,2016-05-31 19:22:21,2016-06-23 20:56:44,zuyu,2245572.0,0.0,
6,72566260.0,Bug fixed in SimpleScalarSeparateChainingHashTable::isFull(),7.0,7.0,7.0,2.0,2.0,4.0,0.0,2016-06-03 20:36:26,2016-06-04 17:55:44,Harshad Deshmukh,3750801.0,1.0,2016-06-04 17:55:44
7,72773084.0,Added query id in all the operators and the workorders,8.0,430.0,152.0,53.0,12.0,8.0,2.0,2016-06-06 20:33:34,2016-06-07 17:25:42,Harshad Deshmukh,3750801.0,1.0,2016-06-07 17:25:42
8,73045582.0,DO NOT MERGE: Test an update to .travis.yml to get the clang coverage back.,9.0,11559.0,3181.0,205.0,54.0,1.0,0.0,2016-06-08 13:25:30,2016-06-09 03:17:20,Jignesh Patel,8864916.0,0.0,
9,73081318.0,Reorder query id parameter in various work order and operator constructors,10.0,745.0,669.0,46.0,1.0,3.0,7.0,2016-06-08 16:46:25,2016-06-08 21:01:29,Harshad Deshmukh,3750801.0,1.0,2016-06-08 21:01:28
10,73130894.0,Fix typos in CMakeLists.txt.,11.0,1.0,2.0,2.0,1.0,1.0,0.0,2016-06-08 22:24:35,2016-06-08 22:30:43,Navneet Potti,2507243.0,1.0,2016-06-08 22:30:43
11,73136627.0,Fix to clang problems in Travis,12.0,14.0,1.0,1.0,1.0,0.0,0.0,2016-06-08 23:20:45,2016-06-09 04:37:16,Navneet Potti,2507243.0,1.0,2016-06-09 04:37:16
12,73141632.0,Add option to build using shared libraries.,13.0,79.0,18.0,9.0,2.0,2.0,4.0,2016-06-09 00:20:05,2016-06-09 15:48:31,Navneet Potti,2507243.0,1.0,2016-06-09 15:48:31
13,73145604.0,QUICKSTEP-8: Long running Foreman thread,14.0,1064.0,2004.0,47.0,1.0,17.0,49.0,2016-06-09 01:19:23,2016-06-13 16:28:57,Harshad Deshmukh,3750801.0,1.0,2016-06-13 16:28:57
14,73147154.0,Disabled Clang Temporarily.,15.0,2.0,4.0,1.0,1.0,0.0,0.0,2016-06-09 01:45:15,2016-06-09 03:23:12,zuyu,2245572.0,0.0,
15,73154047.0,DO NOT MERGE: Use the pre-built libgflags in Travis.,16.0,1.0,0.0,1.0,1.0,0.0,0.0,2016-06-09 03:50:28,2016-06-09 03:53:16,zuyu,2245572.0,0.0,
16,73161346.0,QUICKSTEP-10: WorkOrder Serialization.,17.0,1151.0,29.0,41.0,1.0,3.0,0.0,2016-06-09 06:03:38,2016-06-10 17:18:45,zuyu,2245572.0,0.0,
17,73164615.0,Fix a potential segfault in CompressedBlockBuilder,18.0,3.0,0.0,1.0,1.0,1.0,0.0,2016-06-09 06:46:45,2016-06-09 12:56:57,Jianqiao Zhu,2695519.0,1.0,2016-06-09 12:56:57
18,73176442.0,Improve text scan operator,19.0,384.0,840.0,8.0,1.0,3.0,8.0,2016-06-09 08:44:28,2016-06-09 13:07:42,Jianqiao Zhu,2695519.0,1.0,2016-06-09 13:07:42
19,73239691.0,Change the vector elision from `none` to `selection`,20.0,390.0,843.0,10.0,10.0,8.0,0.0,2016-06-09 15:54:49,2016-06-10 17:36:59,Jignesh Patel,8864916.0,0.0,
20,73241675.0,Use shared libraries when building on Travis,21.0,1.0,0.0,1.0,8.0,1.0,0.0,2016-06-09 16:06:22,2016-06-09 20:27:36,Navneet Potti,2507243.0,0.0,
21,73245075.0,Add a shell script that logs the build process for later profiling,22.0,104.0,0.0,1.0,1.0,7.0,17.0,2016-06-09 16:28:09,2016-06-13 22:25:59,Navneet Potti,2507243.0,1.0,2016-06-13 22:25:59
