,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,5715048.0,Remove git submodule support by changing how Jasmine is pulled in.,1.0,13.0,6.0,7.0,1.0,0.0,0.0,2013-05-14 23:30:53,2013-05-21 19:21:18,Brent Lintner,93340.0,0.0,
1,5733666.0,"'bin/ripple' is executed with node, which does not support ""#"" comments.",2.0,18.0,18.0,1.0,1.0,0.0,0.0,2013-05-15 18:14:59,2013-05-16 20:46:57,Brent Lintner,93340.0,0.0,
2,5734753.0,ES5 option no longer needed in .jshintrc.,3.0,13.0,7.0,8.0,2.0,0.0,0.0,2013-05-15 18:56:21,2013-05-21 19:28:33,Brent Lintner,93340.0,0.0,
3,5754881.0,`jake test` fails when used with Node v0.10.6.,4.0,19.0,19.0,2.0,2.0,0.0,0.0,2013-05-16 15:02:54,2013-05-16 21:01:06,Brent Lintner,93340.0,0.0,
4,6013507.0,implemented confirm function in notification js,5.0,58.0,2.0,4.0,3.0,4.0,1.0,2013-05-30 09:33:47,2013-06-14 01:29:35,Mike Ebinum,231835.0,0.0,
5,6384128.0,RIPPLE-26 ,6.0,5.0,4.0,1.0,1.0,2.0,0.0,2013-06-18 11:25:33,2013-11-19 09:01:58,Ilya Buziuk,1461122.0,0.0,
6,6402541.0,Next: Spelling fixes,7.0,19.0,19.0,12.0,17.0,1.0,0.0,2013-06-18 23:12:45,2013-06-26 17:39:49,Josh Soref,2119212.0,0.0,
7,6459089.0,Added the ability to inject middleware into test server,8.0,13.0,3.0,1.0,1.0,4.0,1.0,2013-06-20 23:14:39,2014-11-16 19:58:08,Damon Oehlman,609693.0,0.0,
8,6541961.0,[Fix] RIPPLE-10,9.0,6.0,2.0,1.0,2.0,1.0,0.0,2013-06-25 19:42:58,2013-07-05 21:26:21,Brent Lintner,93340.0,0.0,
9,6544623.0,[Fix RIPPLE-27] The PATCH HTTP method is not supported by the XHR proxy.,10.0,7.0,3.0,2.0,3.0,1.0,0.0,2013-06-25 21:09:41,2013-07-05 21:32:50,Brent Lintner,93340.0,0.0,
