,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,11436226.0,Update of third party libraries,1.0,53774.0,15995.0,94.0,12.0,11.0,6.0,2014-01-12 18:10:58,2014-01-19 17:51:24,Andrew Kaplanov,1289591.0,0.0,
1,11542172.0,Fix WAVE-399 with Diff r2,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2014-01-15 16:43:08,2014-01-19 11:21:08,Pablo Ojanguren,4454927.0,0.0,
2,18578008.0,WaveEng,3.0,685.0,6.0,10.0,6.0,0.0,0.0,2014-07-18 10:23:34,2014-08-08 08:10:06,Jonathan Shar,205872.0,1.0,2014-08-08 08:10:06
3,20142320.0,Full text search by Solr,4.0,0.0,0.0,0.0,0.0,6.0,13.0,2014-08-21 22:26:04,2014-08-27 18:10:08,Yuri Z.,230802.0,1.0,2014-08-27 18:10:08
4,20157032.0,Wave 0.4 rc6,5.0,501.0,23.0,16.0,7.0,0.0,3.0,2014-08-22 07:42:21,2014-08-29 11:56:17,Yuri Z.,230802.0,1.0,2014-08-29 11:56:17
5,20224565.0,Fixes WAVE-413 - Windows Server can only offer connections to localhost.,6.0,2.0,7.0,1.0,1.0,2.0,0.0,2014-08-24 22:29:15,2014-08-24 22:51:33,Yuri Z.,230802.0,1.0,2014-08-24 22:51:33
6,33543913.0,How can I send and receive emails outside google wave?,7.0,21271.0,39006.0,3423.0,187.0,2.0,0.0,2015-04-17 13:28:47,2016-04-24 04:36:13,Heather Raffaella Riverso,8043598.0,0.0,
7,39945524.0,Updates version and CHANGES for new RC.,8.0,59.0,2.0,2.0,1.0,1.0,0.0,2015-07-14 18:17:26,2016-04-24 04:37:52,,13337070.0,0.0,
8,41394965.0,Feature/wave 426 add sbt,9.0,10636.0,6444.0,3206.0,3.0,1.0,0.0,2015-08-01 02:41:04,2015-12-04 13:21:24,Evan Hughes,8101389.0,0.0,
9,52667970.0,Feature/gradle,10.0,8896.0,72875.0,3397.0,21.0,26.0,0.0,2015-12-04 13:19:19,2015-12-16 15:23:06,Evan Hughes,8101389.0,1.0,2015-12-16 15:23:06
10,53845945.0,Changed solr version in build.xml from 4.9.1 to 4.10.4 ,11.0,3.0,3.0,1.0,1.0,5.0,0.0,2015-12-16 14:14:28,2016-02-25 16:35:36,Ian Dunlop,574325.0,0.0,
11,58008772.0,"Provide PST updates, examples and documentation",12.0,161.0,6.0,7.0,5.0,7.0,3.0,2016-02-02 16:11:00,2016-05-11 11:32:59,Andreas 'count' Kotes,545500.0,1.0,2016-05-11 11:32:59
12,67708006.0,Added a travis file,13.0,2.0,0.0,1.0,1.0,1.0,0.0,2016-04-25 12:03:01,2016-04-26 04:54:58,Evan Hughes,8101389.0,1.0,2016-04-26 04:54:58
13,69019941.0,Updates to use jetty 9.2.14,14.0,46.0,62.0,3.0,2.0,1.0,5.0,2016-05-05 15:06:16,2016-05-06 09:56:22,Yuri Z.,230802.0,1.0,2016-05-06 09:56:22
14,69138524.0,WAVE-438 - Removes XMPP federation implementation along with relevant…,15.0,16.0,5401.0,36.0,1.0,1.0,0.0,2016-05-06 11:31:06,2016-05-06 12:07:00,Yuri Z.,230802.0,1.0,2016-05-06 12:07:00
15,69212073.0,WAVE-439 - Changes source compatibility to Java1.8 and fixes weird is…,16.0,56.0,40.0,15.0,2.0,4.0,0.0,2016-05-06 21:20:28,2016-05-11 15:34:58,Yuri Z.,230802.0,1.0,2016-05-11 15:34:58
16,90514326.0,"Update xerces, gwt and guava dependencies",17.0,26.0,13.0,1.0,1.0,4.0,0.0,2016-10-23 12:47:38,2016-11-01 03:48:03,Pablo Ojanguren,4454927.0,1.0,2016-11-01 03:48:03
17,96706850.0,Fixes taken from SwellRT,18.0,135.0,59.0,6.0,3.0,1.0,0.0,2016-12-06 11:29:22,2016-12-20 06:43:12,Pablo Ojanguren,4454927.0,1.0,2016-12-20 06:43:12
18,99069800.0,Removal / Update of Dependencies and other QOL,19.0,316.0,821.0,167.0,22.0,3.0,7.0,2016-12-22 09:06:52,2017-04-24 14:12:11,Evan Hughes,8101389.0,0.0,
19,116059325.0,WAVE-440 - updates oauth jars version and adds Atlassian repo.,20.0,9.0,7.0,1.0,1.0,1.0,0.0,2017-04-16 13:46:44,2017-04-18 17:24:31,Yuri Z.,230802.0,1.0,2017-04-18 17:24:31
20,116140273.0,Remove atmosphere as websocket's provider,21.0,356.0,5907.0,179.0,18.0,3.0,6.0,2017-04-17 14:16:52,2017-04-20 07:42:07,Pablo Ojanguren,4454927.0,0.0,
21,116562039.0,Built a Helper program to automate some tasks for the maintainers.,22.0,230.0,0.0,6.0,2.0,7.0,0.0,2017-04-19 14:30:12,2017-04-24 15:13:01,Evan Hughes,8101389.0,0.0,
22,116709033.0,"Removing atmosphere, revert to plain websockets",23.0,52.0,5088.0,14.0,1.0,0.0,0.0,2017-04-20 07:43:55,2017-04-24 15:06:36,Pablo Ojanguren,4454927.0,0.0,
23,133093127.0,Make log-in page more friendly.,26.0,147.0,266.0,3.0,1.0,9.0,0.0,2017-07-29 13:41:53,2017-08-18 18:59:57,Peter Warrington,28735593.0,0.0,
