,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,55722473.0,S2GRAPH-24: Add counter config for readonly graph,1.0,11.0,6.0,5.0,1.0,3.0,0.0,2016-01-12 07:22:14,2016-01-13 10:29:13,Jaesang Kim,1726920.0,0.0,
1,55731975.0,[S2GRAPH-14] Abstract HBase specific methods in Management and Label.,2.0,225.0,242.0,13.0,5.0,6.0,0.0,2016-01-12 09:24:28,2016-01-15 08:14:39,Doyung Yoon,1264825.0,0.0,
2,55740758.0,[S2GRAPH-25] Support Secure HBase Cluster ,3.0,100.0,6.0,2.0,8.0,4.0,0.0,2016-01-12 10:44:52,2016-02-26 02:21:43,Doyung Yoon,1264825.0,0.0,
3,55866093.0,S2GRAPH-7 abstract common code,4.0,2433.0,2676.0,68.0,8.0,3.0,0.0,2016-01-13 08:15:34,2016-01-13 09:07:45,daewon,1182522.0,0.0,
4,55872815.0,[S2GRAPH-11] remove JsNumber.as[Double] on sortBy in PostProcess.,5.0,5.0,4.0,1.0,3.0,3.0,1.0,2016-01-13 09:32:21,2016-02-23 06:10:25,Doyung Yoon,1264825.0,0.0,
5,55873433.0,[S2GRAPH-16] Performance tunning on where parser,6.0,52.0,27.0,3.0,3.0,7.0,0.0,2016-01-13 09:38:25,2016-02-23 06:22:22,Doyung Yoon,1264825.0,0.0,
6,55879608.0,[S2GRAPH-21] Change PostProcessBenchmarkSpec not to store and fetch test data from storage,7.0,9.0,0.0,1.0,2.0,4.0,0.0,2016-01-13 10:35:55,2016-02-23 06:22:22,Doyung Yoon,1264825.0,0.0,
7,56009096.0,[S2GRAPH-9] Provide rest server using netty,8.0,352.0,442.0,13.0,13.0,6.0,1.0,2016-01-14 09:17:56,2016-01-18 10:10:45,daewon,1182522.0,0.0,
8,56124523.0,"[S2GRAPH-18] Query Option ""interval"" is Broken",9.0,1.0,2.0,1.0,1.0,3.0,0.0,2016-01-15 02:46:31,2016-02-23 06:43:49,daewon,1182522.0,0.0,
9,56438146.0,[S2GRAPH-2] README Update to Support REST API Refactoring,10.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-01-19 09:07:30,2016-01-25 04:37:00,,4621667.0,0.0,
