,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,28105304.0,SAMOA-7: Unnecessary Distance method in SilhoutteCoefficient.java,1.0,293.0,309.0,2.0,2.0,0.0,0.0,2015-01-27 12:42:57,2015-01-28 04:48:00,Suneel Marthi,3137442.0,0.0,
1,28106755.0,SAMOA-6 : code formatting,2.0,33921.0,33081.0,328.0,8.0,5.0,0.0,2015-01-27 13:06:21,2015-02-04 15:00:25,Matthieu Morel,702017.0,1.0,2015-02-04 15:00:25
2,28168348.0,SAMOA-7: Unnecessary Distance method in SilhoutteCoefficient.java,3.0,84.0,92.0,1.0,1.0,1.0,0.0,2015-01-28 04:51:49,2015-03-07 04:38:35,Suneel Marthi,3137442.0,0.0,
3,28168426.0,SAMOA-11: Incorrect String comparison in Clustering.java,4.0,209.0,217.0,1.0,1.0,6.0,0.0,2015-01-28 04:54:23,2015-03-07 04:38:32,Suneel Marthi,3137442.0,0.0,
4,28463238.0,SAMOA-4: Specify target JDK for Travis CI build,5.0,3.0,0.0,1.0,1.0,2.0,0.0,2015-02-02 12:06:34,2015-03-06 14:30:15,Gianmarco De Francisci Morales,703859.0,0.0,
5,28489040.0,"SAMOA-13: Update ""How to contribute"" guidelines",6.0,64.0,8.0,1.0,1.0,4.0,6.0,2015-02-02 18:02:24,2015-04-07 08:22:43,Matthieu Morel,702017.0,0.0,
6,28735980.0,SAMOA-5: Bylaws for the project,7.0,101.0,0.0,1.0,3.0,0.0,0.0,2015-02-05 16:00:40,2015-02-18 15:58:14,Gianmarco De Francisci Morales,703859.0,0.0,
7,28879543.0,SAMOA-15: Add instructions for mailing lists subscription,8.0,26.0,19.0,1.0,1.0,0.0,0.0,2015-02-08 12:20:12,2015-03-06 15:03:08,Gianmarco De Francisci Morales,703859.0,0.0,
8,29146132.0,SAMOA-3: Add documentation and update the website,9.0,11307.0,117.0,64.0,1.0,4.0,0.0,2015-02-12 01:41:10,2015-02-22 13:35:07,Albert Bifet,4201874.0,0.0,
9,29918713.0,SAMOA-19: Update info in pom.xml,10.0,488.0,628.0,323.0,7.0,1.0,0.0,2015-02-24 17:38:46,2015-03-30 08:09:30,Gianmarco De Francisci Morales,703859.0,0.0,
10,30277542.0,SAMOA-16: Add an adapter for Apache Flink-Streaming,11.0,1303.0,2.0,15.0,26.0,40.0,12.0,2015-03-02 11:55:29,2015-06-03 15:15:38,Paris Carbone,858078.0,0.0,
11,30434771.0,SAMOA-17: Update info in README.md in master branch,12.0,35.0,34.0,1.0,3.0,3.0,1.0,2015-03-04 03:03:23,2015-03-17 06:00:56,Albert Bifet,4201874.0,0.0,
12,30435475.0,SAMOA-18 Update website with new citation for SAMOA,13.0,2.0,2.0,1.0,1.0,1.0,0.0,2015-03-04 03:22:15,2015-03-13 05:33:26,Albert Bifet,4201874.0,0.0,
13,30653102.0,SAMOA-20: Ignore gh-pages branch in Travis-CI build,14.0,4.0,0.0,1.0,1.0,1.0,0.0,2015-03-06 15:30:22,2015-03-30 08:19:14,Gianmarco De Francisci Morales,703859.0,0.0,
14,30697379.0,SAMOA-7: Unnecessary distance method in SilhouetteCoefficient.java,15.0,3.0,11.0,1.0,1.0,5.0,1.0,2015-03-07 04:46:33,2015-04-04 07:44:28,Suneel Marthi,3137442.0,0.0,
15,30697767.0,SAMOA-11: Incorrect String comparison in Clustering.java,16.0,49.0,50.0,1.0,1.0,3.0,0.0,2015-03-07 05:21:05,2015-04-04 07:49:34,Suneel Marthi,3137442.0,0.0,
16,30733641.0,SAMOA-21: Fix dev subscriptions email addresses,17.0,2.0,2.0,1.0,1.0,2.0,0.0,2015-03-09 03:10:45,2015-04-03 11:30:27,Arinto Murdopo,1780348.0,0.0,
17,32937839.0,SAMOA-22: Remove outdated CLA files,18.0,0.0,32.0,2.0,1.0,1.0,0.0,2015-04-09 09:16:03,2015-04-10 12:54:20,Gianmarco De Francisci Morales,703859.0,0.0,
18,33029281.0,SAMOA-24: Add instructions and references for Samza to the website,19.0,231.0,233.0,1.0,1.0,1.0,0.0,2015-04-10 09:03:15,2015-04-10 12:32:35,Gianmarco De Francisci Morales,703859.0,0.0,
19,33040650.0,SAMOA-23: Add link to Confluence wiki to the website,20.0,1135.0,242.0,9.0,2.0,0.0,0.0,2015-04-10 12:01:52,2015-04-10 12:26:06,Gianmarco De Francisci Morales,703859.0,0.0,
20,33043667.0,SAMOA-23: Add link to Confluence wiki to the website,21.0,907.0,20.0,9.0,2.0,1.0,0.0,2015-04-10 12:50:02,2015-04-29 07:10:22,Gianmarco De Francisci Morales,703859.0,0.0,
21,33047099.0,SAMOA-25: Simplify mailing list subscription instructions,22.0,10.0,17.0,1.0,1.0,2.0,0.0,2015-04-10 13:37:12,2015-04-29 07:08:25,Gianmarco De Francisci Morales,703859.0,0.0,
22,34172101.0,modify the ArffLoader bug in processing,23.0,4.0,3.0,1.0,1.0,0.0,0.0,2015-04-27 14:09:23,2015-04-27 14:25:10,Baoyuan Qi,1243428.0,0.0,
23,34174307.0,Fix the ArffLoader bug in processing,24.0,211.0,70.0,4.0,4.0,10.0,0.0,2015-04-27 14:32:14,2015-05-15 07:48:51,Baoyuan Qi,1243428.0,0.0,
24,34647019.0,SAMOA-27: Storm upgrade to the latest stable version (0.9.4),25.0,7.0,9.0,4.0,2.0,5.0,0.0,2015-05-04 15:30:47,2015-05-15 07:31:49,Giacomo Berardi,497264.0,0.0,
25,37622363.0,SAMOA-9: Change namespace to apache.org,26.0,1555.0,1479.0,341.0,1.0,1.0,0.0,2015-06-13 09:42:51,2015-06-18 15:17:10,Gianmarco De Francisci Morales,703859.0,0.0,
26,38007025.0,SAMOA-34: Make ensemble methods work with all Learners,27.0,129.0,178.0,8.0,5.0,3.0,0.0,2015-06-18 13:36:11,2015-07-01 10:34:14,Gianmarco De Francisci Morales,703859.0,0.0,
27,38643573.0,SAMOA-36: Update Apache Flink Adapter to 0.9 stable release,28.0,32.0,33.0,4.0,1.0,6.0,0.0,2015-06-26 12:17:00,2015-07-01 07:52:40,Paris Carbone,858078.0,1.0,2015-07-01 07:52:40
28,38729180.0,Update CONTRIBUTING.md,29.0,1.0,0.0,1.0,1.0,2.0,0.0,2015-06-28 17:55:14,2015-06-29 10:57:32,Gyula Fora,5880972.0,1.0,2015-06-29 10:57:32
29,38761239.0,SAMOA-37: Prepare for 0.3.0-incubating release,30.0,121.0,64.0,16.0,8.0,2.0,0.0,2015-06-29 10:43:45,2015-07-01 10:58:05,Gianmarco De Francisci Morales,703859.0,0.0,
30,39246553.0,SAMOA-38: Fix issues with version 0.3.0-incubating-RC0,31.0,137.0,57.0,35.0,9.0,1.0,0.0,2015-07-06 08:44:21,2015-07-06 11:49:37,Gianmarco De Francisci Morales,703859.0,1.0,2015-07-06 11:49:37
31,40449466.0,SAMOA-41: Update website after release 0.3.0-incubating,33.0,232353.0,6.0,1629.0,2.0,1.0,0.0,2015-07-21 12:02:34,2015-07-27 07:20:21,Gianmarco De Francisci Morales,703859.0,1.0,2015-07-27 07:20:21
32,41436600.0,SAMOA-29: Remove hardcoded value for the duration of Storm local topology execution,34.0,39.0,3.0,5.0,2.0,11.0,0.0,2015-08-03 05:48:39,2015-08-17 10:51:37,Jay,8298193.0,1.0,2015-08-17 10:51:37
33,43002754.0,SAMOA-43: Add TextReader,35.0,0.0,0.0,0.0,0.0,1.0,0.0,2015-08-21 04:14:08,2016-03-15 20:41:11,Albert Bifet,4201874.0,1.0,2016-03-15 20:41:11
34,43011719.0,SAMOA-35: Add Sharding ensemble method,36.0,304.0,2.0,3.0,1.0,2.0,0.0,2015-08-21 07:42:21,2017-07-04 12:40:26,Gianmarco De Francisci Morales,703859.0,1.0,2017-07-04 12:40:26
35,45163962.0,SAMOA-45: Developer's Guide is not reachable,37.0,3.0,1.0,3.0,2.0,0.0,0.0,2015-09-16 12:17:57,2015-09-17 16:00:36,Gianmarco De Francisci Morales,703859.0,1.0,2015-09-17 16:00:36
