,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,59579760.0,Develop,1.0,548.0,321.0,14.0,7.0,0.0,0.0,2016-02-17 00:44:47,2016-02-17 00:45:05,,14087039.0,0.0,
1,59847458.0,Fix compile error on Linux,2.0,87177.0,2375.0,245.0,42.0,1.0,0.0,2016-02-18 19:08:46,2016-02-19 22:52:21,Gordon Chaffee,5932655.0,0.0,
2,59847491.0,Make constants consistent between newt and larva repos,3.0,87180.0,2378.0,246.0,42.0,1.0,0.0,2016-02-18 19:09:02,2016-02-19 22:52:07,Gordon Chaffee,5932655.0,0.0,
3,60019353.0,Fix compile error on Linux,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-02-19 22:51:23,2016-03-04 00:39:52,Gordon Chaffee,5932655.0,0.0,
4,60021496.0,Make constants consistent between newt and larva repos,5.0,4.0,4.0,2.0,1.0,0.0,0.0,2016-02-19 23:13:34,2016-03-04 00:39:52,Gordon Chaffee,5932655.0,0.0,
5,60162917.0,Newtmgr logs show,6.0,269.0,39.0,8.0,4.0,3.0,0.0,2016-02-22 12:01:28,2016-03-04 00:39:52,Gordon Chaffee,5932655.0,0.0,
6,60610057.0,Mynewt 9,7.0,124339.0,80.0,281.0,31.0,3.0,0.0,2016-02-25 01:28:40,2016-02-27 01:26:29,,13756024.0,1.0,2016-02-27 01:26:29
7,61518534.0,MYNEWT-4: Need the concept of wallclock time,8.0,674.0,0.0,8.0,2.0,10.0,0.0,2016-03-03 07:03:53,2016-03-04 00:39:52,,15787277.0,0.0,
8,61653144.0,Mynewt 230,9.0,21.0,25.0,5.0,2.0,1.0,0.0,2016-03-04 01:13:38,2016-03-04 22:56:50,,13756024.0,0.0,
9,61784316.0,MYNEWT-230,10.0,2.0,2.0,1.0,1.0,1.0,0.0,2016-03-04 22:58:48,2016-03-04 23:08:37,,13756024.0,1.0,2016-03-04 23:08:37
10,61797616.0,Support building 'sim' with optimization levels higher than -O0,11.0,115.0,51.0,5.0,6.0,2.0,0.0,2016-03-05 02:30:18,2016-03-07 06:35:36,,15787277.0,0.0,
11,62012372.0,Use sigsetjmp/siglongjmp since they are portable across OS X and Linux.,12.0,9.0,6.0,2.0,2.0,0.0,0.0,2016-03-08 01:47:42,2016-03-08 22:22:36,,15787277.0,0.0,
12,62012571.0,Restructure signal handling logic in 'sim' to make it similar to interrupts on  real hardware.,13.0,144.0,150.0,8.0,2.0,0.0,0.0,2016-03-08 01:50:15,2016-03-08 22:22:36,,15787277.0,0.0,
13,62012867.0,Get rid of 'os_arch_ctx_sw_isr()',14.0,156.0,202.0,16.0,3.0,0.0,0.0,2016-03-08 01:53:48,2016-03-08 22:22:36,,15787277.0,0.0,
14,62153490.0,a library to control the HC-SR04 ultrasonic distance sensor,15.0,166.0,0.0,3.0,1.0,4.0,0.0,2016-03-08 23:12:49,2016-03-22 21:06:54,,13756024.0,0.0,
15,62507975.0,Fix building and running 'sim' on Linux,16.0,55.0,10.0,5.0,5.0,5.0,0.0,2016-03-11 07:45:06,2016-03-19 01:10:46,,15787277.0,0.0,
16,62582889.0,Mynewt-210,17.0,285.0,0.0,6.0,4.0,0.0,0.0,2016-03-11 18:27:13,2016-03-18 19:44:59,,13756024.0,1.0,2016-03-18 19:44:59
17,62619176.0,added a simulated LED blink for blinky native,18.0,3.0,1.0,1.0,1.0,0.0,0.0,2016-03-11 23:42:27,2016-03-18 19:12:31,,13756024.0,1.0,2016-03-18 19:12:31
18,62626982.0,Remove sanity assertion from os_arch_idle().,19.0,0.0,2.0,1.0,1.0,0.0,0.0,2016-03-12 01:53:48,2016-03-18 19:41:39,,15787277.0,1.0,2016-03-18 19:41:39
19,63786020.0,Haladc,20.0,403.0,0.0,7.0,2.0,0.0,0.0,2016-03-22 20:19:52,2016-03-22 20:22:37,,13756024.0,0.0,
20,63788142.0,first draft of the HAL ADC driver with sim support,21.0,458.0,0.0,7.0,2.0,0.0,0.0,2016-03-22 20:34:17,2016-03-28 21:26:13,,13756024.0,0.0,
21,63811629.0,Hal pwm,22.0,433.0,0.0,9.0,3.0,2.0,0.0,2016-03-22 23:48:31,2016-03-30 20:38:47,,13756024.0,0.0,
22,64081054.0,an altnerate version for the HAL API for ADC to review with folks.,23.0,436.0,0.0,7.0,1.0,0.0,0.0,2016-03-24 18:49:54,2016-03-28 21:26:04,,13756024.0,0.0,
23,64210013.0,third approach to mynewt HAL.,24.0,263.0,1.0,4.0,1.0,0.0,0.0,2016-03-25 21:32:44,2016-03-28 21:25:54,,13756024.0,0.0,
24,64220336.0,"After reviews of the three hal ADC prototypes, this is what I think i…",25.0,747.0,1.0,13.0,3.0,1.0,7.0,2016-03-25 23:51:46,2016-03-29 14:48:02,,13756024.0,1.0,2016-03-29 14:48:02
25,64690656.0,MYNEWT-275,26.0,15.0,10.0,1.0,1.0,0.0,0.0,2016-03-30 20:22:32,2016-03-30 23:21:07,,13756024.0,1.0,2016-03-30 23:21:07
26,64693472.0,Hal pwm final,27.0,476.0,1.0,8.0,2.0,0.0,0.0,2016-03-30 20:41:19,2016-03-30 23:18:27,,13756024.0,1.0,2016-03-30 23:18:27
27,64717423.0,a hal_dac (Digital To Analog Conversion) API for HAL.,28.0,408.0,14.0,7.0,1.0,0.0,0.0,2016-03-31 00:13:18,2016-03-31 00:28:07,,13756024.0,1.0,2016-03-31 00:28:07
28,64728649.0,No ticket - fixing slinky(moving baselibc to bsps),29.0,13.0,12.0,12.0,1.0,0.0,0.0,2016-03-31 03:05:32,2016-03-31 14:06:07,Vipul Rahane,7097467.0,1.0,2016-03-31 14:06:07
29,65017546.0,correction of the the failure of the lib/json test.,30.0,2.0,2.0,1.0,1.0,1.0,0.0,2016-04-01 23:19:04,2016-04-08 18:29:36,,12595580.0,0.0,
30,65020654.0,Patch feature1,31.0,77.0,17.0,3.0,14.0,0.0,0.0,2016-04-02 00:08:11,2016-04-08 18:30:00,,12595580.0,0.0,
31,65406152.0,Develop,32.0,5.0,1.0,3.0,3.0,0.0,0.0,2016-04-06 03:44:15,2016-04-06 19:15:51,Vipul Rahane,7097467.0,1.0,2016-04-06 19:15:51
32,65549634.0,Changing has_objects to wr_commas and fixing it,33.0,438.0,388.0,10.0,6.0,0.0,0.0,2016-04-06 22:56:19,2016-04-08 18:14:18,Vipul Rahane,7097467.0,1.0,2016-04-08 18:14:18
33,65697571.0,Implement tickless mode during idle for nRF51 and nRF52 microcontrollers,34.0,689.0,226.0,25.0,27.0,0.0,2.0,2016-04-07 20:51:17,2016-04-11 21:25:43,,15787277.0,1.0,2016-04-11 21:25:43
34,65823788.0,modified the hal_pwm API to support the comments from the code review,35.0,46.0,95.0,4.0,1.0,0.0,0.0,2016-04-08 17:59:30,2016-04-12 20:35:01,,13756024.0,1.0,2016-04-12 20:35:01
35,65830504.0,these were probably accidentally added and seem to cause a crash on,36.0,0.0,3.0,1.0,1.0,0.0,0.0,2016-04-08 18:50:08,2016-04-12 17:03:01,,13756024.0,1.0,2016-04-12 17:03:01
36,65844133.0,MYNEWT-282,37.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-04-08 20:39:04,2016-04-12 17:08:11,,13756024.0,1.0,2016-04-12 17:08:11
37,65951028.0,Adding string date get and set command handler,38.0,121.0,38.0,3.0,1.0,0.0,0.0,2016-04-11 07:36:54,2016-04-12 02:34:25,Vipul Rahane,7097467.0,1.0,2016-04-12 02:34:25
38,66212979.0,added a disable API for hal_dac,39.0,30.0,14.0,3.0,1.0,0.0,0.0,2016-04-12 19:22:33,2016-04-12 20:35:01,,13756024.0,1.0,2016-04-12 20:35:01
39,66377371.0,Log changes,40.0,110.0,45.0,8.0,1.0,1.0,10.0,2016-04-13 19:27:55,2016-04-14 00:34:36,Vipul Rahane,7097467.0,0.0,
40,66413598.0,Log changes,41.0,109.0,45.0,8.0,1.0,0.0,2.0,2016-04-14 00:37:12,2016-04-14 00:51:35,Vipul Rahane,7097467.0,0.0,
41,66414808.0,Log changes,42.0,108.0,45.0,8.0,1.0,0.0,0.0,2016-04-14 00:54:17,2016-04-14 01:37:09,Vipul Rahane,7097467.0,1.0,2016-04-14 01:37:09
42,66516565.0,this is a simple blocking SPI interface.,43.0,194.0,0.0,3.0,1.0,0.0,0.0,2016-04-14 16:43:42,2016-04-14 21:38:06,,13756024.0,1.0,2016-04-14 21:38:06
43,67068141.0,I2C interface supporting blocking read and write,44.0,221.0,0.0,3.0,1.0,1.0,0.0,2016-04-19 18:39:12,2016-04-20 03:49:57,,13756024.0,0.0,
44,67116042.0,Don't do anything in signal handlers when process is blocked in 'sigsuspend()'.,45.0,56.0,16.0,1.0,3.0,0.0,0.0,2016-04-20 01:31:20,2016-04-20 04:19:28,,15787277.0,1.0,2016-04-20 04:19:28
45,68624169.0,Develop,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-05-02 21:25:18,2016-05-18 19:53:39,,13756024.0,0.0,
46,69222224.0,this is the task given in the mail thread,47.0,0.0,0.0,0.0,0.0,0.0,2.0,2016-05-06 23:07:26,2016-05-12 01:05:31,,12595580.0,0.0,
47,69550620.0,Patches for exposing HCI over UART,48.0,1974.0,0.0,17.0,2.0,1.0,0.0,2016-05-10 18:02:08,2016-05-11 01:13:28,Johan Hedberg,1032570.0,1.0,2016-05-11 01:13:28
48,69698415.0,Develop,49.0,9105.0,2412.0,146.0,67.0,8.0,0.0,2016-05-11 16:03:38,2016-05-16 14:43:22,Vitya Gnatyuk,5648478.0,0.0,
49,69773597.0,Json test,50.0,4602.0,990.0,123.0,47.0,0.0,0.0,2016-05-12 03:09:14,2016-05-24 21:34:21,,12595580.0,0.0,
50,69776141.0,Json test,51.0,55.0,1.0,1.0,1.0,0.0,0.0,2016-05-12 03:52:15,2016-05-24 21:35:25,,12595580.0,0.0,
