,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,72568883.0,This is just a test,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2016-06-03 20:57:08,2016-06-03 21:24:41,Francisco Perez-Sorrosal,918006.0,0.0,
1,76046825.0,[OMID-46] Fix installation instructions in Omid Website,2.0,3.0,1.0,1.0,1.0,0.0,0.0,2016-07-01 23:08:18,2016-07-01 23:14:06,Francisco Perez-Sorrosal,918006.0,0.0,
2,80401551.0,OMID-50: Provide an option to reduce tso-server CPU usage,3.0,103.0,36.0,14.0,2.0,1.0,10.0,2016-08-08 06:49:03,2016-08-10 05:53:26,,1179161.0,0.0,
3,80402173.0,OMID-51: Glitch in omid.sh,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2016-08-08 06:55:52,2016-08-09 03:39:43,,1179161.0,0.0,
4,80847808.0,[OMID-11] [OMID-48] Fix travis.yml to build apache incubator-omid,5.0,12.0,44.0,2.0,1.0,0.0,0.0,2016-08-10 18:55:28,2016-08-11 05:27:07,Francisco Perez-Sorrosal,918006.0,0.0,
5,108889083.0,[OMID-62] Use interface instead of TSOClient in AbstractTransactionMa…,9.0,57.0,20.0,5.0,1.0,0.0,0.0,2017-03-03 01:27:11,2018-06-10 09:00:15,Francisco Perez-Sorrosal,918006.0,0.0,
6,109030174.0,[OMID-64] Fix location of protobuf tgz in travis config,10.0,1.0,1.0,1.0,1.0,0.0,0.0,2017-03-03 18:37:55,2017-03-07 22:25:26,Francisco Perez-Sorrosal,918006.0,1.0,2017-03-07 22:25:26
7,113092878.0,"[OMID-65] Add a constructor that takes a Properties (via its parent-interface of Map<?, ?>) for properties to be used.",11.0,32.0,9.0,2.0,2.0,0.0,0.0,2017-03-29 00:04:39,2018-06-10 09:00:57,Sheridan C Rawlins,245840.0,0.0,
8,131566102.0,[OMID-73] A checkpoint is a point in a transaction where every write …,12.0,494.0,53.0,19.0,5.0,0.0,8.0,2017-07-20 14:19:00,2017-08-06 10:51:50,Ohad Shacham,7221711.0,0.0,
9,132746178.0,[OMID-74] Efficient column family deletion in Row level conflict analysis,13.0,160.0,39.0,6.0,3.0,0.0,11.0,2017-07-27 13:17:35,2017-08-06 10:51:39,Ohad Shacham,7221711.0,0.0,
10,135213352.0,[OMID-67] Avoid Kerberos logging multiple times,14.0,21.0,4.0,1.0,1.0,0.0,0.0,2017-08-10 20:17:24,2017-08-10 20:43:10,Francisco Perez-Sorrosal,918006.0,1.0,2017-08-10 20:43:10
