,pr_id,pr_title,pr_number,additions,deletions,pr_changed_files,pr_commits_count,pr_comments_count,pr_review_comments_count,pr_created_at,pr_closed_at,contributor,contributor_id,is_merged,pr_merged_at
0,83874313.0,"TEPHRA-176 TEPHRA-177 : Adding maven modules for CDH-5.7 support, HBase-1.1 and HBase-1.2 mod…",1.0,564.0,24.0,21.0,1.0,0.0,0.0,2016-09-02 22:47:32,2016-09-08 08:10:14,Shankar,1328150.0,0.0,
1,83880526.0,TEPHRA-179 Create a new instance of TransactionManager upon failover,2.0,101.0,40.0,6.0,1.0,1.0,4.0,2016-09-03 00:42:09,2016-09-07 23:37:40,Ali Anwar,2440977.0,0.0,
2,84219291.0,Add logback-test.xml to reduce test output,3.0,285.0,13.0,16.0,3.0,1.0,2.0,2016-09-07 00:32:09,2016-09-07 20:00:01,,3181212.0,0.0,
3,84385764.0,"TEPHRA-176 TEPHRA-177 : Adding maven modules for CDH-5.7 support, HBase-1.1 and HBase-1.2 modules.",4.0,1358.0,117.0,28.0,1.0,5.0,12.0,2016-09-07 22:34:03,2016-09-08 08:10:14,sagarkapare,5713570.0,0.0,
4,84557528.0,Fix flaky tests: ThriftTransactionServerTest#testThriftServerRestart and PooledClientProviderTest,5.0,34.0,7.0,2.0,2.0,1.0,0.0,2016-09-08 21:30:05,2016-09-09 05:09:22,Ali Anwar,2440977.0,0.0,
5,84581753.0,Prefer IPv4 stack while running tests to avoid HBase 1.0 startup falures in dual-stack nodes,6.0,1.0,1.0,1.0,1.0,1.0,0.0,2016-09-09 01:45:09,2016-09-09 02:19:11,,3181212.0,0.0,
6,84589676.0,Make TransactionManager Singleton for in-memory and local bindings.,7.0,6.0,12.0,2.0,1.0,1.0,0.0,2016-09-09 03:45:44,2016-09-09 04:42:24,Ali Anwar,2440977.0,0.0,
7,84603551.0,Fix flaky test (PooledClientProviderTest),8.0,22.0,22.0,1.0,1.0,1.0,3.0,2016-09-09 07:08:51,2016-09-09 07:55:42,Ali Anwar,2440977.0,0.0,
8,84620615.0,Wait for Transaction Service to announce itself to fix flaky tests,9.0,232.0,27.0,8.0,2.0,1.0,4.0,2016-09-09 09:32:55,2016-09-09 19:03:11,,3181212.0,0.0,
9,84971877.0,Add methods to help testing Transaction Manager,11.0,15.0,0.0,2.0,1.0,1.0,0.0,2016-09-13 01:28:05,2016-09-13 01:54:57,,3181212.0,0.0,
10,86089092.0,(Tephra-183) Remove unused constants,12.0,0.0,12.0,1.0,1.0,1.0,0.0,2016-09-21 02:41:48,2016-09-21 02:42:54,Sevada Abraamyan,5263456.0,0.0,
11,86089456.0,(Tephra-184) Remove unused constants,13.0,0.0,12.0,1.0,1.0,1.0,0.0,2016-09-21 02:46:44,2016-09-21 22:55:37,Sevada Abraamyan,5263456.0,0.0,
12,86266908.0,(TEPHRA-185) Add a way to pass a custom timeout to TransactionContext,14.0,31.0,0.0,1.0,1.0,1.0,8.0,2016-09-22 01:11:27,2016-09-22 02:10:20,Andreas Neumann,483004.0,0.0,
13,86798621.0,TEPHRA-186 Prefix shell variables and functions,15.0,49.0,49.0,2.0,1.0,0.0,0.0,2016-09-26 18:56:27,2021-05-05 20:51:40,Chris Gianelloni,380021.0,0.0,
14,87362553.0,TEPHRA-187 Support --foreground argument for foreground operation,16.0,16.0,23.0,1.0,1.0,0.0,0.0,2016-09-29 17:59:20,2021-05-05 20:50:59,Chris Gianelloni,380021.0,0.0,
15,88351842.0,(TEPHRA-188) Allow to configure a limit for the transaction timeout,17.0,32.0,1.0,5.0,1.0,2.0,2.0,2016-10-06 22:21:11,2016-10-07 18:05:23,Andreas Neumann,483004.0,0.0,
16,90113036.0,[TEPHRA-194] Make startShort() throw IllegalArgumentException …,18.0,1656.0,82.0,21.0,1.0,3.0,12.0,2016-10-20 00:06:57,2016-10-21 06:51:58,Andreas Neumann,483004.0,0.0,
17,92075562.0,TEPHRA-35 Save compaction state for pruning invalid list,19.0,578.0,66.0,11.0,3.0,4.0,9.0,2016-11-02 23:34:31,2016-11-09 01:32:36,,3181212.0,0.0,
18,94730391.0,Compute global prune upper bound using compaction state of every region,20.0,1356.0,222.0,10.0,1.0,5.0,42.0,2016-11-22 01:16:11,2016-12-05 05:29:20,,3181212.0,0.0,
19,96460384.0,TEPHRA-202 Bump up twill.version to 0.8.0,21.0,2.0,12.0,2.0,1.0,1.0,0.0,2016-12-05 02:28:36,2016-12-05 22:20:01,Gokul,558459.0,0.0,
20,96810994.0,Transaction pruning service,22.0,792.0,31.0,16.0,2.0,2.0,16.0,2016-12-06 21:38:11,2016-12-28 10:38:40,,3181212.0,0.0,
21,97044501.0,[Tephra-201] Store checkpoints in in-progress list ,23.0,263.0,98.0,13.0,1.0,3.0,27.0,2016-12-08 01:47:09,2016-12-08 20:53:28,Andreas Neumann,483004.0,0.0,
22,97264477.0,Update pom files for next development version,24.0,21.0,21.0,21.0,2.0,0.0,0.0,2016-12-09 07:44:51,2016-12-09 20:06:07,Gokul,558459.0,1.0,2016-12-09 20:06:07
23,99033952.0,TEPHRA-206 Port Invalid list pruning changes to other hbase compat modules,25.0,6689.0,327.0,41.0,1.0,4.0,0.0,2016-12-22 01:23:31,2017-01-19 20:17:00,Gokul,558459.0,0.0,
24,100799839.0,TEPHRA-208 Compaction removes rows incorrectly for family deletes wit…,26.0,572.0,34.0,10.0,1.0,12.0,0.0,2017-01-10 02:23:00,2017-02-02 20:59:37,Thomas D'Silva,5653678.0,0.0,
25,102386997.0,TEPHRA-210 Get table specific properties from tableDescriptor and oth…,27.0,15.0,8.0,1.0,1.0,2.0,0.0,2017-01-20 02:02:22,2017-01-20 18:06:13,Gokul,558459.0,0.0,
26,102545394.0,TEPHRA-210 Get table specific properties from tableDescriptor,28.0,384.0,148.0,10.0,1.0,5.0,12.0,2017-01-20 22:07:43,2017-01-26 20:49:20,Gokul,558459.0,0.0,
27,103390130.0,TEPHRA-212 Perform writes to prune state asynchronously,29.0,1162.0,91.0,31.0,1.0,6.0,15.0,2017-01-26 21:11:15,2017-02-01 19:34:29,Gokul,558459.0,0.0,
28,104400360.0,Use getRegion instead of getRegionInfo for hbase-0.98 compat module,30.0,2.0,2.0,1.0,1.0,3.0,0.0,2017-02-02 18:53:33,2017-02-02 19:16:42,Gokul,558459.0,0.0,
29,104933597.0,(TEPHRA-214) Tool to debug the state and progress of Invalid List Pruning,31.0,1340.0,40.0,11.0,1.0,3.0,22.0,2017-02-07 04:08:46,2017-02-08 08:44:29,Gokul,558459.0,0.0,
30,104955748.0,(TEPHRA-215) (TEPHRA-218) Use single thread across all regions in a r…,32.0,1397.0,329.0,27.0,1.0,6.0,36.0,2017-02-07 08:18:01,2017-02-09 04:39:22,Gokul,558459.0,0.0,
31,105489350.0,Use getRegion instead of getRegionInfo for hbase-0.98 compat module,33.0,2.0,2.0,1.0,1.0,2.0,0.0,2017-02-09 18:48:39,2017-02-09 19:12:39,Gokul,558459.0,0.0,
32,105585125.0,TEPHRA-216 Handle empty transactional regions during inactive list pruning,34.0,2450.0,567.0,38.0,2.0,5.0,9.0,2017-02-10 08:30:45,2017-02-13 20:43:35,,3181212.0,0.0,
33,105783029.0,(TEPHRA-219) Execute cross region calls in Coprocessor as the login user,35.0,405.0,312.0,10.0,1.0,2.0,10.0,2017-02-12 07:55:05,2017-02-14 05:40:39,Gokul,558459.0,0.0,
