,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
5,apache/Airflow,1,3/31/2016,12/19/2018,14061,0,2015-04-20 21:52:31,0,0,40000,41972,14056,23673,9559,137059,416
7,apache/Ambari,1,8/30/2011,11/20/2013,3235,0,2013-05-16 09:53:39,0,0,8527,2851,24588,1561,1340,365411,129
10,apache/apex-core,1,8/17/2015,4/20/2016,604,0,2015-08-25 23:43:42,0,0,1772,3561,6122,347,180,14807,41
11,apache/APISIX,1,10/17/2019,7/15/2020,2786,0,2019-05-05 08:14:53,0,0,12980,8235,2578,7372,1340,24303,236
14,apache/AsterixDB,1,2/28/2015,4/20/2016,11,0,2016-01-14 01:21:11,0,0,6,3,8582,213,115,181003,53
15,apache/Atlas,1,5/5/2015,6/21/2017,93,0,2017-09-26 22:44:55,0,0,243,71,3608,1053,604,62659,109
16,apache/Aurora,1,10/1/2013,3/18/2015,66,0,2013-12-09 19:31:29,0,0,126,110,4091,622,241,30334,92
17,apache/incubator-batchee,1,10/3/2013,12/10/2019,3,0,2014-04-08 02:13:03,0,0,1,0,273,12,18,1584,5
18,apache/Beam,1,2/1/2016,12/21/2016,15720,0,2016-02-26 21:57:21,0,0,40000,69123,33494,5066,3244,251011,309
24,apache/Calcite,1,5/19/2014,10/22/2015,2388,0,2014-07-03 19:29:03,0,0,4515,9153,4762,2751,1507,75982,263
25,apache/CarbonData,1,6/2/2016,4/19/2017,4083,0,2016-06-28 08:30:44,0,0,40000,21180,4916,1276,686,83325,176
33,apache/CloudStack,1,4/16/2012,3/20/2013,4413,0,2013-08-07 06:22:40,0,0,40000,14356,34628,1101,873,565950,211
34,apache/commons-rdf,1,3/6/2015,11/28/2016,57,0,2015-03-28 10:59:29,0,0,185,259,1303,30,41,2516,14
37,apache/Crunch,1,5/26/2012,2/20/2013,26,0,2013-11-20 18:27:41,0,0,24,20,1093,100,85,7595,33
41,apache/Daffodil,1,8/27/2017,2/17/2021,666,0,2017-10-28 16:16:10,0,0,925,6473,3573,60,52,175936,29
42,apache/DataFu,1,1/5/2014,2/21/2018,7,0,2014-08-05 10:01:38,0,0,22,54,576,84,58,30274,25
44,apache/Deltacloud,1,5/19/2010,10/26/2011,4,0,2011-05-23 13:04:20,0,0,9,0,2674,73,24,14089,18
48,apache/DirectMemory,1,10/5/2011,8/15/2012,1,0,2011-11-26 14:59:52,0,0,0,0,642,51,26,4560,7
49,apache/DistributedLog,1,6/24/2016,7/1/2017,184,0,2016-07-25 02:12:50,0,0,524,160,249,169,71,11843,25
50,apache/DolphinScheduler,1,8/29/2019,3/17/2021,3541,0,2019-04-01 08:46:38,0,0,15216,2119,5401,6677,2412,91779,247
51,apache/Drill,1,8/11/2012,11/19/2014,2274,0,2012-10-24 09:18:55,0,0,7283,20025,4072,1607,899,130549,145
52,apache/Druid,1,2/28/2018,12/18/2019,7545,0,2012-10-24 17:02:47,0,0,35449,44724,11336,11324,3082,235777,372
53,apache/Dubbo,1,2/16/2018,5/15/2019,4337,0,2012-07-04 07:46:32,0,0,21672,3753,5181,36425,24263,37456,364
54,apache/Eagle,1,10/26/2015,12/21/2016,994,0,2015-11-18 20:13:17,0,0,1185,401,1050,411,191,35666,30
55,apache/ECharts,1,1/18/2018,12/16/2020,1163,0,2013-06-03 03:49:34,0,0,40000,1209,8195,40000,18239,212982,145
59,apache/Falcon,1,3/27/2013,12/17/2014,403,0,2014-04-29 15:58:45,0,0,940,1441,2227,96,113,31743,28
61,apache/Fineract,1,12/15/2015,4/19/2017,1953,0,2016-02-01 10:55:29,0,0,4204,2148,6346,659,898,52004,158
62,apache/Flink,1,4/14/2014,12/17/2014,17026,0,2014-06-10 16:51:08,0,0,40000,103228,28834,17495,9808,416014,282
63,apache/Flume,1,6/13/2011,6/20/2012,228,0,2012-10-30 14:17:08,0,0,681,479,1818,2187,1461,44453,49
