,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
0,apache/Abdera,1,2006/6/6,2008/11/8,0,0,,0,0,1,0,1500,15,24,12255,4
1,apache/Accumulo,1,2011/9/12,2012/3/21,1559,0,2013-10-02 15:18:18,0,0,7559,9806,11060,894,384,81653,131
2,apache/ACE,1,2009/4/24,2011/12/21,12,0,2014-09-14 13:39:11,0,0,0,0,1603,27,23,180955,7
3,apache/ActiveMQ,1,2005/12/1,2007/2/6,678,0,2011-03-22 10:48:38,0,0,783,181,10949,1956,1300,57782,115
4,apache/Airavata,1,2011/5/5,2012/9/19,228,0,2014-07-11 10:02:26,0,0,295,443,9471,78,116,91329,46
5,apache/Airflow,1,2016/3/31,2018/12/19,14057,0,2015-04-20 21:52:31,0,0,0,0,0,0,0,136883,416
6,apache/Allura,1,2012/6/25,2014/3/19,6,0,2017-08-02 15:52:09,0,0,5,1,9972,97,29,40962,47
7,apache/Ambari,1,2011/8/30,2013/11/20,3235,0,2013-05-16 09:53:39,0,0,8527,2851,24588,1561,1339,365411,129
8,apache/oltu,1,2010/5/9,2013/1/16,2,0,2019-03-29 19:02:06,0,0,0,0,860,157,118,1844,7
9,apache/Any23,1,2011/10/1,2012/8/28,220,0,2013-12-23 04:40:42,0,0,455,180,1997,80,54,39859,27
10,apache/apex-core,1,2015/8/17,2016/4/20,604,0,2015-08-25 23:43:42,0,0,1772,3561,6122,346,179,14807,41
11,apache/APISIX,1,2019/10/17,2020/7/15,2781,0,2019-05-05 08:14:53,0,0,12962,8226,2574,7357,1339,24252,236
12,apache/activemq-apollo,1,2004/11/8,2005/6/3,10,0,2012-05-22 17:51:36,0,0,16,1,2244,145,72,11124,12
13,apache/Aries,1,2009/9/22,2010/12/15,125,0,2011-11-28 12:25:30,0,0,197,13,5817,97,153,67620,28
14,apache/AsterixDB,1,2015/2/28,2016/4/20,11,0,2016-01-14 01:21:11,0,0,6,3,8581,213,115,180981,53
15,apache/Atlas,1,2015/5/5,2017/6/21,93,0,2017-09-26 22:44:55,0,0,243,71,3608,1050,603,62657,109
16,apache/Aurora,1,2013/10/1,2015/3/18,66,0,2013-12-09 19:31:29,0,0,126,110,4091,622,241,30334,92
17,apache/incubator-batchee,1,2013/10/3,2019/12/10,3,0,2014-04-08 02:13:03,0,0,1,0,273,12,18,1584,5
18,apache/Beam,1,2016/2/1,2016/12/21,15716,0,2016-02-26 21:57:21,0,0,0,0,0,0,0,250942,309
19,apache/bval,1,2010/3/1,2012/2/15,8,0,2015-11-13 23:02:36,0,0,5,1,1103,29,26,2704,9
20,apache/Bigtop,1,2011/6/20,2012/9/19,636,0,2014-01-20 17:23:29,0,0,1422,471,2717,390,370,63612,125
21,apache/Bloodhound,1,2011/12/23,2013/3/20,1,0,2014-03-14 17:16:37,0,0,0,0,1238,141,34,13022,9
22,apache/Brooklyn,1,2014/5/1,2015/11/18,46,0,2016-02-01 21:19:28,0,0,54,7,221,123,64,770,30
23,apache/Buildr,1,2007/11/1,2009/2/23,46,0,2011-03-28 21:45:48,0,0,54,4,4385,144,87,9326,18
24,apache/Calcite,1,2014/5/19,2015/10/22,2385,0,2014-07-03 19:29:03,0,0,4511,9143,4760,2750,1506,75976,263
25,apache/CarbonData,1,2016/6/2,2017/4/19,4083,0,2016-06-28 08:30:44,0,0,40000,21180,4916,1276,686,83325,176
26,apache/Cassandra,1,2009/1/1,2010/2/17,790,0,2011-09-28 14:19:36,0,0,902,5663,27019,6949,2976,363260,279
27,apache/Cayenne,1,2006/3/9,2006/12/20,438,0,2014-08-14 13:10:50,0,0,295,15,6733,254,116,89160,36
28,apache/Celix,1,2010/11/2,2014/7/16,242,0,2015-10-13 17:18:19,0,0,488,707,2575,95,68,12870,22
29,apache/Chemistry,1,2009/4/30,2010/2/16,0,0,,0,0,0,0,492,6,7,3461,6
30,apache/Chukwa,1,2010/7/14,2013/9/27,7,0,2015-02-27 00:11:54,0,0,9,0,854,79,43,49152,10
