,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
0,apache/Abdera,1,6/6/2006,11/8/2008,0,0,,0,0,0,0,0,0,0,0,0
1,apache/Accumulo,1,9/12/2011,3/21/2012,0,0,,0,0,0,0,0,0,0,0,0
2,apache/ACE,1,4/24/2009,12/21/2011,0,0,,0,0,0,0,0,0,0,0,0
3,apache/ActiveMQ,1,12/1/2005,2/6/2007,0,0,,0,0,0,0,0,0,0,0,0
4,apache/Airavata,1,5/5/2011,9/19/2012,0,0,,0,0,0,0,0,0,0,0,0
5,apache/Airflow,1,3/31/2016,12/19/2018,0,0,,0,0,0,0,0,0,0,0,0
6,apache/Allura,1,6/25/2012,3/19/2014,0,0,,0,0,0,0,0,0,0,0,0
7,apache/Ambari,1,8/30/2011,11/20/2013,0,0,,0,0,0,0,0,0,0,0,0
8,apache/oltu,1,5/9/2010,1/16/2013,0,0,,0,0,0,0,0,0,0,0,0
9,apache/Any23,1,10/1/2011,8/28/2012,0,0,,0,0,0,0,0,0,0,0,0
10,apache/apex-core,1,8/17/2015,4/20/2016,0,0,,0,0,0,0,0,0,0,0,0
11,apache/APISIX,1,10/17/2019,7/15/2020,0,0,,0,0,0,0,0,0,0,0,0
12,apache/activemq-apollo,1,11/8/2004,6/3/2005,0,0,,0,0,0,0,0,0,0,0,0
13,apache/Aries,1,9/22/2009,12/15/2010,0,0,,0,0,0,0,0,0,0,0,0
14,apache/AsterixDB,1,2/28/2015,4/20/2016,0,0,,0,0,0,0,0,0,0,0,0
15,apache/Atlas,1,5/5/2015,6/21/2017,0,0,,0,0,0,0,0,0,0,0,0
16,apache/Aurora,1,10/1/2013,3/18/2015,0,0,,0,0,0,0,0,0,0,0,0
17,apache/incubator-batchee,1,10/3/2013,12/10/2019,0,0,,0,0,0,0,0,0,0,0,0
18,apache/Beam,1,2/1/2016,12/21/2016,0,0,,0,0,0,0,0,0,0,0,0
19,apache/bval,1,3/1/2010,2/15/2012,0,0,,0,0,0,0,0,0,0,0,0
20,apache/Bigtop,1,6/20/2011,9/19/2012,0,0,,0,0,0,0,0,0,0,0,0
21,apache/Bloodhound,1,12/23/2011,3/20/2013,0,0,,0,0,0,0,0,0,0,0,0
22,apache/Brooklyn,1,5/1/2014,11/18/2015,0,0,,0,0,0,0,0,0,0,0,0
23,apache/Buildr,1,11/1/2007,2/23/2009,0,0,,0,0,0,0,0,0,0,0,0
24,apache/Calcite,1,5/19/2014,10/22/2015,0,0,,0,0,0,0,0,0,0,0,0
25,apache/CarbonData,1,6/2/2016,4/19/2017,0,0,,0,0,0,0,0,0,0,0,0
26,apache/Cassandra,1,1/1/2009,2/17/2010,0,0,,0,0,0,0,0,0,0,0,0
27,apache/Cayenne,1,3/9/2006,12/20/2006,0,0,,0,0,0,0,0,0,0,0,0
28,apache/Celix,1,11/2/2010,7/16/2014,0,0,,0,0,0,0,0,0,0,0,0
29,apache/Chemistry,1,4/30/2009,2/16/2010,0,0,,0,0,0,0,0,0,0,0,0
30,apache/Chukwa,1,7/14/2010,9/27/2013,0,0,,0,0,0,0,0,0,0,0,0
31,apache/Clerezza,1,11/27/2009,2/20/2013,0,0,,0,0,0,0,0,0,0,0,0
32,apache/Click,1,7/21/2008,11/18/2009,0,0,,0,0,0,0,0,0,0,0,0
33,apache/CloudStack,1,4/16/2012,3/20/2013,0,0,,0,0,0,0,0,0,0,0,0
34,apache/commons-rdf,1,3/6/2015,11/28/2016,0,0,,0,0,0,0,0,0,0,0,0
35,apache/Cordova,1,10/15/2011,10/17/2012,0,0,,0,0,0,0,0,0,0,0,0
36,apache/CouchDB,1,2/12/2008,11/19/2008,0,0,,0,0,0,0,0,0,0,0,0
37,apache/Crunch,1,5/26/2012,2/20/2013,0,0,,0,0,0,0,0,0,0,0,0
38,apache/cTAKES,1,6/11/2012,3/20/2013,0,0,,0,0,0,0,0,0,0,0,0
39,apache/Curator,1,3/11/2013,9/1/2013,0,0,,0,0,0,0,0,0,0,0,0
40,apache/CXF,1,8/15/2006,4/16/2008,0,0,,0,0,0,0,0,0,0,0,0
41,apache/Daffodil,1,8/27/2017,2/17/2021,0,0,,0,0,0,0,0,0,0,0,0
42,apache/DataFu,1,1/5/2014,2/21/2018,0,0,,0,0,0,0,0,0,0,0,0
43,apache/DataSketches,1,3/30/2019,12/16/2020,0,0,,0,0,0,0,0,0,0,0,0
44,apache/Deltacloud,1,5/19/2010,10/26/2011,0,0,,0,0,0,0,0,0,0,0,0
45,apache/DeltaSpike,1,12/7/2011,5/28/2013,0,0,,0,0,0,0,0,0,0,0,0
46,apache/Derby,1,8/15/2004,7/18/2005,0,0,,0,0,0,0,0,0,0,0,0
47,apache/devicemap-browsermap,1,1/3/2012,11/19/2014,0,0,,0,0,0,0,0,0,0,0,0
48,apache/DirectMemory,1,10/5/2011,8/15/2012,0,0,,0,0,0,0,0,0,0,0,0
49,apache/DistributedLog,1,6/24/2016,7/1/2017,0,0,,0,0,0,0,0,0,0,0,0
50,apache/DolphinScheduler,1,8/29/2019,3/17/2021,0,0,,0,0,0,0,0,0,0,0,0
51,apache/Drill,1,8/11/2012,11/19/2014,0,0,,0,0,0,0,0,0,0,0,0
52,apache/Druid,1,2/28/2018,12/18/2019,0,0,,0,0,0,0,0,0,0,0,0
53,apache/Dubbo,1,2/16/2018,5/15/2019,0,0,,0,0,0,0,0,0,0,0,0
54,apache/Eagle,1,10/26/2015,12/21/2016,0,0,,0,0,0,0,0,0,0,0,0
55,apache/ECharts,1,1/18/2018,12/16/2020,0,0,,0,0,0,0,0,0,0,0,0
56,apache/Empire-db,1,7/8/2008,1/24/2012,0,0,,0,0,0,0,0,0,0,0,0
57,apache/ESME,1,12/2/2008,12/15/2010,0,0,,0,0,0,0,0,0,0,0,0
58,apache/Etch,1,9/2/2008,1/16/2013,0,0,,0,0,0,0,0,0,0,0,0
59,apache/Falcon,1,3/27/2013,12/17/2014,0,0,,0,0,0,0,0,0,0,0,0
60,apache/Felix,1,7/19/2005,4/1/2007,0,0,,0,0,0,0,0,0,0,0,0
61,apache/Fineract,1,12/15/2015,4/19/2017,0,0,,0,0,0,0,0,0,0,0,0
62,apache/Flink,1,4/14/2014,12/17/2014,0,0,,0,0,0,0,0,0,0,0,0
63,apache/Flume,1,6/13/2011,6/20/2012,0,0,,0,0,0,0,0,0,0,0,0
64,apache/Fluo,1,5/17/2016,7/19/2017,0,0,,0,0,0,0,0,0,0,0,0
65,apache/FreeMarker,1,7/1/2015,3/21/2018,0,0,,0,0,0,0,0,0,0,0,0
66,apache/FtpServer,1,3/29/2003,12/18/2007,0,0,,0,0,0,0,0,0,0,0,0
67,apache/Geode,1,4/27/2015,11/16/2016,0,0,,0,0,0,0,0,0,0,0,0
68,apache/Geronimo,1,8/6/2003,5/26/2004,0,0,,0,0,0,0,0,0,0,0,0
69,apache/Giraph,1,8/1/2011,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
70,apache/Gobblin,1,2/23/2017,1/20/2021,0,0,,0,0,0,0,0,0,0,0,0
71,apache/Gora,1,9/26/2010,1/15/2012,0,0,,0,0,0,0,0,0,0,0,0
72,apache/Griffin,1,12/5/2016,11/21/2018,0,0,,0,0,0,0,0,0,0,0,0
73,apache/Groovy,1,3/17/2015,11/18/2015,0,0,,0,0,0,0,0,0,0,0,0
74,apache/guacamole-client,1,2/10/2016,11/15/2017,0,0,,0,0,0,0,0,0,0,0,0
75,apache/Hama,1,5/20/2008,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
76,apache/Harmony,1,5/18/2005,10/29/2006,0,0,,0,0,0,0,0,0,0,0,0
77,apache/HAWQ,1,9/4/2015,8/15/2018,0,0,,0,0,0,0,0,0,0,0,0
78,apache/HCatalog,1,3/14/2011,2/13/2013,0,0,,0,0,0,0,0,0,0,0,0
79,apache/Helix,1,10/14/2012,12/18/2013,0,0,,0,0,0,0,0,0,0,0,0
80,apache/Hudi,1,1/17/2019,5/20/2020,0,0,,0,0,0,0,0,0,0,0,0
81,apache/Iceberg,1,11/16/2018,5/20/2020,0,0,,0,0,0,0,0,0,0,0,0
82,apache/Ignite,1,10/1/2014,9/18/2015,0,0,,0,0,0,0,0,0,0,0,0
83,apache/Impala,1,12/3/2015,11/15/2017,0,0,,0,0,0,0,0,0,0,0,0
84,apache/IoTDB,1,11/18/2018,9/18/2020,0,0,,0,0,0,0,0,0,0,0,0
85,apache/Isis,1,9/7/2010,10/17/2012,0,0,,0,0,0,0,0,0,0,0,0
86,apache/Jackrabbit,1,8/28/2004,3/15/2006,0,0,,0,0,0,0,0,0,0,0,0
87,apache/jclouds,1,4/29/2013,10/16/2013,0,0,,0,0,0,0,0,0,0,0,0
88,apache/Jena,1,11/23/2010,4/18/2012,0,0,,0,0,0,0,0,0,0,0,0
89,apache/Johnzon,1,6/9/2014,4/20/2016,0,0,,0,0,0,0,0,0,0,0,0
90,apache/Joshua,1,2/13/2016,10/17/2018,0,0,,0,0,0,0,0,0,0,0,0
91,apache/JSPWiki,1,9/17/2007,7/19/2013,0,0,,0,0,0,0,0,0,0,0,0
92,apache/jUDDI,1,9/15/2003,3/17/2004,0,0,,0,0,0,0,0,0,0,0,0
93,apache/Juneau,1,6/24/2016,10/18/2017,0,0,,0,0,0,0,0,0,0,0,0
94,apache/Kafka,1,7/4/2011,10/23/2012,0,0,,0,0,0,0,0,0,0,0,0
95,apache/Knox,1,2/22/2013,2/19/2014,0,0,,0,0,0,0,0,0,0,0,0
96,apache/Kudu,1,12/3/2015,7/20/2016,0,0,,0,0,0,0,0,0,0,0,0
97,apache/Kylin,1,11/25/2014,11/18/2015,0,0,,0,0,0,0,0,0,0,0,0
98,apache/Lens,1,10/10/2014,8/19/2015,0,0,,0,0,0,0,0,0,0,0,0
99,apache/Lenya,1,3/15/2003,8/18/2004,0,0,,0,0,0,0,0,0,0,0,0
100,apache/Libcloud,1,11/1/2009,5/19/2011,0,0,,0,0,0,0,0,0,0,0,0
101,apache/log4cxx,1,1/31/2004,1/11/2005,0,0,,0,0,0,0,0,0,0,0,0
102,apache/Lucene.NET,1,2/5/2011,8/15/2012,0,0,,0,0,0,0,0,0,0,0,0
103,apache/Lucy,1,7/22/2010,2/22/2012,0,0,,0,0,0,0,0,0,0,0,0
104,apache/MADlib,1,9/15/2015,7/19/2017,0,0,,0,0,0,0,0,0,0,0,0
105,apache/ManifoldCF,1,1/10/2010,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
106,apache/Marmotta,1,12/3/2012,11/20/2013,0,0,,0,0,0,0,0,0,0,0,0
107,apache/Mesos,1,12/23/2010,6/19/2013,0,0,,0,0,0,0,0,0,0,0,0
108,apache/MetaModel,1,6/12/2013,11/20/2014,0,0,,0,0,0,0,0,0,0,0,0
109,apache/Metron,1,12/6/2015,4/19/2017,0,0,,0,0,0,0,0,0,0,0,0
110,apache/Mnemonic,1,3/3/2016,11/15/2017,0,0,,0,0,0,0,0,0,0,0,0
111,apache/MRUnit,1,3/8/2011,5/16/2012,0,0,,0,0,0,0,0,0,0,0,0
112,apache/MyFaces,1,7/16/2004,3/9/2005,0,0,,0,0,0,0,0,0,0,0,0
