,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
1,apache/Airflow,1,3/31/16,12/19/18,14061,9941,4/20/15 21:52,0,0,40000,41972,14056,23673,9559,137059,416
2,apache/Ambari,1,8/30/11,11/20/13,3235,2913,5/16/13 9:53,0,0,8527,2851,24588,1561,1340,365411,129
3,apache/apex-core,1,8/17/15,4/20/16,604,470,8/25/15 23:43,0,0,1772,3561,6122,347,180,14807,41
4,apache/APISIX,1,10/17/19,7/15/20,2786,2404,5/5/19 8:14,0,0,12980,8235,2578,7372,1340,24303,236
5,apache/AsterixDB,1,2/28/15,4/20/16,11,0,1/14/16 1:21,0,0,6,3,8582,213,115,181003,53
6,apache/Atlas,1,5/5/15,6/21/17,93,25,9/26/17 22:44,0,0,243,71,3608,1053,604,62659,109
7,apache/Aurora,1,10/1/13,3/18/15,66,40,12/9/13 19:31,0,0,126,110,4091,622,241,30334,92
8,apache/incubator-batchee,1,10/3/13,12/10/19,3,0,4/8/14 2:13,0,0,1,0,273,12,18,1584,5
9,apache/Beam,1,2/1/16,12/21/16,15720,10700,2/26/16 21:57,0,0,40000,69123,33494,5066,3244,251011,309
10,apache/Calcite,1,5/19/14,10/22/15,2388,673,7/3/14 19:29,0,0,4515,9153,4762,2751,1507,75982,263
11,apache/CarbonData,1,6/2/16,4/19/17,4083,179,6/28/16 8:30,0,0,40000,21180,4916,1276,686,83325,176
12,apache/CloudStack,1,4/16/12,3/20/13,4413,3015,8/7/13 6:22,0,0,40000,14356,34628,1101,873,565950,211
13,apache/commons-rdf,1,3/6/15,11/28/16,57,37,3/28/15 10:59,0,0,185,259,1303,30,41,2516,14
14,apache/Crunch,1,5/26/12,2/20/13,26,12,11/20/13 18:27,0,0,24,20,1093,100,85,7595,33
15,apache/Daffodil,1,8/27/17,2/17/21,666,609,10/28/17 16:16,0,0,925,6473,3573,60,52,175936,29
16,apache/DataFu,1,1/5/14,2/21/18,7,1,8/5/14 10:01,0,0,22,54,576,84,58,30274,25
17,apache/Deltacloud,1,5/19/10,10/26/11,4,0,5/23/11 13:04,0,0,9,0,2674,73,24,14089,18
18,apache/DirectMemory,1,10/5/11,8/15/12,1,0,11/26/11 14:59,0,0,0,0,642,51,26,4560,7
19,apache/DistributedLog,1,6/24/16,7/1/17,184,5,7/25/16 2:12,0,0,524,160,249,169,71,11843,25
20,apache/DolphinScheduler,1,8/29/19,3/17/21,3541,2943,4/1/19 8:46,0,0,15216,2119,5401,6677,2412,91779,247
21,apache/Drill,1,8/11/12,11/19/14,2274,561,10/24/12 9:18,0,0,7283,20025,4072,1607,899,130549,145
22,apache/Druid,1,2/28/18,12/18/19,7545,6619,10/24/12 17:02,0,0,35449,44724,11336,11324,3082,235777,372
23,apache/Dubbo,1,2/16/18,5/15/19,4337,2896,7/4/12 7:46,0,0,21672,3753,5181,36425,24263,37456,364
24,apache/Eagle,1,10/26/15,12/21/16,994,22,11/18/15 20:13,0,0,1185,401,1050,411,191,35666,30
25,apache/Echarts,1,1/18/18,12/16/20,1163,888,6/3/13 3:49,0,0,40000,1209,8195,40000,18239,212982,145
26,apache/Falcon,1,3/27/13,12/17/14,403,0,4/29/14 15:58,0,0,940,1441,2227,96,113,31743,28
