,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor,average_additions,average_deletions,average_pr_changed_files,average_pr_commits_count,average_pr_comments_count,average_pr_review_coments_count,average_total_comments,merged_average_additions,merged_average_deletions,merged_average_pr_changed_files,merged_average_pr_commits_count,merged_average_pr_comments_count,merged_average_pr_review_coments_count,merged_average_total_comments
1,apache/Airflow,1,3/31/16,12/19/18,14061,9941,4/20/15 21:52,0,0,40000,41972,14056,23673,9559,137059,416,299.0935300033523,139.46765001676164,6.7435467650016765,3.2427086825343614,4.927924907810929,2.2075092189071404,7.135434126718069,118.05203045685279,113.49111675126903,4.318527918781726,1.5114213197969544,4.798223350253807,4.798223350253807,9.596446700507615
2,apache/Ambari,1,8/30/11,11/20/13,3235,2913,5/16/13 9:53,0,0,8527,2851,24588,1561,1340,365411,129,8932.333333333334,133.33333333333334,81.0,9.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,0,0
3,apache/apex-core,1,8/17/15,4/20/16,604,470,8/25/15 23:43,0,0,1772,3561,6122,347,180,14807,41,237.3653846153846,64.375,7.227564102564102,3.8621794871794872,2.4038461538461537,2.871794871794872,5.2756410256410255,153.04526748971193,63.641975308641975,6.670781893004115,1.8559670781893005,2.3580246913580245,2.3580246913580245,4.716049382716049
4,apache/APISIX,1,10/17/19,7/15/20,2786,2404,5/5/19 8:14,0,0,12980,8235,2578,7372,1340,24303,236,196.0546357615894,25.753311258278146,5.375827814569536,3.415562913907285,1.5115894039735098,2.4304635761589406,3.94205298013245,98.25346534653465,18.641584158415842,4.299009900990099,3.095049504950495,1.3247524752475248,1.3247524752475248,2.6495049504950496
5,apache/AsterixDB,1,2/28/15,4/20/16,11,0,1/14/16 1:21,0,0,6,3,8582,213,115,181003,53,7430.0,2207.0,221.0,73.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,apache/Atlas,1,5/5/15,6/21/17,93,25,9/26/17 22:44,0,0,243,71,3608,1053,604,62659,109,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
7,apache/Aurora,1,10/1/13,3/18/15,66,40,12/9/13 19:31,0,0,126,110,4091,622,241,30334,92,80.75,38.8125,35.6875,1.25,1.5,0.0625,1.5625,0.0,0.0,0.0,0.0,2.0,2.0,4.0
8,apache/incubator-batchee,1,10/3/13,12/10/19,3,0,4/8/14 2:13,0,0,1,0,273,12,18,1584,5,12.666666666666666,8.333333333333334,4.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,0,0
9,apache/Beam,1,2/1/16,12/21/16,15720,10700,2/26/16 21:57,0,0,40000,69123,33494,5066,3244,251011,309,772.4286570743405,195.47721822541968,15.331534772182254,7.5731414868105515,5.161870503597123,5.930455635491607,11.09232613908873,1112.2033492822966,317.0047846889952,21.657894736842106,13.397129186602871,5.423444976076555,5.423444976076555,10.84688995215311
10,apache/Calcite,1,5/19/14,10/22/15,2388,673,7/3/14 19:29,0,0,4515,9153,4762,2751,1507,75982,263,591.4493670886076,137.0253164556962,15.044303797468354,1.6455696202531647,1.0126582278481013,0.5063291139240507,1.518987341772152,497.3333333333333,239.0,18.333333333333332,2.0,0.5,0.5,1.0
11,apache/CarbonData,1,6/2/16,4/19/17,4083,179,6/28/16 8:30,0,0,40000,21180,4916,1276,686,83325,176,1029.4721189591078,784.8413878562577,19.741016109045848,3.1028500619578687,5.4721189591078065,2.641883519206939,8.114002478314745,348.9846153846154,1412.3,29.346153846153847,2.3615384615384616,4.115384615384615,4.115384615384615,8.23076923076923
